Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY08 Enplanements,CY07 Enplanements,% Change
404.0,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,10344.0,4813.0,1.1492
405.0,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,P,N,10288.0,11173.0,-0.0792
406.0,SO,GA,MCN,Macon,Middle Georgia Regional,P,N,10029.0,11465.0,-0.1253
,,,,,P Count,382.0,,,,
408.0,AL,AK,KSM,St Mary's,St Mary's,CS,None,9808.0,14258.0,-0.3121
410.0,AL,AK,ILI,Iliamna,Iliamna,CS,None,9545.0,8153.0,0.1707
411.0,SO,NC,ISO,Kinston,Kinston Regional Jetport at Stallings Field,CS,None,9455.0,15104.0,-0.374
412.0,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,CS,None,9164.0,7603.0,0.2053
413.0,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,9105.0,8721.0,0.044
414.0,AL,AK,ENM,Emmonak,Emmonak,CS,None,9097.0,12638.0,-0.2802
416.0,GL,MN,HIB,Hibbing,Chisholm-Hibbing,CS,None,8896.0,8716.0,0.0207
417.0,CE,KS,HYS,Hays,Hays Regional,CS,None,8540.0,10536.0,-0.1894
418.0,SW,TX,VCT,Victoria,Victoria Regional,CS,None,8415.0,10138.0,-0.17
419.0,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,8401.0,10186.0,-0.1752
420.0,NE,MA,BED,Bedford,Laurence G Hanscom Field,CS,None,8385.0,16568.0,-0.4939
421.0,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,8298.0,9085.0,-0.0866
422.0,NE,NH,LEB,Lebanon,Lebanon Municipal,CS,None,8294.0,12514.0,-0.3372
424.0,CE,NE,GRI,Grand Island,Central Nebraska Regional,CS,None,7961.0,9159.0,-0.1308
425.0,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,7911.0,5113.0,0.5472
426.0,AL,AK,GAL,Galena,Edward G. Pitka Sr,CS,None,7784.0,8909.0,-0.1263
427.0,NM,UT,CDC,Cedar City,Cedar City Regional,CS,None,7776.0,6903.0,0.1265
428.0,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,CS,None,7746.0,4907.0,0.5786
429.0,AL,AK,SOV,Seldovia,Seldovia,CS,None,7696.0,9081.0,-0.1525
430.0,AL,AK,HNH,Hoonah,Hoonah,CS,None,7680.0,8482.0,-0.0946
431.0,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,None,7634.0,9733.0,-0.2157
432.0,GL,MI,APN,Alpena,Alpena County Regional,CS,None,7519.0,7638.0,-0.0156
433.0,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,7217.0,7541.0,-0.043
434.0,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,7161.0,7478.0,-0.0424
435.0,EA,WV,LWB,Lewisburg,Greenbrier Valley,CS,None,7153.0,12349.0,-0.4208
436.0,WP,CA,IPL,Imperial,Imperial County,CS,None,7061.0,11629.0,-0.3928
437.0,AL,AK,HNS,Haines,Haines,CS,None,7035.0,7554.0,-0.0687
438.0,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,6950.0,7373.0,-0.0574
443.0,SO,MS,GLH,Greenville,Mid Delta Regional,CS,None,6310.0,8216.0,-0.232
444.0,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,6219.0,7037.0,-0.1162
446.0,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,6055.0,6523.0,-0.0717
447.0,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,6002.0,6321.0,-0.0505
448.0,AL,AK,WLK,Selawik,Selawik,CS,None,5920.0,6380.0,-0.0721
449.0,AL,AK,CGA,Craig,Craig,CS,None,5844.0,6300.0,-0.0724
450.0,WP,AZ,PRC,Prescott,Ernest A. Love Field,CS,None,5816.0,4165.0,0.3964
452.0,AL,AK,WTK,Noatak,Noatak,CS,None,5536.0,5210.0,0.0626
454.0,EA,NY,6N5,New York,East 34th Street,CS,None,5515.0,4344.0,0.2696
455.0,NM,UT,VEL,Vernal,Vernal Regional,CS,None,5474.0,3170.0,0.7268
456.0,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,5325.0,8840.0,-0.3976
457.0,GL,MI,ESC,Escanaba,Delta County,CS,None,5307.0,8589.0,-0.3821
458.0,AL,AK,MCG,McGrath,McGrath,CS,None,5278.0,5190.0,0.017
459.0,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,5275.0,4531.0,0.1642
460.0,AL,AK,PHO,Point Hope,Point Hope,CS,None,5236.0,5091.0,0.0285
461.0,CE,KS,SLN,Salina,Salina Municipal,CS,None,5170.0,4127.0,0.2527
462.0,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,5100.0,5528.0,-0.0774
463.0,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,5061.0,5508.0,-0.0812
464.0,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,5038.0,2271.0,1.2184
465.0,GL,SD,ATY,Watertown,Watertown Regional,CS,None,4975.0,5158.0,-0.0355
466.0,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,4924.0,5189.0,-0.0511
467.0,EA,PA,BFD,Bradford,Bradford Regional,CS,None,4898.0,3104.0,0.578
468.0,CE,MO,JLN,Joplin,Joplin Regional,CS,None,4892.0,15816.0,-0.6907
469.0,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St. Robert Regional Forney Field,CS,None,4784.0,1637.0,1.9224
470.0,AL,AK,VAK,Chevak,Chevak,CS,None,4741.0,4641.0,0.0215
472.0,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,4701.0,5801.0,-0.1896
473.0,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,4636.0,4844.0,-0.0429
475.0,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,CS,None,4415.0,4059.0,0.0877
476.0,GL,IN,GYY,Gary,Gary/Chicago International,CS,None,4353.0,16223.0,-0.7317
477.0,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,4345.0,4880.0,-0.1096
478.0,AL,AK,SDP,Sand Point,Sand Point,CS,None,4296.0,4105.0,0.0465
479.0,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,4252.0,3413.0,0.2458
480.0,AL,AK,2A9,Kotlik,Kotlik,CS,None,4237.0,4117.0,0.0291
481.0,SW,NM,GUP,Gallup,Gallup Municipal,CS,None,4222.0,4185.0,0.0088
483.0,NM,MT,WYS,West Yellowstone,Yellowstone,CS,None,4186.0,3861.0,0.0842
484.0,AL,AK,SVA,Savoonga,Savoonga,CS,None,4156.0,4467.0,-0.0696
486.0,NM,WA,ORS,Eastsound,Orcas Island,CS,None,4109.0,4773.0,-0.1391
487.0,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,4103.0,4875.0,-0.1584
488.0,AL,AK,BVK,Buckland,Buckland,CS,None,4016.0,4776.0,-0.1591
489.0,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,4015.0,3527.0,0.1384
490.0,GL,MI,IMT,Iron Mountain,Ford,CS,None,3998.0,7248.0,-0.4484
491.0,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,3907.0,4734.0,-0.1747
492.0,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,3871.0,4001.0,-0.0325
493.0,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,3861.0,4309.0,-0.104
494.0,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3835.0,3716.0,0.032
495.0,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3832.0,3749.0,0.0221
496.0,AL,AK,GAM,Gambell,Gambell,CS,None,3793.0,4372.0,-0.1324
497.0,AL,AK,KVL,Kivalina,Kivalina,CS,None,3784.0,3941.0,-0.0398
499.0,GL,IL,MWA,Marion,Williamson County Regional,CS,None,3631.0,6441.0,-0.4363
500.0,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,None,3630.0,3232.0,0.1231
502.0,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3563.0,4239.0,-0.1595
503.0,NE,ME,AUG,Augusta,Augusta State,CS,None,3554.0,4229.0,-0.1596
504.0,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,3549.0,3719.0,-0.0457
505.0,AL,AK,AWI,Wainwright,Wainwright,CS,None,3547.0,5559.0,-0.3619
506.0,AL,AK,KEB,English Bay,Nanwalek,CS,None,3533.0,3191.0,0.1072
507.0,AL,AK,SMK,St Michael,St Michael,CS,None,3493.0,3302.0,0.0578
508.0,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,3476.0,4732.0,-0.2654
509.0,SO,GA,AHN,Athens,Athens/Ben Epps,CS,None,3449.0,6187.0,-0.4425
510.0,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,3359.0,3763.0,-0.1074
511.0,AL,AK,MTM,Metlakatla,Metlakatla,CS,None,3344.0,3932.0,-0.1495
513.0,AL,AK,HLA,Huslia,Huslia,CS,None,3331.0,3215.0,0.0361
514.0,SO,FL,APF,Naples,Naples Municipal,CS,None,3316.0,13984.0,-0.7629
515.0,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,3301.0,3064.0,0.0773
516.0,AL,AK,EEK,Eek,Eek,CS,None,3292.0,3759.0,-0.1242
517.0,AL,AK,6R7,Old Harbor,Old Harbor,CS,None,3282.0,2946.0,0.1141
518.0,AL,AK,CFK,Chefornak,Chefornak,CS,None,3236.0,3391.0,-0.0457
519.0,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,3230.0,7191.0,-0.5508
521.0,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,3216.0,3580.0,-0.1017
523.0,AL,AK,KLG,Kalskag,Kalskag,CS,None,3147.0,4420.0,-0.288
524.0,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,3135.0,3206.0,-0.0221
525.0,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,3092.0,3373.0,-0.0833
526.0,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3083.0,3476.0,-0.1131
527.0,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,None,3029.0,3695.0,-0.1802
529.0,NM,WY,WRL,Worland,Worland Municipal,CS,None,2996.0,3722.0,-0.1951
531.0,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,2933.0,2944.0,-0.0037
533.0,AL,AK,NUL,Nulato,Nulato,CS,None,2917.0,3465.0,-0.1582
534.0,AL,AK,PGM,Port Graham,Port Graham,CS,None,2916.0,2953.0,-0.0125
535.0,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2892.0,3077.0,-0.0601
537.0,NM,UT,CNY,Moab,Canyonlands Field,CS,None,2870.0,2843.0,0.0095
538.0,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,2850.0,3152.0,-0.0958
540.0,AL,AK,AQT,Nuiqsut,Nuiqsut,CS,None,2819.0,4545.0,-0.3798
542.0,GL,ND,JMS,Jamestown,Jamestown Regional,CS,None,2769.0,2208.0,0.2541
544.0,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,2708.0,3090.0,-0.1236
545.0,AL,AK,UUO,Willow,Willow,CS,None,2703.0,2025.0,0.3348
547.0,AL,AK,KVC,King Cove,King Cove,CS,None,2647.0,2332.0,0.1351
548.0,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,2645.0,1920.0,0.3776
549.0,AL,AK,KTB,Thorne Bay,Thorne Bay,CS,None,2640.0,2648.0,-0.003
550.0,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,2630.0,2883.0,-0.0878
551.0,AL,AK,SHG,Shungnak,Shungnak,CS,None,2626.0,2452.0,0.071
552.0,SW,NM,SVC,Silver City,Grant County,CS,None,2607.0,2196.0,0.1872
553.0,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,2602.0,2923.0,-0.1098
554.0,AL,AK,WBB,Stebbins,Stebbins,CS,None,2571.0,2349.0,0.0945
556.0,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,CS,None,2541.0,3192.0,-0.2039
,,,,,CS Count,121.0,,,,
,,,,,Grand Count,503.0,,,,
