Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY08 Enplanements,CY07 Enplanements,% Change
173.0,NM,CO,EGE,Eagle,Eagle County Regional,P,N,212832.0,231719.0,-0.0815
174.0,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,212588.0,170443.0,0.2473
175.0,SW,LA,LFT,Lafayette,Lafayette Regional,P,N,210020.0,219442.0,-0.0429
176.0,WP,CA,MRY,Monterey,Monterey Peninsula,P,N,207964.0,215797.0,-0.0363
177.0,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,202827.0,175432.0,0.1562
178.0,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,202730.0,212809.0,-0.0474
179.0,GL,IN,EVV,Evansville,Evansville Regional,P,N,193349.0,222654.0,-0.1316
180.0,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,191906.0,204152.0,-0.06
181.0,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,N,190281.0,39513.0,3.8157
182.0,NM,MT,GPI,Kalispell,Glacier Park International,P,N,186450.0,187944.0,-0.0079
183.0,GL,MI,TVC,Traverse City,Cherry Capital,P,N,183357.0,202048.0,-0.0925
184.0,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,178005.0,182918.0,-0.0269
185.0,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,176097.0,154558.0,0.1394
186.0,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,169956.0,181231.0,-0.0622
187.0,EA,VA,CHO,Charlottesville,Charlottesville-Albemarle,P,N,169843.0,187078.0,-0.0921
188.0,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,169665.0,182467.0,-0.0702
189.0,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,168687.0,188992.0,-0.1074
190.0,CE,NE,LNK,Lincoln,Lincoln,P,N,163177.0,170105.0,-0.0407
191.0,GL,MI,MBS,Saginaw,MBS International,P,N,162703.0,186739.0,-0.1287
192.0,SO,FL,PFN,Panama City,Panama City-Bay County International,P,N,161236.0,159948.0,0.0081
193.0,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,154312.0,158747.0,-0.0279
194.0,GL,MN,RST,Rochester,Rochester International,P,N,151250.0,160452.0,-0.0574
195.0,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,150089.0,179784.0,-0.1652
196.0,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,148584.0,166503.0,-0.1076
197.0,GL,MN,DLH,Duluth,Duluth International,P,N,147793.0,169971.0,-0.1305
198.0,SO,FL,MLB,Melbourne,Melbourne International,P,N,145117.0,137102.0,0.0585
199.0,NM,MT,GTF,Great Falls,Great Falls International,P,N,143811.0,145452.0,-0.0113
200.0,SW,LA,AEX,Alexandria,Alexandria International,P,N,142223.0,145761.0,-0.0243
201.0,WP,CA,BFL,Bakersfield,Meadows Field,P,N,141847.0,164400.0,-0.1372
202.0,AL,AK,BET,Bethel,Bethel,P,N,140291.0,143341.0,-0.0213
203.0,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,136623.0,142068.0,-0.0383
204.0,NM,CO,HDN,Hayden,Yampa Valley,P,N,136600.0,139642.0,-0.0218
205.0,NM,CO,DRO,Durango,Durango-La Plata County,P,N,134386.0,116310.0,0.1554
206.0,EA,PA,UNV,State College,University Park,P,N,133777.0,144160.0,-0.072
207.0,GL,OH,TOL,Toledo,Toledo Express,P,N,129553.0,169679.0,-0.2365
