Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 13 Enplanements,CY 12 Enplanements,% Change
58,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2325030,2249717,0.0335
121,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,457372,450436,0.0154
138,AL,AK,JNU,Juneau,Juneau International,P,N,359291,353048,0.0177
199,AL,AK,BET,Bethel,Bethel,P,N,152084,148168,0.0264
222,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,109433,103136,0.0611
226,AL,AK,ENA,Kenai,Kenai Municipal,P,N,99821,99955,-0.0013
244,AL,AK,ADQ,Kodiak,Kodiak,P,N,79930,78749,0.015
249,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,67989,68222,-0.0034
258,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,61274,63032,-0.0279
264,AL,AK,OME,Nome,Nome,P,N,58020,59807,-0.0299
275,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,51568,43673,0.1808
279,AL,AK,SCC,Deadhorse,Deadhorse,P,N,48588,43837,0.1084
285,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,45477,42050,0.0815
295,AL,AK,HOM,Homer,Homer,P,N,37705,39167,-0.0373
299,AL,AK,AKN,King Salmon,King Salmon,P,N,35450,35803,-0.0099
316,AL,AK,DUT,Unalaska,Unalaska,P,N,28556,30735,-0.0709
319,AL,AK,DLG,Dillingham,Dillingham,P,N,26632,39877,-0.3321
326,AL,AK,LHD,Anchorage,Lake Hood,P,N,24026,21033,0.1423
339,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,20046,18800,0.0663
357,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,15772,16061,-0.018
363,AL,AK,ANI,Aniak,Aniak,P,N,14334,15220,-0.0582
366,AL,AK,GAL,Galena,Edward G Pitka Sr,P,N,14141,14563,-0.029
368,AL,AK,UNK,Unalakleet,Unalakleet,P,N,14011,13070,0.072
369,AL,AK,KSM,St Mary's,St Mary's,P,N,13949,12711,0.0974
375,AL,AK,MRI,Anchorage,Merrill Field,P,N,13440,20163,-0.3334
377,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,13318,16087,-0.1721
388,AL,AK,MBA,Manokotak,Manokotak,P,N,11903,12363,-0.0372
389,AL,AK,WRG,Wrangell,Wrangell,P,N,11807,11434,0.0326
405,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,10473,10614,-0.0133
406,AL,AK,HNH,Hoonah,Hoonah,P,N,10468,9564,0.0945
412,AL,AK,YAK,Yakutat,Yakutat,P,N,10135,10100,0.0035
413,AL,AK,HNS,Haines,Haines,P,N,10106,10093,0.0013
415,AL,AK,GST,Gustavus,Gustavus,P,N,10076,9509,0.0596
421,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,8665,9463,-0.0843
425,AL,AK,ENM,Emmonak,Emmonak,CS,None,8268,9854,-0.1609
429,AL,AK,SGY,Skagway,Skagway,CS,None,8050,7532,0.0688
433,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,7441,7948,-0.0638
435,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,7134,6583,0.0837
448,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,6114,5527,0.1062
455,AL,AK,ILI,Iliamna,Iliamna,CS,None,5688,7036,-0.1916
463,AL,AK,5Z9,Katmai National Park,Lake Brooks,GA,None,5220,1768,1.9525
465,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,5206,4524,0.1508
466,AL,AK,VAK,Chevak,Chevak,CS,None,5203,5559,-0.064
469,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,5089,4804,0.0593
470,AL,AK,UUO,Willow,Willow,GA,None,5002,0,0
474,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,4783,5368,-0.109
475,AL,AK,PHO,Point Hope,Point Hope,CS,None,4735,4399,0.0764
476,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,4571,4614,-0.0093
477,AL,AK,CFK,Chefornak,Chefornak,GA,None,4414,4455,-0.0092
479,AL,AK,WLK,Selawik,Selawik,CS,None,4336,5135,-0.1556
480,AL,AK,MTM,Metlakatla,Metlakatla,CS,None,4243,3927,0.0805
481,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,4188,4588,-0.0872
482,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4178,4021,0.039
487,AL,AK,WTK,Noatak,Noatak,CS,None,4088,4721,-0.1341
488,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,4067,4509,-0.098
490,AL,AK,SDP,Sand Point,Sand Point,CS,None,3976,3984,-0.002
491,AL,AK,AWI,Wainwright,Wainwright,CS,None,3959,3531,0.1212
493,AL,AK,EEK,Eek,Eek,CS,None,3913,3542,0.1047
494,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3904,3408,0.1455
495,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,3871,3662,0.0571
497,AL,AK,SOV,Seldovia,Seldovia,CS,None,3774,4294,-0.1211
501,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,3665,3610,0.0152
502,AL,AK,MCG,McGrath,McGrath,CS,None,3658,4671,-0.2169
503,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,3652,3505,0.0419
504,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3637,3798,-0.0424
505,AL,AK,2A9,Kotlik,Kotlik,CS,None,3622,3740,-0.0316
506,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3602,3340,0.0784
509,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,3463,3683,-0.0597
511,AL,AK,CGA,Craig,Craig,CS,None,3387,3246,0.0434
513,AL,AK,GAM,Gambell,Gambell,CS,None,3312,3483,-0.0491
518,AL,AK,AUK,Alakanuk,Alakanuk,GA,None,3152,3756,-0.1608
520,AL,AK,BVK,Buckland,Buckland,CS,None,3138,3509,-0.1057
521,AL,AK,KLG,Kalskag,Kalskag,CS,None,3127,3506,-0.1081
522,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3123,3172,-0.0154
523,AL,AK,SVA,Savoonga,Savoonga,CS,None,3099,3525,-0.1209
529,AL,AK,TYE,Tyonek,Tyonek,GA,None,3023,3280,-0.0784
530,AL,AK,HLA,Huslia,Huslia,CS,None,3012,2948,0.0217
531,AL,AK,KVL,Kivalina,Kivalina,CS,None,2975,3337,-0.1085
532,AL,AK,Z13,Akiachak,Akiachak,CS,None,2928,3135,-0.066
534,AL,AK,6R7,Old Harbor,Old Harbor,CS,None,2870,3010,-0.0465
535,AL,AK,KVC,King Cove,King Cove,CS,None,2829,2306,0.2268
538,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,2811,2897,-0.0297
540,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2786,2879,-0.0323
545,AL,AK,EWU,Newtok,Newtok,CS,None,2744,2652,0.0347
548,AL,AK,KTB,Thorne Bay,Thorne Bay,CS,None,2681,2799,-0.0422
550,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,2676,2987,-0.1041
552,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,2641,2857,-0.0756
559,AL,AK,4A2,Atmautluak,Atmautluak,CS,None,2500,2315,0.0799
561,AL,AK,SHH,Shishmaref,Shishmaref,GA,None,2490,3171,-0.2148
565,AL,AK,NUL,Nulato,Nulato,GA,None,2442,2213,0.1035
566,AL,AK,RBY,Ruby,Ruby,GA,None,2388,1877,0.2722
567,AL,AK,BTI,Kaktovik,Barter Island LRRS,GA,None,2382,715,2.3315
569,AL,AK,2A3,Larsen Bay,Larsen Bay,GA,None,2336,2585,-0.0963
571,AL,AK,AQT,Nuiqsut,Nuiqsut,GA,None,2326,1886,0.2333
576,AL,AK,RSH,Russian Mission,Russian Mission,GA,None,2272,2770,-0.1798
578,AL,AK,WBB,Stebbins,Stebbins,GA,None,2244,2621,-0.1438
579,AL,AK,SMK,St Michael,St Michael,GA,None,2233,2347,-0.0486
582,AL,AK,VEE,Venetie,Venetie,GA,None,2183,2447,-0.1079
583,AL,AK,SHG,Shungnak,Shungnak,GA,None,2151,2181,-0.0138
585,AL,AK,KEB,English Bay,Nanwalek,GA,None,2138,2705,-0.2096
586,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,GA,None,2126,2350,-0.0953
588,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,GA,None,2118,2406,-0.1197
