ST,RO,Locid,Airport Name,City,Svc Lvl,Hub,CY 2003 Enplanements
NE,CE,SNY,"Sidney Municipal/
Lloyd W. Carr Field",Sidney,GA,None,9.0
NE,CE,FET,Fremont Municipal,Fremont,GA,None,4.0
NE,CE,MLE,Millard,Omaha,GA,None,4.0
NE,CE,LXN,Jim Kelly Field,Lexington,GA,None,3.0
NE,CE,OLU,Columbus Municipal,Columbus,GA,None,1.0
NE,CE,GRN,Gordon Municipal,Gordon,GA,None,1.0
NE Total,,,,,,,2028006.0
NH,NE,MHT,Manchester,Manchester,P,M,1776347.0
NH,NE,PSM,Pease Int'l Tradeport,Portsmouth,P,N,27096.0
NH,NE,LEB,Lebanon Municipal,Lebanon,CS,None,5894.0
NH,NE,NH33,Brigham,Pembroke,GA,None,286.0
NH,NE,CON,Concord Municipal,Concord,GA,None,191.0
NH,NE,LCI,Laconia Municipal,Laconia,GA,None,49.0
NH,NE,ASH,Boire Field,Nashua,GA,None,12.0
NH,NE,BML,Berlin Municipal,Berlin,GA,None,7.0
NH,NE,EEN,Dillant-Hopkins,Keene,GA,None,6.0
NH,NE,CNH,Claremont Municipal,Claremont,GA,None,2.0
NH,NE,HIE,Mount Washington Regional,Whitefield,GA,None,1.0
NH Total,,,,,,,1809891.0
NJ,EA,EWR,Newark Liberty Int'l,Newark,P,L,14628708.0
NJ,EA,ACY,Atlantic City Int'l,Atlantic City,P,S,479546.0
NJ,EA,TTN,Trenton Mercer,Trenton,P,N,23997.0
NJ,EA,TEB,Teterboro,Teterboro,GA,None,12620.0
NJ,EA,WRI,McGuire AFB,Wrightstown,GA,None,7641.0
NJ,EA,MMU,Morristown Municipal,Morristown,GA,None,472.0
NJ,EA,NEL,Lakehurst NAES /Maxfield Field,Lakehurst,GA,None,165.0
NJ,EA,CDW,Essex County,Caldwell,GA,None,150.0
NJ,EA,LDJ,Linden,Linden,GA,None,35.0
NJ,EA,BLM,Monmouth Executive,Belmar,GA,None,32.0
NJ,EA,N51,Solberg-Hunterdon,Readington,GA,None,11.0
NJ,EA,VAY,South Jersey Regional,Mount Holly,GA,None,10.0
NJ,EA,MJX,Robert J. Miller Air Park,Toms River,GA,None,4.0
NJ,EA,N14,Flying W,Lumberton,GA,None,3.0
NJ,EA,3N6,Old Bridge,Old Bridge,GA,None,3.0
NJ,EA,SMQ,Somerset,Somerville,GA,None,2.0
NJ,EA,39N,Princeton,Rocky Hill,GA,None,1.0
NJ Total,,,,,,,15153400.0
NM,SW,ABQ,Albuquerque Int'l Sunport,Albuquerque,P,M,2945468.0
NM,SW,FMN,Four Corners Regional,Farmington,P,N,24913.0
NM,SW,SAF,Santa Fe Municipal,Santa Fe,P,N,17830.0
NM,SW,ROW,Roswell Industrial Air Center,Roswell,CS,None,6447.0
NM,SW,SKX,Taos Regional,Taos,CS,None,3725.0
NM,SW,CNM,Cavern City Air Terminal,Carlsbad,GA,None,2426.0
NM,SW,GUP,Gallup Municipal,Gallup,GA,None,1512.0
NM,SW,SVC,Grant County,Silver City,GA,None,1510.0
NM,SW,CVN,Clovis Municipal,Clovis,GA,None,1347.0
NM,SW,ALM,Alamogordo-White Sands Regional,Alamogordo,GA,None,1319.0
NM,SW,HOB,Lea County Regional,Hobbs,GA,None,815.0
NM,SW,CVS,Cannon AFB,Clovis,GA,None,577.0
NM,SW,HMN,Holloman AFB,Alamogordo,GA,None,340.0
NM,SW,0E0,Crownpoint,Crownpoint,GA,None,151.0
NM,SW,ZUN,Black Rock,Black Rock,GA,None,146.0
NM,SW,RTN,Raton Municipal/Crews Field,Raton,GA,None,100.0
NM,SW,SRR,Sierra Blanca Regional,Ruidoso,GA,None,59.0
NM,SW,LRU,Las Cruces Int'l,Las Cruces,GA,None,43.0
NM,SW,94E,Whiskey Creek,Silver City,GA,None,23.0
NM,SW,AEG,Double Eagle II,Albuquerque,GA,None,19.0
NM,SW,GNT,Grants-Milan Municipal,Grants,GA,None,16.0
NM,SW,DMN,Deming Municipal,Deming,GA,None,10.0
NM,SW,5T6,Dona Ana County at Santa Teresa,Santa Teresa,GA,None,10.0
NM,SW,LVS,Las Vegas Municipal,Las Vegas,GA,None,8.0
NM,SW,0E8,Moriarty,Moriarty,GA,None,7.0
NM,SW,24N,Jicarilla Apache Nation,Dulce,GA,None,4.0
NM,SW,ATS,Artesia Municipal,Artesia,GA,None,3.0
NM,SW,E80,Alexander Municipal,Belen,GA,None,2.0
NM,SW,N29,Magdalena,Magdalena,GA,None,2.0
NM,SW,TCS,Truth or Consequences Municipal,Truth or Consequences,GA,None,2.0
NM Total,,,,,,,3008834.0
NV,WP,LAS,McCarran Int'l,Las Vegas,P,L,17097738.0
NV,WP,RNO,Reno/Tahoe Int'l,Reno,P,M,2242299.0
NV,WP,VGT,North Las Vegas,Las Vegas,P,N,226722.0
NV,WP,EKO,Elko Regional,Elko,P,N,83837.0
NV,WP,HND,Henderson Executive,Las Vegas,P,N,30894.0
NV,WP,LSV,Nellis AFB,Las Vegas,GA,None,2084.0
NV,WP,ELY,Ely /Yelland Field/,Ely,GA,None,907.0
NV,WP,61B,Boulder City Municipal,Boulder City,GA,None,393.0
NV,WP,NFL,Fallon NAS /Van Voorhis Field/,Fallon,GA,None,102.0
NV,WP,CXP,Carson,Carson City,GA,None,101.0
NV,WP,67L,Mesquite,Mesquite,GA,None,22.0
NV,WP,BAM,Battle Mountain,Battle Mountain,GA,None,9.0
NV,WP,FLX,Fallon Municipal,Fallon,GA,None,7.0
NV,WP,4SD,Reno/Stead,Reno,GA,None,4.0
NV,WP,MEV,Minden-Tahoe,Minden,GA,None,3.0
NV,WP,L92,Alamo Landing Field,Alamo,GA,None,1.0
NV Total,,,,,,,19685123.0
NY,EA,JFK,John F Kennedy Int'l,New York,P,L,15676352.0
NY,EA,LGA,La Guardia,New York,P,L,11367309.0
NY,EA,BUF,Buffalo Niagara Int'l,Buffalo,P,M,2039475.0
NY,EA,ALB,Albany Int'l,Albany,P,S,1405611.0
NY,EA,ROC,Greater Rochester Int'l,Rochester,P,S,1233378.0
NY,EA,SYR,Syracuse Hancock Int'l,Syracuse,P,S,954229.0
NY,EA,ISP,Long Island MacArthur,Islip,P,S,939880.0
NY,EA,HPN,Westchester County,White Plains,P,S,426864.0
NY,EA,SWF,Stewart Int'l,Newburgh,P,N,201851.0
NY,EA,BGM,"Greater Binghamton/
Edwin A Link Field",Binghamton,P,N,126252.0
NY,EA,ELM,Elmira/Corning Regional,Elmira/Corning,P,N,86931.0
NY,EA,ITH,Ithaca Tompkins Regional,Ithaca,P,N,68262.0
NY,EA,JHW,Chautauqua County/Jamestown,Jamestown,CS,None,8661.0
NY,EA,HTO,East Hampton,East Hampton,GA,None,3503.0
NY,EA,GTB,Wheeler-Sack AAF,Fort Drum,GA,None,3348.0
NY,EA,6N7,New York Skyports Inc,New York,GA,None,2866.0
NY,EA,ART,Watertown Int'l,Watertown,GA,None,2381.0
NY,EA,SLK,Adirondack Regional,Saranac Lake,GA,None,2269.0
NY,EA,MSS,Massena Int'l-Richards Field,Massena,GA,None,2256.0
NY,EA,FRG,Republic,North Babylon,GA,None,2211.0
NY,EA,UCA,Oneida County,Utica,GA,None,1965.0
NY,EA,OGS,Ogdensburg Int'l,Ogdensburg,GA,None,1901.0
NY,EA,PLB,Clinton County,Plattsburgh,GA,None,1370.0
NY,EA,IAG,Niagara Falls Int'l,Niagara Falls,GA,None,621.0
NY,EA,LKP,Lake Placid,Lake Placid,GA,None,312.0
NY,EA,ELZ,"Wellsville Municipal Airport,
Tarantine Field",Wellsville,GA,None,181.0
NY,EA,MTP,Montauk,Montauk,GA,None,146.0
NY,EA,POU,Dutchess County,Poughkeepsie,GA,None,124.0
NY,EA,0B8,Elizabeth Field,Fishers Island,GA,None,119.0
NY,EA,FOK,Francis S Gabreski,Westhampton Beach,GA,None,93.0
NY,EA,4G6,Hornell Municipal,Hornell,GA,None,56.0
NY,EA,GFL,Floyd Bennett Memorial,Glens Falls,GA,None,47.0
NY,EA,OLE,Cattaraugus County-Olean,Olean,GA,None,28.0
NY,EA,MAL,Malone-Dufort,Malone,GA,None,23.0
NY,EA,PTD,Potsdam Municipal/Damon Field/,Potsdam,GA,None,21.0
NY,EA,5B2,Saratoga County,Saratoga Springs,GA,None,16.0
NY,EA,1B1,Columbia County,Hudson,GA,None,6.0
NY,EA,MGJ,Orange County,Montgomery,GA,None,6.0
NY,EA,PEO,Penn Yan,Penn Yan,GA,None,6.0
NY,EA,DSV,Dansville Municipal,Dansville,GA,None,5.0
NY,EA,NY0,Fulton County,Johnstown,GA,None,5.0
NY,EA,SCH,Schenectady County,Schenectady,GA,None,5.0
NY,EA,D38,Canandaigua,Canandaigua,GA,None,4.0
NY,EA,DKK,Chautauqua County/Dunkirk,Dunkirk,GA,None,3.0
