Rank,RO,Locid,Airport Name,City,State,Svc Lvl,Hub,CY 2002 Boardings ,CY 2001 Boardings,% Change,CY
55.0,SO,PBI,Palm Beach International,West Palm Beach,FL,P,M,2716514.0,2954015.0,-0.0804,2002.0
56.0,WP,OGG,Kahului,Kahului,HI,P,M,2663824.0,2777692.0,-0.041,2002.0
57.0,NE,PVD,Theodore Francis Green State,Warwick,RI,P,M,2662721.0,2751762.0,-0.0324,2002.0
58.0,SO,RSW,Southwest Florida International,Fort Myers,FL,P,M,2551187.0,2596005.0,-0.0173,2002.0
59.0,SO,JAX,Jacksonville International,Jacksonville,FL,P,M,2462399.0,2523809.0,-0.0243,2002.0
60.0,AL,ANC,"Ted Stevens 
Anchorage International",Anchorage,AK,P,M,2388563.0,2419261.0,-0.0127,2002.0
61.0,WP,BUR,Burbank - Glendale - Pasadena,Burbank,CA,P,M,2305747.0,2250685.0,0.0245,2002.0
62.0,WP,RNO,Reno / Tahoe International,Reno,NV,P,M,2170828.0,2388923.0,-0.0913,2002.0
63.0,EA,BUF,Buffalo Niagara International,Buffalo,NY,P,M,2060710.0,2204087.0,-0.0651,2002.0
64.0,CE,OMA,Eppley Airfield,Omaha,NE,P,M,1747320.0,1773894.0,-0.015,2002.0
65.0,SO,SDF,"Louisville International - 
Standiford Field",Louisville,KY,P,M,1740526.0,1876499.0,-0.0725,2002.0
66.0,EA,ORF,Norfolk International,Norfolk,VA,P,M,1731105.0,1478687.0,0.1707,2002.0
67.0,WP,TUS,Tucson International,Tucson,AZ,P,M,1677341.0,1749560.0,-0.0413,2002.0
68.0,NE,MHT,Manchester,Manchester,NH,P,M,1647797.0,1599062.0,0.0305,2002.0
,,,,,,M Total,,127082379.0,,,
69.0,SW,OKC,Will Rogers World,Oklahoma City,OK,P,S,1579179.0,1675889.0,-0.0577,2002.0
70.0,SW,ELP,El Paso International,El Paso,TX,P,S,1452631.0,1544734.0,-0.0596,2002.0
71.0,SW,TUL,Tulsa International,Tulsa,OK,P,S,1450242.0,1627293.0,-0.1088,2002.0
72.0,EA,ALB,Albany International,Albany,NY,P,S,1448263.0,1463632.0,-0.0105,2002.0
73.0,SO,BHM,Birmingham International,Birmingham,AL,P,S,1405395.0,1505133.0,-0.0663,2002.0
74.0,NM,BOI,Boise Air Terminal / Gowen Field,Boise,ID,P,S,1380227.0,1425007.0,-0.0314,2002.0
75.0,WP,GUM,Guam International,Agana,GU,P,S,1375996.0,1489164.0,-0.076,2002.0
76.0,NM,GEG,Spokane International,Spokane,WA,P,S,1354085.0,1423624.0,-0.0488,2002.0
77.0,SO,GSO,Piedmont Triad International,Greensboro,NC,P,S,1262124.0,1317519.0,-0.042,2002.0
78.0,WP,LIH,Lihue,Lihue,HI,P,S,1238972.0,1342287.0,-0.077,2002.0
79.0,WP,KOA,Kona International at Keahole,Kailua Kona,HI,P,S,1200897.0,1235893.0,-0.0283,2002.0
80.0,EA,ROC,Greater Rochester International,Rochester,NY,P,S,1176736.0,1132597.0,0.039,2002.0
81.0,EA,RIC,Richmond International,Highland Springs,VA,P,S,1168023.0,1187681.0,-0.0166,2002.0
82.0,GL,DAY,James M Cox Dayton International,Dayton,OH,P,S,1144295.0,1070456.0,0.069,2002.0
83.0,SW,LIT,Adams Field,Little Rock,AR,P,S,1101623.0,1211753.0,-0.0909,2002.0
