Rank,FAA Region,ST,Locid,City,Airport Name,Service Lvel,Hub,CY 14 Enplanements,CY 13 Enplanements,% Change
908,AL,AK,19P,Port Protection,Port Protection,GA,None,66,97,-0.3196
909,AL,AK,AK71,Lonely,Lonely AS,GA,None,65,75,-0.1333
920,AL,AK,KWP,West Point,West Point Village,GA,None,57,52,0.0962
941,AL,AK,WCR,Chandalar Lake,Chandalar Lake,GA,None,47,28,0.6786
944,AL,AK,KPC,Port Clarence,Port Clarence CGS,GA,None,44,16,1.75
947,AL,AK,5NK,Naknek,Naknek,GA,None,42,40,0.05
954,AL,AK,Z55,Lake Louise,Lake Louise,GA,None,42,0,0
965,AL,AK,3AK5,Kenai,Drift River,GA,None,39,57,-0.3158
966,AL,AK,KKB,Kitoi Bay,Kitoi Bay,GA,None,38,35,0.0857
968,AL,AK,UGB,Pilot Point,Ugashik Bay,GA,None,38,135,-0.7185
971,AL,AK,EXI,Excursion Inlet,Excursion Inlet,GA,None,37,65,-0.4308
978,AL,AK,IYS,Wasilla,Wasilla,GA,None,35,208,-0.8317
980,AL,AK,L20,Yukon Charley Rivers,Coal Creek,GA,None,33,0,0
982,AL,AK,ENN,Nenana,Nenana Municipal,GA,None,32,289,-0.8893
984,AL,AK,HYG,Hydaburg,Hydaburg,GA,None,32,24,0.3333
985,AL,AK,KPB,Point Baker,Point Baker,GA,None,32,16,1
986,AL,AK,A14,Portage Creek,Portage Creek,GA,None,31,12,1.5833
995,AL,AK,KPR,Port Williams,Port Williams,GA,None,30,22,0.3636
997,AL,AK,WSJ,San Juan,San Juan /Uganik/,GA,None,30,33,-0.0909
1009,AL,AK,RDV,Red Devil,Red Devil,GA,None,28,40,-0.3
1014,AL,AK,CKX,Chicken,Chicken,GA,None,26,22,0.1818
1021,AL,AK,3T4,Tetlin,Tetlin,GA,None,24,26,-0.0769
1026,AL,AK,2K5,Telida,Telida,GA,None,23,12,0.9167
1028,AL,AK,KQA,Akutan,Akutan,GA,None,23,13,0.7692
1043,AL,AK,ORT,Fairbanks North Star (Borough),Northway,GA,None,21,9,1.3333
1048,AL,AK,CXC,Chitina,Chitina,GA,None,20,16,0.25
1054,AL,AK,5A8,Aleknagik,Aleknagik /New,GA,None,19,25,-0.24
1071,AL,AK,ZNC,Nyac,Nyac,GA,None,18,14,0.2857
1072,AL,AK,4AK1,Deadhorse,Inigok,GA,None,17,3,4.6667
1077,AL,AK,2AK6,Hogatza,Hog River,GA,None,16,34,-0.5294
1079,AL,AK,AK81,Amook Bay,Amook Bay,GA,None,16,20,-0.2
1085,AL,AK,KMY,Moser Bay,Moser Bay,GA,None,16,36,-0.5556
1091,AL,AK,CHP,Circle Hot Springs,Circle Hot Springs,GA,None,15,8,0.875
1096,AL,AK,AK15,Deadhorse,Alpine Airstrip,GA,None,14,0,0
1098,AL,AK,DCK,Dahl Creek,Dahl Creek,GA,None,14,109,-0.8716
1116,AL,AK,78K,Yes Bay,Yes Bay Lodge,GA,None,12,1,11
1118,AL,AK,CEM,Central,Central,GA,None,12,36,-0.6667
1139,AL,AK,KPY,Port Bailey,Port Bailey,GA,None,11,4,1.75
1155,AL,AK,HRR,Healy,Healy River,GA,None,10,24,-0.5833
1182,AL,AK,TLJ,Takotna,Tatalina LRRS,GA,None,9,63,-0.8571
1222,AL,AK,Z17,Ophir,Ophir,GA,None,8,11,-0.2727
1225,AL,AK,5AK0,Trading Bay,Trading Bay Production,GA,None,7,13,-0.4615
1226,AL,AK,5C5,Craig,El Capitan Lodge,GA,None,7,0,0
1239,AL,AK,KOY,Olga Bay,Olga Bay,GA,None,7,24,-0.7083
1251,AL,AK,15Z,McCarthy,McCarthy,GA,None,6,0,0
1255,AL,AK,AK75,Candle,Candle 2,GA,None,6,5,0.2
1265,AL,AK,FNR,Funter Bay,Funter Bay,GA,None,6,0,0
1285,AL,AK,TSG,Tanacross,Tanacross,GA,None,6,0,0
1300,AL,AK,BYA,Boundary,Boundary,GA,None,5,1,4
1316,AL,AK,NIN,Ninilchik,Ninilchik,GA,None,5,0,0
1331,AL,AK,1KC,Kalakaket Creek Radio Relay Site,Kalakaket Creek AS,GA,None,4,0,0
1339,AL,AK,A13,Anchorage,Bold,GA,None,4,2,1
1403,AL,AK,AK7,Fairbanks,Gold King Creek,GA,None,3,0,0
1423,AL,AK,FWL,Farewell,Farewell,GA,None,3,13,-0.7692
1483,AL,AK,AK13,Chena Hot Springs,Chena Hot Springs,GA,None,2,0,0
1484,AL,AK,AK78,Deadhorse,Badami,GA,None,2,291,-0.9931
1504,AL,AK,FLT,Flat,Flat,GA,None,2,11,-0.8182
1513,AL,AK,KBE,Bell Island,Bell Island Hot Springs,GA,None,2,0,0
1551,AL,AK,Z84,Clear,Clear,GA,None,2,0,0
1560,AL,AK,2AK,Lime Village,Lime Village,GA,None,1,10,-0.9
79,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1299214,1334177,-0.0262
118,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,523248,505541,0.035
162,SO,AL,MOB,Mobile,Mobile Regional,P,N,288376,287661,0.0025
195,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,169764,157958,0.0747
285,SO,AL,DHN,Dothan,Dothan Regional,P,N,50309,48423,0.0389
605,SO,AL,TCL,Tuscaloosa,Tuscaloosa Regional,GA,None,1820,2539,-0.2832
622,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,GA,None,1490,2345,-0.3646
630,SO,AL,BFM,Mobile,Mobile Downtown,GA,None,1412,1387,0.018
663,SO,AL,ANB,Anniston,Anniston Regional,GA,None,993,722,0.3753
766,SO,AL,AUO,Auburn,Auburn University Regional,GA,None,317,586,-0.459
929,SO,AL,JKA,Gulf Shores,Jack Edwards,GA,None,54,166,-0.6747
1000,SO,AL,TOI,Troy,Troy Municipal Airport at N Kenneth Campbell Field,GA,None,29,0,0
1119,SO,AL,CMD,Cullman,Cullman Regional-Folsom Field,GA,None,12,42,-0.7143
1197,SO,AL,DCU,Mooresville,Pryor Field Regional,GA,None,8,17,-0.5294
1315,SO,AL,MVC,Monroeville,Monroe County,GA,None,5,2,1.5
1345,SO,AL,CQF,Fairhope,H. L. (Sonny) Callahan,GA,None,4,206,-0.9806
1411,SO,AL,EKY,Bessemer,Bessemer,GA,None,3,27,-0.8889
1470,SO,AL,4R9,Dauphin Island,Jeremiah Denton Airport,GA,None,2,0,0
1506,SO,AL,GAD,Gadsden,Northeast Alabama Regional,GA,None,2,0,0
1580,SO,AL,ALX,Alexander City,Thomas C Russell Field,GA,None,1,18,-0.9444
87,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,1005251,1055293,-0.0474
109,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,619157,558141,0.1093
239,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,90214,82742,0.0903
300,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,37229,32882,0.1322
460,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,5056,4864,0.0395
476,SW,AR,HRO,Harrison,Boone County,CS,None,4379,5123,-0.1452
505,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,None,3718,4091,-0.0912
554,SW,AR,HOT,Hot Springs,Memorial Field,GA,None,2471,2904,-0.1491
627,SW,AR,FYV,Fayetteville,Drake Field,GA,None,1435,1279,0.122
770,SW,AR,LRF,Jacksonville,Little Rock AFB,GA,None,308,799,-0.6145
819,SW,AR,ROG,Rogers,Rogers Municipal-Carter Field,GA,None,187,298,-0.3725
1133,SW,AR,AWM,West Memphis,West Memphis Municipal,GA,None,11,0,0
1148,SW,AR,ASG,Springdale,Springdale Municipal,GA,None,10,166,-0.9398
1150,SW,AR,BVX,Batesville,Batesville Regional,GA,None,10,0,0
1183,SW,AR,VBT,Bentonville,Bentonville Municipal/Louise M Thaden Field,GA,None,9,145,-0.9379
1209,SW,AR,MEZ,Mena,Mena Intermountain Municipal,GA,None,8,15,-0.4667
1245,SW,AR,PGR,Paragould,Kirk Field,GA,None,7,4,0.75
1257,SW,AR,BPK,Mountain Home,Baxter County,GA,None,6,53,-0.8868
1267,SW,AR,H35,Clarksville,Clarksville Municipal,GA,None,6,0,0
1283,SW,AR,SLG,Siloam Springs,Smith Field,GA,None,6,0,0
1289,SW,AR,3AR9,Paragould,Hog Air Aviation Inc,GA,None,5,554,-0.991
1365,SW,AR,PBF,Pine Bluff,Grider Field,GA,None,4,5,-0.2
1377,SW,AR,SRC,Searcy,Searcy Municipal,GA,None,4,4,0
1399,SW,AR,7M2,Mountain View,Mountain View Wilcox Memorial Field,GA,None,3,0,0
1400,SW,AR,7M5,Ozark,Ozark-Franklin County,GA,None,3,0,0
1448,SW,AR,RUE,Russellville,Russellville Regional,GA,None,3,10,-0.7
1481,SW,AR,ADF,Arkadelphia,Dexter B Florence Memorial Field,GA,None,2,0,0
1490,SW,AR,BYH,Blytheville,Arkansas International,GA,None,2,0,0
1497,SW,AR,CRT,Crossett,Z M Jack Stell Field,GA,None,2,0,0
1509,SW,AR,HEE,West Helena,Thompson-Robbins,GA,None,2,0,0
1540,SW,AR,SGT,Ulm,Stuttgart Municipal,GA,None,2,37,-0.9459
1563,SW,AR,37T,Calico Rock,Calico Rock-Izard County,GA,None,1,0,0
1565,SW,AR,3M9,Warren,Warren Municipal,GA,None,1,0,0
1569,SW,AR,4M1,Berryville,Carroll County,GA,None,1,0,0
1570,SW,AR,4M2,Booneville,Booneville Municipal,GA,None,1,0,0
1577,SW,AR,7M9,Salem,Salem,GA,None,1,0,0
1582,SW,AR,ARG,Walnut Ridge,Walnut Ridge Regional,GA,None,1,2,-0.5
1597,SW,AR,CCA,Clinton,Clinton Municipal,GA,None,1,0,0
