Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,CY 04 Enplanements,% Change
41.0,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,4791786.0,4621107.0,0.0369
53.0,WP,CA,ONT,Ontario,Ontario International,P,M,3458935.0,3291726.0,0.0508
60.0,WP,CA,BUR,Burbank,Bob Hope,P,M,2761184.0,2455574.0,0.1245
76.0,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1481659.0,1425875.0,0.0391
102.0,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,715627.0,687098.0,0.0415
110.0,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,574012.0,538394.0,0.0662
126.0,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,431079.0,417285.0,0.0331
180.0,WP,CA,MRY,Monterey,Monterey Peninsula,P,N,193728.0,183785.0,0.0541
189.0,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,174878.0,158107.0,0.1061
197.0,WP,CA,BFL,Bakersfield,Meadows Field,P,N,146607.0,118046.0,0.2419
211.0,WP,CA,ACV,Arcata/Eureka,Arcata,P,N,108698.0,96289.0,0.1289
250.0,WP,CA,RDD,Redding,Redding Municipal,P,N,62509.0,60978.0,0.0251
263.0,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,48927.0,49447.0,-0.0105
287.0,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,38128.0,38082.0,0.0012
316.0,WP,CA,VCV,Victorville,Southern California Logistics,P,N,25836.0,32421.0,-0.2031
328.0,WP,CA,OXR,Oxnard,Oxnard,P,N,22783.0,23832.0,-0.044
331.0,WP,CA,RIV,Riverside,March ARB,GA,None,21184.0,29580.0,-0.2838
342.0,WP,CA,CIC,Chico,Chico Municipal,P,N,17811.0,17561.0,0.0142
344.0,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,P,N,17735.0,19798.0,-0.1042
366.0,WP,CA,IYK,Inyokern,Inyokern,P,N,13138.0,12725.0,0.0325
377.0,WP,CA,CEC,Crescent City,Jack McNamara Field,P,N,11632.0,12472.0,-0.0674
414.0,WP,CA,MCE,Merced,Merced Municipal/MacReady Field,CS,None,8616.0,8004.0,0.0765
448.0,WP,CA,IPL,Imperial,Imperial County,CS,None,5977.0,7106.0,-0.1589
490.0,WP,CA,SUU,Fairfield,Travis AFB,GA,None,4014.0,3004.0,0.3362
491.0,WP,CA,VIS,Visalia,Visalia Municipal,CS,None,4008.0,1105.0,2.6271
533.0,WP,CA,NZY,San Diego,North Island NAS /Halsey Field/,GA,None,2966.0,1486.0,0.996
549.0,WP,CA,PMD,Palmdale,Palmdale Regional/USAF Plant 42,CS,None,2648.0,139.0,18.0504
596.0,WP,CA,VNY,Van Nuys,Van Nuys,GA,None,1992.0,518.0,2.8456
612.0,WP,CA,NKX,San Diego,Miramar MCAS/Mitscher Field,GA,None,1731.0,3682.0,-0.5299
617.0,WP,CA,NTD,Point Mugu,Point Mugu NAS,GA,None,1656.0,1275.0,0.2988
649.0,WP,CA,VBG,Lompoc,Vandenberg AFB,GA,None,1345.0,242.0,4.5579
681.0,WP,CA,SCK,Stockton,Stockton Metropolitan,GA,None,1064.0,1863.0,-0.4289
715.0,WP,CA,SMO,Santa Monica,Santa Monica Municipal,GA,None,756.0,302.0,1.5033
732.0,WP,CA,SVE,Susanville,Susanville Municipal,GA,None,563.0,0.0,0.0
759.0,WP,CA,PRB,Paso Robles,Paso Robles Municipal,GA,None,443.0,268.0,0.653
785.0,WP,CA,CMA,Camarillo,Camarillo,GA,None,330.0,1.0,329.0
813.0,WP,CA,BAB,Marysville,Beale AFB,GA,None,251.0,0.0,0.0
814.0,WP,CA,HHR,Hawthorne,Jack Northrop Field/Hawthorne Municipal,GA,None,251.0,230.0,0.0913
829.0,WP,CA,SDM,San Diego,Brown Field Municipal,GA,None,228.0,14.0,15.2857
842.0,WP,CA,EDW,Edwards,Edwards AFB,GA,None,195.0,0.0,0.0
852.0,WP,CA,APC,Napa,Napa County,GA,None,176.0,25.0,6.04
888.0,WP,CA,MHR,Sacramento,Sacramento Mather,GA,None,134.0,277.0,-0.5162
916.0,WP,CA,AAT,Alturas,Alturas Municipal,GA,None,111.0,0.0,0.0
942.0,WP,CA,TRM,Palm Springs,Jacqueline Cochran Regional,GA,None,91.0,11.0,7.2727
943.0,WP,CA,UDD,Palm Springs,Bermuda Dunes,GA,None,91.0,61.0,0.4918
945.0,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,GA,None,89.0,36.0,1.4722
969.0,WP,CA,GOO,Grass Valley,Nevada County Air Park,GA,None,74.0,0.0,0.0
975.0,WP,CA,FCH,Fresno,Fresno Chandler Executive,GA,None,72.0,87.0,-0.1724
978.0,WP,CA,NJK,El Centro,El Centro NAF,GA,None,71.0,0.0,0.0
999.0,WP,CA,O69,Petaluma,Petaluma Municipal,GA,None,63.0,0.0,0.0
1016.0,WP,CA,TRK,Truckee,Truckee-Tahoe,GA,None,57.0,18.0,2.1667
1029.0,WP,CA,MCC,Sacramento,McClellan Airfield,GA,None,53.0,76.0,-0.3026
1044.0,WP,CA,UKI,Ukiah,Ukiah Municipal,GA,None,50.0,71.0,-0.2958
1048.0,WP,CA,TVL,South Lake Tahoe,Lake Tahoe,GA,None,49.0,219.0,-0.7763
1078.0,WP,CA,CCR,Concord,Buchanan Field,GA,None,41.0,23.0,0.7826
1094.0,WP,CA,SQL,San Carlos,San Carlos,GA,None,38.0,0.0,0.0
1107.0,WP,CA,STS,Santa Rosa,Charles M. Schulz - Sonoma County,GA,None,35.0,20.0,0.75
1115.0,WP,CA,LVK,Livermore,Livermore Municipal,GA,None,33.0,5.0,5.6
1121.0,WP,CA,IZA,Santa Ynez,Santa Ynez,GA,None,32.0,18.0,0.7778
1136.0,WP,CA,SNS,Salinas,Salinas Municipal,GA,None,30.0,14.0,1.1429
1144.0,WP,CA,O05,Chester,Rogers Field,GA,None,29.0,0.0,0.0
1154.0,WP,CA,SAC,Sacramento,Sacramento Executive,GA,None,28.0,120.0,-0.7667
1155.0,WP,CA,SBD,San Bernardino,San Bernardino International,GA,None,28.0,49.0,-0.4286
1205.0,WP,CA,DVO,Novato,Gnoss Field,GA,None,21.0,0.0,0.0
1246.0,WP,CA,O85,Redding,Benton Field,GA,None,18.0,52.0,-0.6538
1252.0,WP,CA,2O7,Independence,Independence,GA,None,17.0,0.0,0.0
1314.0,WP,CA,MIT,Shafter,Shafter-Minter Field,GA,None,14.0,9.0,0.5556
1315.0,WP,CA,O46,Weed,Weed,GA,None,14.0,6.0,1.3333
1338.0,WP,CA,O09,Covelo,Round Valley,GA,None,13.0,0.0,0.0
1356.0,WP,CA,MHV,Mojave,Mojave,GA,None,12.0,63.0,-0.8095
1382.0,WP,CA,PAO,Palo Alto,Palo Alto Airport of Santa Clara County,GA,None,11.0,1.0,10.0
1402.0,WP,CA,MYV,Marysville,Yuba County,GA,None,10.0,260.0,-0.9615
1414.0,WP,CA,WJF,Lancaster,General Wm J Fox Airfield,GA,None,10.0,4.0,1.5
1497.0,WP,CA,O60,Cloverdale,Cloverdale Municipal,GA,None,7.0,0.0,0.0
1505.0,WP,CA,SZP,Santa Paula,Santa Paula,GA,None,7.0,0.0,0.0
1515.0,WP,CA,F70,Murrieta/Temecula,French Valley,GA,None,6.0,4.0,0.5
1528.0,WP,CA,MYF,San Diego,Montgomery Field,GA,None,6.0,108.0,-0.9444
1552.0,WP,CA,AJO,Corona,Corona Municipal,GA,None,5.0,0.0,0.0
1560.0,WP,CA,E16,San Martin,South County Airport of Santa Clara County,GA,None,5.0,0.0,0.0
1576.0,WP,CA,L35,Big Bear City,Big Bear City,GA,None,5.0,0.0,0.0
1582.0,WP,CA,MER,Atwater,Castle,GA,None,5.0,0.0,0.0
1586.0,WP,CA,O54,Weaverville,Lonnie Pool Field/Weaverville,GA,None,5.0,0.0,0.0
1596.0,WP,CA,SEE,San Diego/El Cajon,Gillespie Field,GA,None,5.0,75.0,-0.9333
1605.0,WP,CA,2O1,Quincy,Gansner Field,GA,None,4.0,2.0,1.0
1606.0,WP,CA,2Q3,Davis/Woodland/Winters,Yolo County-Davis/Woodland/Winters,GA,None,4.0,0.0,0.0
1628.0,WP,CA,BWC,Brawley,Brawley Municipal,GA,None,4.0,0.0,0.0
1636.0,WP,CA,EMT,El Monte,El Monte,GA,None,4.0,0.0,0.0
1642.0,WP,CA,HJO,Hanford,Hanford Municipal,GA,None,4.0,48.0,-0.9167
1658.0,WP,CA,O15,Turlock,Turlock Municipal,GA,None,4.0,0.0,0.0
1660.0,WP,CA,OVE,Oroville,Oroville Municipal,GA,None,4.0,0.0,0.0
1662.0,WP,CA,RAL,Riverside,Riverside Municipal,GA,None,4.0,0.0,0.0
1664.0,WP,CA,RHV,San Jose,Reid-Hillview of Santa Clara County,GA,None,4.0,0.0,0.0
1673.0,WP,CA,TOA,Torrance,Zamperini Field,GA,None,4.0,0.0,0.0
1718.0,WP,CA,KIC,King City,Mesa Del Rey,GA,None,3.0,0.0,0.0
1729.0,WP,CA,O22,Columbia,Columbia,GA,None,3.0,3.0,0.0
1747.0,WP,CA,WVI,Watsonville,Watsonville Municipal,GA,None,3.0,0.0,0.0
1749.0,WP,CA,0Q9,Sonoma,Sonoma Skypark,GA,None,2.0,0.0,0.0
1753.0,WP,CA,1O5,Montague,Montague-Yreka Rohrer Field,GA,None,2.0,6.0,-0.6667
1770.0,WP,CA,APV,Apple Valley,Apple Valley,GA,None,2.0,0.0,0.0
1774.0,WP,CA,AUN,Auburn,Auburn Municipal,GA,None,2.0,0.0,0.0
1794.0,WP,CA,CXL,Calexico,Calexico International,GA,None,2.0,0.0,0.0
1818.0,WP,CA,L08,Borrego Springs,Borrego Valley,GA,None,2.0,105.0,-0.981
1820.0,WP,CA,LHM,Lincoln,Lincoln Regional/Karl Harder Field,GA,None,2.0,0.0,0.0
1851.0,WP,CA,SIY,Montague,Siskiyou County,GA,None,2.0,11.0,-0.8182
1881.0,WP,CA,2O3,Angwin,Angwin-Parrett Field,GA,None,1.0,0.0,0.0
1882.0,WP,CA,36S,Happy Camp,Happy Camp,GA,None,1.0,0.0,0.0
1913.0,WP,CA,L45,Bakersfield,Bakersfield Municipal,GA,None,1.0,0.0,0.0
1928.0,WP,CA,O41,Woodland,Watts-Woodland,GA,None,1.0,3.0,-0.6667
1929.0,WP,CA,O52,Yuba City,Sutter County,GA,None,1.0,0.0,0.0
