Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
297,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,39422,37920,0.0396
298,NM,WY,COD,Cody,Yellowstone Regional,P,N,39407,39578,-0.0043
299,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,38991,28669,0.36
300,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,38831,40324,-0.037
301,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,38664,34910,0.1075
302,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,38026,38773,-0.0193
303,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,37599,34101,0.1026
304,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,36917,25105,0.4705
305,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,36382,33425,0.0885
306,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,36308,26220,0.3847
307,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,36238,32250,0.1237
309,AL,AK,DLG,Dillingham,Dillingham,P,N,34496,28895,0.1938
312,GL,SD,PIR,Pierre,Pierre Regional,P,N,30124,32822,-0.0822
313,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,30081,29038,0.0359
315,AL,AK,DUT,Unalaska,Unalaska,P,N,29229,30080,-0.0283
316,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,29022,50510,-0.4254
317,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,28404,27635,0.0278
318,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,28341,29455,-0.0378
319,SW,TX,BPT,Beaumont,Jack Brooks Regional,P,N,27694,23767,0.1652
320,SW,OK,SWO,Stillwater,Stillwater Regional,P,N,27321,27370,-0.0018
321,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,27136,29271,-0.0729
323,NM,MT,BTM,Butte,Bert Mooney,P,N,25803,27703,-0.0686
324,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,25464,23961,0.0627
325,WP,AZ,PGA,Page,Page Municipal,P,N,25387,21347,0.1893
326,CE,KS,GCK,Garden City,Garden City Regional,P,N,25243,26687,-0.0541
328,SW,TX,GGG,Longview,East Texas Regional,P,N,24588,19261,0.2766
329,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,24520,22915,0.07
330,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,24477,23014,0.0636
331,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,24041,24843,-0.0323
332,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,23950,22822,0.0494
333,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,23892,27358,-0.1267
334,EA,NY,ART,Watertown,Watertown International,P,N,23844,22785,0.0465
335,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,23654,25584,-0.0754
336,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,23522,21352,0.1016
337,SW,NM,HOB,Hobbs,Lea County Regional,P,N,23475,16216,0.4476
338,EA,NY,OGS,Ogdensburg,Ogdensburg International,P,N,23448,22957,0.0214
339,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,23324,22261,0.0478
340,NM,WY,RKS,Rock Springs,Southwest Wyoming Regional,P,N,23020,18109,0.2712
341,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,23008,24527,-0.0619
342,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,22595,18963,0.1915
343,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,22547,18323,0.2305
