Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 09 Boardings,CY 08 Boardings,% Change
1516.0,SW,NM,RTN,Raton,Raton Municipal/Crews Field,GA,--,4.0,9.0,-0.5556
1633.0,SW,NM,CAO,Clayton,Clayton Municipal Airpark,GA,--,2.0,5.0,-0.6
1725.0,SW,NM,AXX,Angel Fire,Angel Fire,GA,--,1.0,0.0,0.0
7.0,WP,NV,LAS,Las Vegas,McCarran International,P,L,19445952.0,21024443.0,-0.0751
64.0,WP,NV,RNO,Reno,Reno/Tahoe International,P,M,1828818.0,2150816.0,-0.1497
177.0,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,194838.0,300553.0,-0.3517
312.0,WP,NV,VGT,Las Vegas,North Las Vegas,P,N,26526.0,67389.0,-0.6064
332.0,WP,NV,EKO,Elko,Elko Regional,P,N,20668.0,25523.0,-0.1902
335.0,WP,NV,HND,Las Vegas,Henderson Executive,GA,--,20160.0,692.0,28.1329
480.0,WP,NV,LSV,Las Vegas,Nellis AFB,GA,--,3939.0,2880.0,0.3677
739.0,WP,NV,NFL,Fallon,Fallon NAS /Van Voorhis Field/,GA,--,451.0,335.0,0.3463
801.0,WP,NV,ELY,Ely,Ely /Yelland Field/,GA,--,216.0,239.0,-0.0962
950.0,WP,NV,INS,Indian Springs,Creech AFB,GA,--,57.0,0.0,0.0
969.0,WP,NV,MEV,Minden,Minden-Tahoe,GA,--,48.0,95.0,-0.4947
994.0,WP,NV,CXP,Carson City,Carson,GA,--,40.0,68.0,-0.4118
1185.0,WP,NV,BAM,Battle Mountain,Battle Mountain,GA,--,13.0,10.0,0.3
1198.0,WP,NV,O43,Yerington,Yerington Municipal,GA,--,13.0,9.0,0.4444
1224.0,WP,NV,WMC,Winnemucca,Winnemucca Municipal,GA,--,12.0,5.0,1.4
1433.0,WP,NV,NV30,Fallon,Dixie Valley,GA,--,5.0,0.0,0.0
1439.0,WP,NV,RTS,Reno,Reno/Stead,GA,--,5.0,21.0,-0.7619
1556.0,WP,NV,FLX,Fallon,Fallon Municipal,GA,--,3.0,60.0,-0.95
1618.0,WP,NV,67L,Mesquite,Mesquite,GA,--,2.0,1.0,1.0
6.0,EA,NY,JFK,New York,John F Kennedy International,P,L,22710272.0,23620948.0,-0.0386
21.0,EA,NY,LGA,New York,La Guardia,P,L,11084300.0,11567586.0,-0.0418
56.0,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2657467.0,2744501.0,-0.0317
77.0,EA,NY,ALB,Albany,Albany International,P,S,1302814.0,1365854.0,-0.0462
79.0,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1273783.0,1349694.0,-0.0562
85.0,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,1016571.0,1105143.0,-0.0801
86.0,EA,NY,HPN,White Plains,Westchester County,P,S,964927.0,904482.0,0.0668
88.0,EA,NY,ISP,Islip,Long Island MacArthur,P,S,929902.0,1048768.0,-0.1133
176.0,EA,NY,SWF,Newburgh,Stewart International,P,N,197655.0,392464.0,-0.4964
207.0,EA,NY,ELM,Elmira/Corning,Elmira/Corning Regional,P,N,114519.0,104508.0,0.0958
210.0,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,109991.0,91866.0,0.1973
217.0,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,98090.0,108325.0,-0.0945
239.0,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,73159.0,45998.0,0.5905
343.0,EA,NY,IAG,Niagara Falls,Niagara Falls International,GA,--,17617.0,14122.0,0.2475
361.0,EA,NY,GTB,Fort Drum,Wheeler-Sack AAF,GA,--,13721.0,14457.0,-0.0509
459.0,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,--,4809.0,4252.0,0.131
490.0,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,CS,--,3560.0,4415.0,-0.1937
506.0,EA,NY,MSS,Massena,Massena International-Richards Field,CS,--,3252.0,971.0,2.3491
522.0,EA,NY,FRG,North Babylon,Republic,GA,--,2866.0,3586.0,-0.2008
534.0,EA,NY,6N5,New York,East 34th Street,CS,--,2677.0,5515.0,-0.5146
564.0,EA,NY,ART,Watertown,Watertown International,GA,--,2145.0,524.0,3.0935
569.0,EA,NY,OGS,Ogdensburg,Ogdensburg International,GA,--,2036.0,603.0,2.3765
622.0,EA,NY,RME,Rome,Griffiss International,GA,--,1360.0,1601.0,-0.1505
712.0,EA,NY,JRB,New York,Downtown Manhattan/Wall St,GA,--,606.0,2191.0,-0.7234
774.0,EA,NY,HTO,East Hampton,East Hampton,GA,--,286.0,923.0,-0.6901
798.0,EA,NY,FOK,Westhampton Beach,Francis S Gabreski,GA,--,219.0,441.0,-0.5034
904.0,EA,NY,MTP,Montauk,Montauk,GA,--,80.0,95.0,-0.1579
912.0,EA,NY,JRA,New York,West 30th St.,GA,--,76.0,130.0,-0.4154
980.0,EA,NY,0B8,Fishers Island,Elizabeth Field,GA,--,44.0,140.0,-0.6857
1015.0,EA,NY,5B2,Saratoga Springs,Saratoga County,GA,--,34.0,18.0,0.8889
1099.0,EA,NY,PEO,Penn Yan,Penn Yan,GA,--,21.0,17.0,0.2353
1107.0,EA,NY,GFL,Glens Falls,Floyd Bennett Memorial,GA,--,20.0,73.0,-0.726
1138.0,EA,NY,LKP,Lake Placid,Lake Placid,GA,--,17.0,0.0,0.0
1178.0,EA,NY,POU,Poughkeepsie,Dutchess County,GA,--,14.0,44.0,-0.6818
1234.0,EA,NY,MSV,Monticello,Sullivan County International,GA,--,11.0,31.0,-0.6452
1398.0,EA,NY,SCH,Schenectady,Schenectady County,GA,--,6.0,21.0,-0.7143
1403.0,EA,NY,VGC,Hamilton,Hamilton Municipal,GA,--,6.0,17.0,-0.6471
1434.0,EA,NY,NY46,Amenia,Bel-Aire Farms,GA,--,5.0,0.0,0.0
1435.0,EA,NY,OLE,Olean,Cattaraugus County-Olean,GA,--,5.0,9.0,-0.4444
1468.0,EA,NY,6N7,New York,New York Skyports Inc,GA,--,4.0,240.0,-0.9833
1484.0,EA,NY,DSV,Dansville,Dansville Municipal,GA,--,4.0,2.0,1.0
1536.0,EA,NY,1B1,Hudson,Columbia County,GA,--,3.0,6.0,-0.5
1541.0,EA,NY,87N,Southampton,Southampton,GA,--,3.0,33.0,-0.9091
1614.0,EA,NY,44N,Millbrook,Sky Acres,GA,--,2.0,29.0,-0.931
1638.0,EA,NY,D38,Canandaigua,Canandaigua,GA,--,2.0,7.0,-0.7143
35.0,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4704329.0,5387625.0,-0.1268
52.0,GL,OH,CMH,Columbus,Port Columbus International,P,M,3096515.0,3419513.0,-0.0945
81.0,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1240848.0,1454618.0,-0.147
99.0,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,715367.0,722337.0,-0.0096
221.0,GL,OH,TOL,Toledo,Toledo Express,P,N,93669.0,129553.0,-0.277
344.0,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,17391.0,17837.0,-0.025
429.0,GL,OH,LCK,Columbus,Rickenbacker International,CS,--,6415.0,11706.0,-0.452
650.0,GL,OH,BKL,Cleveland,Burke Lakefront,GA,--,1103.0,2059.0,-0.4643
701.0,GL,OH,LUK,Cincinnati,Cincinnati Municipal Airport Lunken Field,GA,--,657.0,2039.0,-0.6778
706.0,GL,OH,FFO,Dayton,Wright-Patterson AFB,GA,--,625.0,555.0,0.1261
923.0,GL,OH,MFD,Mansfield,Mansfield Lahm Regional,GA,--,70.0,206.0,-0.6602
974.0,GL,OH,CGF,Cleveland,Cuyahoga County,GA,--,46.0,156.0,-0.7051
1044.0,GL,OH,OSU,Columbus,Ohio State University,GA,--,28.0,249.0,-0.8876
1091.0,GL,OH,I23,Washington Court House,Fayette County,GA,--,22.0,20.0,0.1
1153.0,GL,OH,VTA,Newark,Newark-Heath,GA,--,16.0,36.0,-0.5556
1175.0,GL,OH,HAO,Hamilton,Butler County Regional,GA,--,14.0,77.0,-0.8182
1182.0,GL,OH,38D,Salem,Salem Airpark Inc,GA,--,13.0,72.0,-0.8194
1201.0,GL,OH,SGH,Springfield,Springfield-Beckley Municipal,GA,--,13.0,64.0,-0.7969
1237.0,GL,OH,UNI,Athens,Ohio University Snyder Field,GA,--,11.0,14.0,-0.2143
1254.0,GL,OH,MWO,Middletown,Middletown Regional/Hook Field,GA,--,10.0,21.0,-0.5238
1269.0,GL,OH,DLZ,Delaware,Delaware Municipal,GA,--,9.0,25.0,-0.64
1301.0,GL,OH,ILN,Wilmington,Airborne Airpark,GA,--,8.0,0.0,0.0
1309.0,GL,OH,MRT,Marysville,Union County,GA,--,8.0,9.0,-0.1111
1338.0,GL,OH,CQA,Celina,Lakefield,GA,--,7.0,36.0,-0.8056
1392.0,GL,OH,MGY,Dayton,Dayton-Wright Brothers,GA,--,6.0,74.0,-0.9189
1425.0,GL,OH,HZY,Ashtabula,Ashtabula County,GA,--,5.0,0.0,0.0
1465.0,GL,OH,4I3,Mount Vernon,Knox County,GA,--,4.0,3.0,0.3333
1491.0,GL,OH,FDY,Findlay,Findlay,GA,--,4.0,176.0,-0.9773
1502.0,GL,OH,LPR,Lorain,Lorain County Regional,GA,--,4.0,54.0,-0.9259
1511.0,GL,OH,PHD,New Philadelphia,Harry Clever Field,GA,--,4.0,6.0,-0.3333
1529.0,GL,OH,VES,Versailles,Darke County,GA,--,4.0,0.0,0.0
1608.0,GL,OH,2G2,Steubenville,Jefferson County Airpark,GA,--,2.0,0.0,0.0
1630.0,GL,OH,BJJ,Wooster,Wayne County,GA,--,2.0,0.0,0.0
1720.0,GL,OH,AKR,Akron,Akron Fulton International,GA,--,1.0,28.0,-0.9643
1724.0,GL,OH,AOH,Lima,Lima Allen County,GA,--,1.0,4.0,-0.75
1748.0,GL,OH,I69,Batavia,Clermont County,GA,--,1.0,7.0,-0.8571
1762.0,GL,OH,OXD,Oxford,Miami University,GA,--,1.0,6.0,-0.8333
1777.0,GL,OH,USE,Wauseon,Fulton County,GA,--,1.0,4.0,-0.75
67.0,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1662631.0,1838709.0,-0.0958
74.0,SW,OK,TUL,Tulsa,Tulsa International,P,S,1416249.0,1606622.0,-0.1185
240.0,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,71389.0,77533.0,-0.0792
573.0,SW,OK,SWO,Stillwater,Stillwater Regional,GA,--,2021.0,2277.0,-0.1124
616.0,SW,OK,TIK,Oklahoma City,Tinker AFB,GA,--,1426.0,1241.0,0.1491
779.0,SW,OK,GUY,Guymon,Guymon Municipal,GA,--,269.0,98.0,1.7449
867.0,SW,OK,PWA,Oklahoma City,Wiley Post,GA,--,115.0,216.0,-0.4676
892.0,SW,OK,CSM,Burns Flat,Clinton-Sherman,GA,--,91.0,897.0,-0.8986
1102.0,SW,OK,BFK,Buffalo,Buffalo Municipal,GA,--,20.0,193.0,-0.8964
1119.0,SW,OK,RVS,Tulsa,Richard Lloyd Jones Jr,GA,--,19.0,6.0,2.1667
1452.0,SW,OK,17K,Boise City,Boise City,GA,--,4.0,12.0,-0.6667
1469.0,SW,OK,ADH,Ada,Ada Municipal,GA,--,4.0,4.0,0.0
1476.0,SW,OK,BVO,Bartlesville,Bartlesville Municipal,GA,--,4.0,0.0,0.0
1531.0,SW,OK,WDG,Enid,Enid Woodring Regional,GA,--,4.0,10.0,-0.6
1557.0,SW,OK,GAG,Gage,Gage,GA,--,3.0,0.0,0.0
1567.0,SW,OK,JWG,Watonga,Watonga Regional,GA,--,3.0,0.0,0.0
1581.0,SW,OK,PNC,Ponca City,Ponca City Regional,GA,--,3.0,16.0,-0.8125
1603.0,SW,OK,WWR,Woodward,West Woodward,GA,--,3.0,5.0,-0.4
1669.0,SW,OK,MIO,Miami,Miami Municipal,GA,--,2.0,4.0,-0.5
1679.0,SW,OK,OUN,Norman,University of Oklahoma Westheimer,GA,--,2.0,70.0,-0.9714
1747.0,SW,OK,H71,Pryor,Mid-America Industrial,GA,--,1.0,0.0,0.0
30.0,NM,OR,PDX,Portland,Portland International,P,M,6430119.0,7090526.0,-0.0931
141.0,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,N,340662.0,358819.0,-0.0506
151.0,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,287558.0,287688.0,-0.0005
168.0,NM,OR,RDM,Redmond,Roberts Field,P,N,221463.0,235192.0,-0.0584
325.0,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,22395.0,35458.0,-0.3684
337.0,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,20053.0,26970.0,-0.2565
484.0,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,--,3828.0,7217.0,-0.4696
574.0,NM,OR,ONP,Newport,Newport Municipal,GA,--,1999.0,23.0,85.913
608.0,NM,OR,AST,Astoria,Astoria Regional,GA,--,1531.0,1851.0,-0.1729
705.0,NM,OR,UAO,Aurora,Aurora State,GA,--,632.0,583.0,0.084
707.0,NM,OR,BKE,Baker City,Baker City Municipal,GA,--,621.0,756.0,-0.1786
880.0,NM,OR,GCD,John Day,Grant County Regional/Ogilvie Field,GA,--,102.0,1.0,101.0
920.0,NM,OR,BDN,Bend,Bend Municipal,GA,--,70.0,279.0,-0.7491
1027.0,NM,OR,HIO,Portland,Portland-Hillsboro,GA,--,31.0,73.0,-0.5753
1028.0,NM,OR,MMV,McMinnville,McMinnville Municipal,GA,--,31.0,33.0,-0.0606
1057.0,NM,OR,LKV,Lakeview,Lake County,GA,--,26.0,47.0,-0.4468
1064.0,NM,OR,SLE,Salem,McNary Field,GA,--,25.0,15205.0,-0.9984
1147.0,NM,OR,HRI,Hermiston,Hermiston Municipal,GA,--,16.0,4.0,3.0
1200.0,NM,OR,S05,Bandon,Bandon State,GA,--,13.0,0.0,0.0
1267.0,NM,OR,CVO,Corvallis,Corvallis Municipal,GA,--,9.0,25.0,-0.64
1315.0,NM,OR,S03,Ashland,Ashland Municipal-Sumner Parker Field,GA,--,8.0,49.0,-0.8367
1339.0,NM,OR,DLS,Klickitat (County),Columbia Gorge Regional/The Dalles Municipal,GA,--,7.0,37.0,-0.8108
1349.0,NM,OR,RBG,Roseburg,Roseburg Regional,GA,--,7.0,47.0,-0.8511
1358.0,NM,OR,TTD,Portland,Portland-Troutdale,GA,--,7.0,14.0,-0.5
1368.0,NM,OR,4S2,Hood River,Ken Jernstedt Airfield,GA,--,6.0,14.0,-0.5714
1442.0,NM,OR,S21,Sunriver,Sunriver,GA,--,5.0,8.0,-0.375
1538.0,NM,OR,48OR,Roseburg,Lookingglass,GA,--,3.0,100.0,-0.97
1539.0,NM,OR,4S1,Gold Beach,Gold Beach Municipal,GA,--,3.0,11.0,-0.7273
1540.0,NM,OR,77S,Creswell,Hobby Field,GA,--,3.0,0.0,0.0
1547.0,NM,OR,BNO,Burns,Burns Municipal,GA,--,3.0,9.0,-0.6667
1612.0,NM,OR,3S8,Grants Pass,Grants Pass,GA,--,2.0,11.0,-0.8182
1613.0,NM,OR,3S9,Condon,Condon State Pauling Field,GA,--,2.0,0.0,0.0
1689.0,NM,OR,S39,Prineville,Prineville,GA,--,2.0,0.0,0.0
1767.0,NM,OR,S12,Albany,Albany Municipal,GA,--,1.0,0.0,0.0
1768.0,NM,OR,S45,Gleneden Beach,Siletz Bay State,GA,--,1.0,0.0,0.0
18.0,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15002961.0,15586852.0,-0.0375
45.0,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,3956842.0,4292546.0,-0.0782
107.0,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,615625.0,635627.0,-0.0315
131.0,EA,PA,ABE,Allentown,Lehigh Valley International,P,S,376091.0,392039.0,-0.0407
173.0,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,204244.0,219745.0,-0.0705
199.0,EA,PA,UNV,State College,University Park,P,N,130527.0,133777.0,-0.0243
204.0,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,121164.0,124667.0,-0.0281
338.0,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,19834.0,23901.0,-0.1702
351.0,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,15482.0,18946.0,-0.1828
407.0,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,--,7956.0,7634.0,0.0422
428.0,EA,PA,AOO,Altoona,Altoona-Blair County,CS,--,6439.0,11051.0,-0.4173
454.0,EA,PA,DUJ,Brookville,Dubois Regional,CS,--,5096.0,3230.0,0.5777
470.0,EA,PA,LNS,Lititz,Lancaster,CS,--,4333.0,1673.0,1.59
539.0,EA,PA,BFD,Bradford,Bradford Regional,CS,--,2593.0,4898.0,-0.4706
600.0,EA,PA,RDG,Reading,Reading Regional/Carl A Spaatz Field,GA,--,1640.0,2170.0,-0.2442
614.0,EA,PA,FKL,Franklin,Venango Regional,GA,--,1455.0,681.0,1.1366
692.0,EA,PA,AGC,West Mifflin,Allegheny County,GA,--,728.0,278.0,1.6187
695.0,EA,PA,LOM,Ambler,Wings Field,GA,--,717.0,269.0,1.6654
726.0,EA,PA,NXX,Willow Grove,Willow Grove NAS Jrb,GA,--,518.0,381.0,0.3596
735.0,EA,PA,PNE,Philadelphia,Northeast Philadelphia,GA,--,479.0,410.0,0.1683
749.0,EA,PA,MQS,Coatesville,Chester County G O Carlson,GA,--,394.0,113.0,2.4867
764.0,EA,PA,AFJ,Washington,Washington County,GA,--,331.0,78.0,3.2436
860.0,EA,PA,BTP,Butler,Butler County/K W Scholter Field,GA,--,121.0,6.0,19.1667
878.0,EA,PA,IDI,Indiana,Indiana County/Jimmy Stewart Field/,GA,--,104.0,7.0,13.8571
925.0,EA,PA,03PS,Bellefonte,Ziggy's Field,GA,--,68.0,1.0,67.0
1083.0,EA,PA,GKJ,Meadville,Port Meadville,GA,--,23.0,24.0,-0.0417
1098.0,EA,PA,CXY,New Cumberland,Capital City,GA,--,21.0,59.0,-0.6441
1181.0,EA,PA,THV,York,York,GA,--,14.0,25.0,-0.44
1297.0,EA,PA,AXQ,Clarion,Clarion County,GA,--,8.0,8.0,0.0
1436.0,EA,PA,OYM,St. Marys,St Marys Municipal,GA,--,5.0,0.0,0.0
1437.0,EA,PA,PJC,Beaver Falls,Zelienople Municipal,GA,--,5.0,0.0,0.0
1623.0,EA,PA,9D4,Myerstown,Deck,GA,--,2.0,0.0,0.0
1671.0,EA,PA,MPO,Mount Pocono,Pocono Mountains Municipal,GA,--,2.0,0.0,0.0
1736.0,EA,PA,DYL,Doylestown,Doylestown,GA,--,1.0,12.0,-0.9167
1771.0,EA,PA,SEG,Selinsgrove,Penn Valley,GA,--,1.0,9.0,-0.8889
42.0,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,4094662.0,4635798.0,-0.1167
167.0,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,225924.0,240270.0,-0.0597
224.0,SO,PR,PSE,Ponce,Mercedita,P,N,90267.0,110159.0,-0.1806
324.0,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,23083.0,13837.0,0.6682
331.0,SO,PR,VQS,Isla De Vieques,Antonio Rivera Rodriguez,P,N,20759.0,21517.0,-0.0352
467.0,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,--,4386.0,4636.0,-0.0539
1440.0,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,GA,--,5.0,0.0,0.0
62.0,NE,RI,PVD,Warwick,Theodore Francis Green State,P,M,2153168.0,2342593.0,-0.0809
403.0,NE,RI,WST,Westerly,Westerly State,CS,--,8804.0,11201.0,-0.214
405.0,NE,RI,BID,Block Island,Block Island State,CS,--,8516.0,10384.0,-0.1799
901.0,NE,RI,OQU,North Kingstown,Quonset State,GA,--,82.0,80.0,0.025
1003.0,NE,RI,UUU,Newport,Newport State,GA,--,37.0,53.0,-0.3019
1284.0,NE,RI,SFZ,Pawtucket,North Central State,GA,--,9.0,22.0,-0.5909
84.0,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,1095038.0,1174667.0,-0.0678
100.0,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,704771.0,705430.0,-0.0009
106.0,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,625728.0,699805.0,-0.1059
114.0,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,521165.0,565938.0,-0.0791
234.0,SO,SC,FLO,Florence,Florence Regional,P,N,77146.0,64835.0,0.1899
242.0,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,66893.0,79912.0,-0.1629
638.0,SO,SC,SSC,Sumter,Shaw AFB,GA,--,1209.0,1725.0,-0.2991
688.0,SO,SC,ARW,Beaufort,Beaufort County,GA,--,766.0,2083.0,-0.6323
743.0,SO,SC,AND,Anderson,Anderson Regional,GA,--,437.0,552.0,-0.2083
793.0,SO,SC,MMT,Eastover,Mc Entire Jngb,GA,--,228.0,64.0,2.5625
820.0,SO,SC,NBC,Beaufort,Beaufort MCAS /Merritt Field/,GA,--,181.0,264.0,-0.3144
893.0,SO,SC,JZI,Charleston,Charleston Executive,GA,--,91.0,319.0,-0.7147
944.0,SO,SC,AIK,Aiken,Aiken Municipal,GA,--,60.0,41.0,0.4634
1056.0,SO,SC,GMU,Greenville,Greenville Downtown,GA,--,26.0,882.0,-0.9705
1104.0,SO,SC,CEU,Seneca,Oconee County Regional,GA,--,20.0,47.0,-0.5745
1144.0,SO,SC,CRE,North Myrtle Beach,Grand Strand,GA,--,16.0,113.0,-0.8584
1220.0,SO,SC,RBW,Walterboro,Lowcountry Regional,GA,--,12.0,11.0,0.0909
1389.0,SO,SC,LRO,Mount Pleasant,Mt Pleasant Regional-Faison Field,GA,--,6.0,245.0,-0.9755
1400.0,SO,SC,SPA,Spartanburg,Spartanburg Downtown Memorial,GA,--,6.0,172.0,-0.9651
1477.0,SO,SC,CDN,Camden,Woodward Field,GA,--,4.0,8.0,-0.5
1559.0,SO,SC,GRD,Greenwood,Greenwood County,GA,--,3.0,14.0,-0.7857
1565.0,SO,SC,HYW,Conway,Conway-Horry County,GA,--,3.0,2.0,0.5
1578.0,SO,SC,OGB,Orangeburg,Orangeburg Municipal,GA,--,3.0,3.0,0.0
1591.0,SO,SC,SMS,Sumter,Sumter,GA,--,3.0,7.0,-0.5714
1636.0,SO,SC,CKI,Kingstree,Williamsburg Regional,GA,--,2.0,5.0,-0.6
1745.0,SO,SC,GYH,Greenville,Donaldson Center,GA,--,1.0,105.0,-0.9905
143.0,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,N,332709.0,367874.0,-0.0956
156.0,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,266467.0,273151.0,-0.0245
329.0,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,21100.0,23225.0,-0.0915
362.0,GL,SD,PIR,Pierre,Pierre Regional,P,N,13692.0,15983.0,-0.1433
440.0,GL,SD,ATY,Watertown,Watertown Regional,CS,--,5824.0,4975.0,0.1707
560.0,GL,SD,HON,Huron,Huron Regional,GA,--,2170.0,2365.0,-0.0825
636.0,GL,SD,RCA,Rapid City,Ellsworth AFB,GA,--,1214.0,886.0,0.3702
1274.0,GL,SD,MBG,Mobridge,Mobridge Municipal,GA,--,9.0,0.0,0.0
1289.0,GL,SD,0D8,Gettysburg,Gettysburg Municipal,GA,--,8.0,41.0,-0.8049
1344.0,GL,SD,ICR,Winner,Winner Regional,GA,--,7.0,10.0,-0.3
1620.0,GL,SD,600000.0,De Smet,Wilder,GA,--,2.0,0.0,0.0
1695.0,GL,SD,SPF,Spearfish,Black Hills-Clyde Ice Field,GA,--,2.0,85.0,-0.9765
1778.0,GL,SD,VMR,Vermillion,Harold Davidson Field,GA,--,1.0,6.0,-0.8333
33.0,SO,TN,MEM,Memphis,Memphis International,P,M,5054191.0,5376818.0,-0.06
39.0,SO,TN,BNA,Nashville,Nashville International,P,M,4385780.0,4648000.0,-0.0564
94.0,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,811379.0,839266.0,-0.0332
146.0,SO,TN,CHA,Chattanooga,Lovell Field,P,N,311399.0,300796.0,0.0352
169.0,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,217783.0,202730.0,0.0743
610.0,SO,TN,MKL,Jackson,McKellar-Sipes Regional,GA,--,1502.0,134.0,10.209
662.0,SO,TN,MQY,Smyrna,Smyrna,GA,--,998.0,504.0,0.9802
782.0,SO,TN,NQA,Millington,Millington Regional Jetport,GA,--,260.0,278.0,-0.0647
1012.0,SO,TN,SRB,Sparta,Upper Cumberland Regional,GA,--,35.0,108.0,-0.6759
1034.0,SO,TN,RNC,McMinnville,Warren County Memorial,GA,--,30.0,15.0,1.0
1115.0,SO,TN,JWN,Nashville,John C Tune,GA,--,19.0,340.0,-0.9441
1164.0,SO,TN,MOR,Morristown,Moore-Murrell,GA,--,15.0,8.0,0.875
1203.0,SO,TN,0A9,Elizabethton,Elizabethton Municipal,GA,--,12.0,8.0,0.5
1219.0,SO,TN,PVE,Darden,Beech River Regional,GA,--,12.0,10.0,0.2
1305.0,SO,TN,M91,Springfield,Springfield Robertson County,GA,--,8.0,11.0,-0.2727
1354.0,SO,TN,THA,Tullahoma,Tullahoma Regional Airport/Wm Northern Field,GA,--,7.0,7.0,0.0
1364.0,SO,TN,1M5,Portland,Portland Municipal,GA,--,6.0,0.0,0.0
1397.0,SO,TN,PHT,Paris,Henry County,GA,--,6.0,48.0,-0.875
1478.0,SO,TN,CKV,Clarksville,Outlaw Field,GA,--,4.0,3.0,0.3333
1505.0,SO,TN,MRC,Columbia/Mount Pleasant,Maury County,GA,--,4.0,11.0,-0.6364
1572.0,SO,TN,M33,Gallatin,Sumner County Regional,GA,--,3.0,36.0,-0.9167
1593.0,SO,TN,TGC,Trenton,Gibson County,GA,--,3.0,0.0,0.0
1622.0,SO,TN,8A3,Livingston,Livingston Municipal,GA,--,2.0,0.0,0.0
1726.0,SO,TN,BGF,Winchester,Winchester Municipal,GA,--,1.0,5.0,-0.8
1732.0,SO,TN,CSV,Crossville,Crossville Memorial-Whitson Field,GA,--,1.0,13.0,-0.9231
1733.0,SO,TN,DKX,Knoxville,Knoxville Downtown Island,GA,--,1.0,38.0,-0.9737
1756.0,SO,TN,LUG,Lewisburg,Ellington,GA,--,1.0,0.0,0.0
1757.0,SO,TN,M15,Linden,Perry County,GA,--,1.0,0.0,0.0
4.0,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,26663984.0,27219285.0,-0.0204
8.0,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19290239.0,20030898.0,-0.037
43.0,SW,TX,HOU,Houston,William P Hobby,P,M,4087524.0,4246907.0,-0.0375
44.0,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,4027100.0,4268536.0,-0.0566
48.0,SW,TX,SAT,San Antonio,San Antonio International,P,M,3791928.0,4018866.0,-0.0565
50.0,SW,TX,DAL,Dallas,Dallas Love Field,P,M,3675861.0,4021976.0,-0.0861
71.0,SW,TX,ELP,El Paso,El Paso International,P,S,1495879.0,1613946.0,-0.0732
111.0,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,534818.0,562241.0,-0.0488
121.0,SW,TX,MAF,Midland,Midland International,P,S,423801.0,488928.0,-0.1332
126.0,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,394569.0,453459.0,-0.1299
133.0,SW,TX,HRL,Harlingen,Valley International,P,S,367269.0,417557.0,-0.1204
134.0,SW,TX,MFE,McAllen,McAllen Miller International,P,S,361778.0,372640.0,-0.0291
