Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 09 Boardings,CY 08 Boardings,% Change
1307.0,GL,MN,MKT,Mankato,Mankato Regional,GA,--,8.0,4.0,1.0
1394.0,GL,MN,MN30,Maple Grove,Busch's Fish Lake,GA,--,6.0,31.0,-0.8065
1427.0,GL,MN,LJF,Litchfield,Litchfield Municipal,GA,--,5.0,7.0,-0.2857
1494.0,GL,MN,GPZ,Grand Rapids,Grand Rapids/Itasca County Airport-Gordon Newstrom Field,GA,--,4.0,16.0,-0.75
1510.0,GL,MN,OWA,Owatonna,Owatonna Degner Regional,GA,--,4.0,1.0,3.0
1543.0,GL,MN,ADC,Bluffton,Wadena Municipal,GA,--,3.0,0.0,0.0
1570.0,GL,MN,LVN,Lakeville,Airlake,GA,--,3.0,68.0,-0.9559
1588.0,GL,MN,SGS,South St. Paul,South St Paul Municipal-Richard E Fleming Field,GA,--,3.0,0.0,0.0
1628.0,GL,MN,AUM,Austin,Austin Municipal,GA,--,2.0,4.0,-0.5
1641.0,GL,MN,DXX,Madison,Lac qui Parle County,GA,--,2.0,0.0,0.0
1685.0,GL,MN,RGK,Red Wing,Red Wing Regional,GA,--,2.0,4.0,-0.5
1700.0,GL,MN,VVV,Ortonville,Ortonville Municipal-Martinson Field,GA,--,2.0,142.0,-0.9859
1719.0,GL,MN,AEL,Albert Lea,Albert Lea Municipal,GA,--,1.0,0.0,0.0
1734.0,GL,MN,DTL,Detroit Lakes,Detroit Lakes-Wething Field,GA,--,1.0,1.0,0.0
31.0,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6084070.0,6740468.0,-0.0974
34.0,CE,MO,MCI,Kansas City,Kansas City International,P,M,4894349.0,5386242.0,-0.0913
124.0,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,398025.0,380419.0,0.0463
271.0,CE,MO,BBG,Branson,Branson,GA,--,42681.0,0.0,0.0
307.0,CE,MO,COU,Columbia,Columbia Regional,P,N,26842.0,12719.0,1.1104
457.0,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St. Robert Regional Forney Field,CS,--,4869.0,4784.0,0.0178
486.0,CE,MO,JLN,Joplin,Joplin Regional,CS,--,3776.0,4892.0,-0.2281
563.0,CE,MO,MKC,Kansas City,Charles B. Wheeler Downtown,GA,--,2146.0,2850.0,-0.247
607.0,CE,MO,SUS,Chesterfield,Spirit of St. Louis,GA,--,1532.0,3224.0,-0.5248
664.0,CE,MO,CGI,Scott City,Cape Girardeau Regional,GA,--,978.0,443.0,1.2077
671.0,CE,MO,IRK,Kirksville,Kirksville Regional,GA,--,926.0,684.0,0.3538
763.0,CE,MO,SZL,Knob Noster,Whiteman AFB,GA,--,333.0,379.0,-0.1214
806.0,CE,MO,STJ,St. Joseph,Rosecrans Memorial,GA,--,209.0,346.0,-0.396
894.0,CE,MO,AIZ,Kaiser,Lee C Fine Memorial,GA,--,89.0,113.0,-0.2124
1126.0,CE,MO,LXT,Lee's Summit,Lee's Summit Municipal,GA,--,18.0,60.0,-0.7
1171.0,CE,MO,9MO6,Stover,Ivy Bend,GA,--,14.0,1.0,13.0
1199.0,CE,MO,POF,Poplar Bluff,Poplar Bluff Municipal,GA,--,13.0,14.0,-0.0714
1210.0,CE,MO,HIG,Higginsville,Higginsville Industrial Municipal,GA,--,12.0,2.0,5.0
1350.0,CE,MO,RCM,Warrensburg,Skyhaven,GA,--,7.0,4.0,0.75
1355.0,CE,MO,TKX,Kennett,Kennett Memorial,GA,--,7.0,20.0,-0.65
1500.0,CE,MO,K15,Osage Beach,Grand Glaize- Osage Beach,GA,--,4.0,11.0,-0.6364
1514.0,CE,MO,PYN,Piedmont,Piedmont Municipal,GA,--,4.0,0.0,0.0
1537.0,CE,MO,3GV,Grain Valley,East Kansas City,GA,--,3.0,0.0,0.0
1635.0,CE,MO,CHQ,Charleston,Mississippi County,GA,--,2.0,0.0,0.0
1659.0,CE,MO,JEF,Jefferson City,Jefferson City Memorial,GA,--,2.0,15.0,-0.8667
128.0,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,384882.0,441013.0,-0.1273
314.0,WP,MP,GRO,Rota Island,Rota International,P,N,26040.0,27776.0,-0.0625
334.0,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,20291.0,24806.0,-0.182
105.0,SO,MS,JAN,Jackson,Jackson-Evers International,P,S,635116.0,678976.0,-0.0646
122.0,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,411978.0,487907.0,-0.1556
247.0,SO,MS,UTA,Tunica,Tunica Municipal,GA,--,64238.0,59795.0,0.0743
286.0,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,36275.0,35669.0,0.017
340.0,SO,MS,MEI,Meridian,Key Field,P,N,18560.0,19599.0,-0.053
368.0,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,13319.0,15985.0,-0.1668
371.0,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,12972.0,12576.0,0.0315
433.0,SO,MS,GLH,Greenville,Mid Delta Regional,CS,--,6290.0,6310.0,-0.0032
914.0,SO,MS,BIX,Biloxi,Keesler AFB,GA,--,75.0,75.0,0.0
957.0,SO,MS,UOX,Oxford,University-Oxford,GA,--,54.0,97.0,-0.4433
961.0,SO,MS,MS90,Flowood,Flowood Industrial,GA,--,53.0,125.0,-0.576
1135.0,SO,MS,HKS,Jackson,Hawkins Field,GA,--,17.0,24.0,-0.2917
1139.0,SO,MS,MCB,McComb,McComb/Pike County/John E Lewis Field,GA,--,17.0,16.0,0.0625
1148.0,SO,MS,LUL,Laurel,Hesler-Noble Field,GA,--,16.0,7.0,1.2857
1209.0,SO,MS,HBG,Hattiesburg,Hattiesburg Bobby L Chain Municipal,GA,--,12.0,63.0,-0.8095
1311.0,SO,MS,OLV,Olive Branch,Olive Branch,GA,--,8.0,7.0,0.1429
1420.0,SO,MS,GWO,Greenwood,Greenwood-Leflore,GA,--,5.0,5.0,0.0
1429.0,SO,MS,MBO,Madison,Bruce Campbell Field,GA,--,5.0,11.0,-0.5455
1652.0,SO,MS,HEZ,Natchez,Hardy-Anders Field Natchez-Adams County,GA,--,2.0,26.0,-0.9231
1682.0,SO,MS,PMU,Batesville,Panola County,GA,--,2.0,0.0,0.0
1758.0,SO,MS,M40,Aberdeen/Amory,Monroe County,GA,--,1.0,0.0,0.0
125.0,NM,MT,BIL,Billings,Billings Logan International,P,S,397073.0,422494.0,-0.0602
140.0,NM,MT,BZN,Bozeman,Gallatin Field,P,N,343754.0,349550.0,-0.0166
153.0,NM,MT,MSO,Missoula,Missoula International,P,N,281428.0,288071.0,-0.0231
185.0,NM,MT,GPI,Kalispell,Glacier Park International,P,N,160193.0,186450.0,-0.1408
190.0,NM,MT,GTF,Great Falls,Great Falls International,P,N,146438.0,143811.0,0.0183
225.0,NM,MT,HLN,Helena,Helena Regional,P,N,88314.0,85649.0,0.0311
