RO,ST,City,Airport Name,Locid,Service                     Level   ,Hub            Type,Large   Certified,Small &    Commuter,Air Taxi,FFC &              In-Transit,Total,Airport        % of                       US Total,
SO,SC,Charleston,Charleston AFB/International,CHS,P,S,604796.0,177302.0,310.0,3918.0,786326.0,0.0012, 
SO,SC,Greer,Greenville-Spartanburg International,GSP,P,S,516511.0,185084.0,11.0,0.0,701606.0,0.0011, 
SO,SC,Myrtle Beach,Myrtle Beach International,MYR,P,S,674752.0,20706.0,44.0,0.0,695502.0,0.0011, 
SO,SC,Columbia,Columbia Metropolitan,CAE,P,S,355276.0,182419.0,32.0,0.0,537727.0,0.0008, 
SO,SC,Hilton Head Island,Hilton Head,HXD,P,N,0.0,80278.0,140.0,0.0,80418.0,0.0001, 
SO,SC,Florence,Florence Regional,FLO,P,N,17212.0,27255.0,10.0,0.0,44477.0,0.0001, 
GL,SD,Sioux Falls,Joe Foss Field,FSD,P,S,288520.0,43602.0,4130.0,0.0,336252.0,0.0005, 
GL,SD,Rapid City,Rapid City Regional,RAP,P,N,146839.0,38594.0,1341.0,0.0,186774.0,0.0003, 
GL,SD,Aberdeen,Aberdeen Regional,ABR,P,N,22643.0,0.0,501.0,0.0,23144.0,0.0, 
GL,SD,Pierre,Pierre Regional,PIR,P,N,9484.0,7427.0,363.0,0.0,17274.0,0.0, 
GL,SD,Watertown,Watertown Municipal,ATY,CS,-,5322.0,0.0,3.0,0.0,5325.0,0.0, 
SO,TN,Memphis,Memphis International,MEM,P,M,4791613.0,680950.0,558.0,87403.0,5560524.0,0.0084, 
SO,TN,Nashville,Nashville International,BNA,P,M,4081504.0,112710.0,449.0,14802.0,4209465.0,0.0064, 
SO,TN,Knoxville,Mc Ghee Tyson,TYS,P,S,532978.0,172369.0,260.0,0.0,705607.0,0.0011, 
SO,TN,Chattanooga,Lovell Field,CHA,P,N,189769.0,68735.0,50.0,0.0,258554.0,0.0004, 
