RO,ST,City,Airport Name,Locid,Service                     Level   ,Hub            Type,Large   Certified,Small &    Commuter,Air Taxi,FFC &              In-Transit,Total,Airport        % of                       US Total,
NM,UT,Cedar City,Cedar City Regional,CDC,P,N,0.0,9196.0,983.0,0.0,10179.0,0.0, 
NM,UT,Moab,Canyonlands Field,CNY,CS,-,0.0,711.0,2052.0,0.0,2763.0,0.0, 
NM,UT,Bryce Canyon,Bryce Canyon,BCE,CS,-,0.0,2475.0,28.0,0.0,2503.0,0.0, 
EA,VA,Chantilly,Washington Dulles International,IAD,P,L,5749339.0,1643204.0,422.0,1091147.0,8484112.0,0.0128, 
EA,VA,Arlington,Ronald Reagan Washington National,DCA,P,M,5793639.0,397800.0,307.0,75649.0,6267395.0,0.0095, 
EA,VA,Norfolk,Norfolk International,ORF,P,S,1252810.0,222446.0,478.0,2953.0,1478687.0,0.0022, 
EA,VA,Richmond,Richmond International,RIC,P,S,1094347.0,80712.0,83.0,12539.0,1187681.0,0.0018, 
EA,VA,Roanoke,Roanoke Regional/Woodrum Field,ROA,P,N,171403.0,132828.0,34.0,0.0,304265.0,0.0005, 
EA,VA,Newport News,Newport News/Williamsburg International,PHF,P,N,114273.0,92453.0,24.0,0.0,206750.0,0.0003, 
EA,VA,Charlottesville,Charlottesville-Albemarle,CHO,P,N,16659.0,138669.0,535.0,0.0,155863.0,0.0002, 
EA,VA,Lynchburg,Lynchburg Regional/Preston Glenn Field,LYH,P,N,13826.0,49410.0,1884.0,0.0,65120.0,0.0001, 
EA,VA,Staunton/Waynesb/Harrisonb,Shenandoah Valley Regional,SHD,P,N,91.0,18972.0,29.0,0.0,19092.0,0.0, 
SO,VI,Charlotte Amalie,Cyril E King,STT,P,S,475537.0,39273.0,0.0,1579.0,516389.0,0.0008, 
SO,VI,Christiansted,Henry E Rohlsen,STX,P,N,175086.0,26601.0,4.0,0.0,201691.0,0.0003, 
NE,VT,Burlington,Burlington International,BTV,P,S,367341.0,141614.0,76.0,0.0,509031.0,0.0008, 
NE,VT,Rutland,Rutland State,RUT,CS,-,0.0,2702.0,4.0,0.0,2706.0,0.0, 
NM,WA,Seattle,Seattle-Tacoma International,SEA,P,L,12705320.0,223253.0,110.0,255947.0,13184630.0,0.0199, 
NM,WA,Spokane,Spokane International,GEG,P,S,1355223.0,63093.0,184.0,5124.0,1423624.0,0.0022, 
NM,WA,Pasco,Tri-Cities,PSC,P,N,148463.0,56009.0,101.0,0.0,204573.0,0.0003, 
NM,WA,Bellingham,Bellingham International,BLI,P,N,70993.0,22600.0,50.0,0.0,93643.0,0.0001, 
NM,WA,Yakima,Yakima Air Terminal/McAllister Field,YKM,P,N,54491.0,18434.0,518.0,0.0,73443.0,0.0001, 
NM,WA,Wenatchee,Pangborn Memorial,EAT,P,N,47201.0,0.0,599.0,0.0,47800.0,0.0001, 
NM,WA,Walla Walla,Walla Walla Regional,ALW,P,N,28486.0,0.0,56.0,0.0,28542.0,0.0, 
NM,WA,Pullman,Pullman/Moscow Regional,PUW,P,N,28176.0,0.0,115.0,0.0,28291.0,0.0, 
NM,WA,Port Angeles,William R Fairchild International,CLM,P,N,22497.0,576.0,474.0,0.0,23547.0,0.0, 
NM,WA,Friday Harbor,Friday Harbor,FHR,P,N,0.0,12073.0,56.0,0.0,12129.0,0.0, 
NM,WA,Moses Lake,Grant County International,MWH,P,N,8986.0,2518.0,30.0,0.0,11534.0,0.0, 
NM,WA,Seattle,Boeing Field/King County International,BFI,P,N,2680.0,4959.0,165.0,2751.0,10555.0,0.0, 
NM,WA,Anacortes,Anacortes,74S,CS,-,0.0,7715.0,27.0,0.0,7742.0,0.0, 
NM,WA,Eastsound,Orcas Island,ORS,CS,-,0.0,5497.0,98.0,0.0,5595.0,0.0, 
GL,WI,Milwaukee,General Mitchell International,MKE,P,M,2557630.0,254507.0,254.0,13082.0,2825473.0,0.0043, 
GL,WI,Madison,Dane County Regional-Truax Field,MSN,P,S,662769.0,12102.0,163.0,0.0,675034.0,0.001, 
GL,WI,Green Bay,Austin Straubel International,GRB,P,S,316720.0,19896.0,1121.0,0.0,337737.0,0.0005, 
GL,WI,Appleton,Outagamie County Regional,ATW,P,N,209019.0,34353.0,1558.0,0.0,244930.0,0.0004, 
GL,WI,Mosinee,Central Wisconsin,CWA,P,N,114207.0,16219.0,18.0,0.0,130444.0,0.0002, 
GL,WI,La Crosse,La Crosse Municipal,LSE,P,N,101673.0,6742.0,40.0,0.0,108455.0,0.0002, 
GL,WI,Rhinelander,Rhinelander-Oneida County,RHI,P,N,27341.0,181.0,26.0,0.0,27548.0,0.0, 
GL,WI,Eau Claire,Chippewa Valley Regional,EAU,P,N,21340.0,0.0,31.0,0.0,21371.0,0.0, 
GL,WI,Oshkosh,Wittman Regional,OSH,CS,-,172.0,2343.0,91.0,0.0,2606.0,0.0, 
EA,WV,Charleston,Yeager,CRW,P,N,113848.0,130604.0,140.0,0.0,244592.0,0.0004, 
EA,WV,Huntington,Tri-State/Milton J. Ferguson Field,HTS,P,N,15236.0,33391.0,32.0,0.0,48659.0,0.0001, 
EA,WV,Parkersburg,Wood County Airport Gill Robb Wilson Field,PKB,P,N,0.0,17559.0,7.0,0.0,17566.0,0.0, 
EA,WV,Morgantown,Morgantown Municipal-Walter L. Bill Hart Field,MGW,P,N,0.0,16211.0,22.0,0.0,16233.0,0.0, 
EA,WV,Clarksburg,Benedum,CKB,P,N,1479.0,12097.0,2.0,0.0,13578.0,0.0, 
EA,WV,Lewisburg,Greenbrier Valley,LWB,CS,-,4800.0,3711.0,63.0,0.0,8574.0,0.0, 
EA,WV,Beckley,Raleigh County Memorial,BKW,CS,-,160.0,3284.0,19.0,0.0,3463.0,0.0, 
NM,WY,Jackson,Jackson Hole,JAC,P,N,114201.0,50443.0,316.0,0.0,164960.0,0.0002, 
NM,WY,Casper,Natrona County International,CPR,P,N,8667.0,52775.0,240.0,0.0,61682.0,0.0001, 
NM,WY,Cody,Yellowstone Regional,COD,P,N,2861.0,21641.0,20.0,0.0,24522.0,0.0, 
NM,WY,Cheyenne,Cheyenne,CYS,P,N,1147.0,19649.0,113.0,0.0,20909.0,0.0, 
NM,WY,Sheridan,Sheridan County,SHR,P,N,69.0,13285.0,78.0,0.0,13432.0,0.0, 
NM,WY,Gillette,Gillette-Campbell County,GCC,P,N,0.0,13058.0,152.0,0.0,13210.0,0.0, 
NM,WY,Riverton,Riverton Regional,RIW,P,N,0.0,11610.0,72.0,0.0,11682.0,0.0, 
NM,WY,Laramie,Laramie Regional,LAR,P,N,331.0,9595.0,658.0,0.0,10584.0,0.0, 
NM,WY,Rock Springs,Rock Springs-Sweetwater County,RKS,CS,-,177.0,8714.0,246.0,0.0,9137.0,0.0, 
NM,WY,Worland,Worland Municipal,WRL,CS,-,0.0,2622.0,54.0,0.0,2676.0,0.0, 
,,,Total,,,,595903663.0,30571746.0,1101960.0,32504856.0,660082225.0,0.9953999999999975,
