Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 15 Enplanements,CY 14 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,49340732,46604273,0.0587
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,36351272,34314197,0.0594
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,36305668,33843426,0.0728
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,31589839,30804567,0.0255
5,EA,NY,JFK,New York,John F Kennedy International,P,L,27782369,26244928,0.0586
6,NM,CO,DEN,Denver,Denver International,P,L,26280043,26000591,0.0107
7,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,24190560,22770783,0.0624
8,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,21913166,21537725,0.0174
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,21857693,20620248,0.06
10,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,21351504,20344867,0.0495
11,SO,FL,MIA,Miami,Miami International,P,L,20986349,19471466,0.0778
12,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,20595881,19772087,0.0417
13,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,20148980,17888080,0.1264
14,SO,FL,MCO,Orlando,Orlando International,P,L,18759938,17278608,0.0857
15,EA,NJ,EWR,Newark,Newark Liberty International,P,L,18684818,17773405,0.0513
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,17634273,16972678,0.039
17,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,16290362,15507561,0.0505
18,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,16255520,15775941,0.0304
19,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15101349,14792339,0.0209
20,EA,NY,LGA,New York,Laguardia,P,L,14319924,13535372,0.058
21,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,13061632,12031860,0.0856
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,11738845,11022200,0.065
23,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,11242375,10115546,0.1114
24,GL,IL,MDW,Chicago,Chicago Midway International,P,L,10830850,10311996,0.0503
25,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,10634538,10139065,0.0489
26,EA,VA,IAD,Dulles,Washington Dulles International,P,L,10363974,10415948,-0.005
27,WP,CA,SAN,San Diego,San Diego International,P,L,9985763,9333152,0.0699
28,WP,HI,HNL,Honolulu,Honolulu International,P,L,9479094,9463000,0.0017
29,SO,FL,TPA,Tampa,Tampa International,P,L,9150458,8531561,0.0725
30,NM,OR,PDX,Portland,Portland International,P,L,8340252,7878760,0.0586
31,SW,TX,DAL,Dallas,Dallas Love Field,P,M,7040950,4522341,0.5569
32,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6239248,6108758,0.0214
33,SW,TX,HOU,Houston,William P Hobby,P,M,5937990,5800726,0.0237
34,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,5797562,5219982,0.1106
35,SO,TN,BNA,Nashville,Nashville International,P,M,5715205,5396958,0.059
36,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,5506687,5069257,0.0863
37,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,5329711,4870569,0.0943
38,CE,MO,MCI,Kansas City,Kansas City International,P,M,5135127,4982722,0.0306
39,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4954735,4673869,0.0601
40,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,4945209,4584147,0.0788
41,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,4822480,4621003,0.0436
42,WP,CA,SMF,Sacramento,Sacramento International,P,M,4714729,4384616,0.0753
43,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,4233638,4187888,0.0109
44,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,4159215,3948006,0.0535
45,SW,TX,SAT,San Antonio,San Antonio International,P,M,4091434,4046856,0.011
46,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,3916922,3686315,0.0626
47,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,3890681,3827860,0.0164
48,GL,IN,IND,Indianapolis,Indianapolis International,P,M,3889567,3605908,0.0787
49,GL,OH,CMH,Columbus,Port Columbus International,P,M,3312496,3115501,0.0632
50,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,3229897,3228607,0.0004
51,WP,HI,OGG,Kahului,Kahului,P,M,3220753,3019338,0.0667
52,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,3113591,2926242,0.064
53,SO,KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,3054991,2875844,0.0623
54,NE,CT,BDL,Windsor Locks,Bradley International,P,M,2926054,2913380,0.0044
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,2716473,2589198,0.0492
