Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 16 Enplanements,CY 15 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,50501858,49340732,0.0235
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,39636042,36351272,0.0904
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,37589899,36305668,0.0354
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,31283579,31589839,-0.0097
5,EA,NY,JFK,New York,John F Kennedy International,P,L,29239151,27782369,0.0524
6,NM,CO,DEN,Denver,Denver International,P,L,28267394,26280043,0.0756
7,WP,CA,SFO,San Francisco  ,San Francisco International,P,L,25707101,24190560,0.0627
8,WP,NV,LAS,Las Vegas,McCarran International,P,L,22833267,21857693,0.0446
9,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,21887110,20148980,0.0863
10,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,21511880,21913166,-0.0183
11,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,20896265,21351504,-0.0213
12,SO,FL,MIA,Miami,Miami International,P,L,20875813,20986349,-0.0053
13,SO,FL,MCO,Orlando,Orlando International,P,L,20283541,18759938,0.0812
14,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,20062072,20595881,-0.0259
15,EA,NJ,EWR,Newark,Newark Liberty International,P,L,19923009,18684818,0.0663
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,18123844,17634273,0.0278
17,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,17759044,16290362,0.0902
18,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,16847135,16255520,0.0364
19,EA,NY,LGA,New York,Laguardia,P,L,14762593,14319924,0.0309
20,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,14564419,15101349,-0.0356
