rank,airport_code,airport_name,city,state,enplanements
192,BFL,MEADOWS FIELD,BAKERSFIELD,CA,"148,200"
193,GNV,GAINESVILLE REGIONAL,GAINESVILLE,FL,"144,078"
194,GTF,GREAT FALLS INTL,GREAT FALLS,MT,"143,632"
195,DLH,DULUTH INTL,DULUTH,MN,"141,405"
196,BIS,BISMARCK MUNI,BISMARCK,ND,"136,611"
197,GJT,WALKER FIELD,GRAND JUNCTION,CO,"132,930"
198,BET,BETHEL,BETHEL,AK,"129,567"
199,CWA,CENTRAL WISCONSIN,MOSINEE,WI,"129,062"
200,BGM,BINGHAMTON REGIONAL/EDWIN A,BINGHAMTON,NY,"128,827"
201,CMI,UNIVERSITY OF ILLINOIS-WILL,CHAMPAIGN/URBANA,IL,"127,845"
202,UNV,UNIVERSITY PARK,STATE COLLEGE,PA,"125,658"
203,DET,DETROIT CITY,DETROIT,MI,"125,171"
204,IDA,FANNING FIELD,IDAHO FALLS,ID,"125,023"
205,AEX,ALEXANDRIA INTL,ALEXANDRIA,LA,"122,744"
206,EKO,ELKO REGIONAL,ELKO,NV,"117,872"
207,MLU,MONROE REGIONAL,MONROE,LA,"115,159"
208,HDN,YAMPA VALLEY,HAYDEN,CO,"114,760"
209,MKK,MOLOKAI,KAUNAKAKAI,HI,"114,269"
210,ELM,ELMIRA/CORNING REGIONAL,ELMIRA/CORNING,NY,"112,866"
211,BLI,BELLINGHAM INTL,BELLINGHAM,WA,"112,515"
212,KTN,KETCHIKAN INTL,KETCHIKAN,AK,"112,210"
213,LSE,LA CROSSE MUNI,LA CROSSE,WI,"111,238"
214,ACV,ARCATA,ARCATA/EUREKA,CA,"111,163"
215,ENA,KENAI MUNI,KENAI,AK,"100,965"
216,ITH,TOMPKINS COUNTY,ITHACA,NY,"99,861"
217,ILE,KILLEEN MUNI,KILLEEN,TX,"99,815"
218,FSM,FORT SMITH REGIONAL,FORT SMITH,AR,"99,493"
219,HXD,HILTON HEAD,HILTON HEAD ISLAND,SC,"92,465"
220,DRO,DURANGO-LA PLATA COUNTY,DURANGO,CO,"91,276"
221,CLL,EASTERWOOD FIELD,COLLEGE STATION,TX,"90,736"
222,GFK,GRAND FORKS INTL,GRAND FORKS,ND,"90,465"
223,BPT,SOUTHEAST TEXAS REGIONAL,BEAUMONT/PORT ARTHUR,TX,"89,809"
224,CSG,COLUMBUS METROPOLITAN,COLUMBUS,GA,"87,450"
225,LRD,LAREDO INTL,LAREDO,TX,"87,086"
226,YKM,YAKIMA AIR TERMINAL/MCALLIS,YAKIMA,WA,"86,451"
227,SUX,SIOUX GATEWAY,SIOUX CITY,IA,"85,684"
228,EWN,CRAVEN COUNTY REGIONAL,NEW BERN,NC,"85,639"
229,LYH,LYNCHBURG REGIONAL/PRESTON,LYNCHBURG,VA,"82,459"
230,BED,LAURENCE G HANSCOM FLD,BEDFORD,MA,"82,204"
231,CRQ,MC CLELLAN-PALOMAR,CARLSBAD,CA,"80,630"
232,SMX,SANTA MARIA PUB/CAPT G ALLA,SANTA MARIA,CA,"77,738"
233,TTN,TRENTON MERCER,TRENTON,NJ,"77,466"
234,HLN,HELENA REGIONAL,HELENA,MT,"76,675"
235,LNY,LANAI,LANAI CITY,HI,"75,018"
236,MOT,MINOT INTL,MINOT,ND,"74,242"
237,RDD,REDDING MUNI,REDDING,CA,"73,441"
238,SUN,FRIEDMAN MEMORIAL,HAILEY,ID,"73,072"
239,TYR,TYLER POUNDS FIELD,TYLER,TX,"71,715"
240,MVY,MARTHAS VINEYARD,VINEYARD HAVEN,MA,"71,150"
241,SPI,CAPITAL,SPRINGFIELD,IL,"71,065"
242,SBY,SALISBURY-OCEAN CITY WICOMI,SALISBURY,MD,"70,964"
243,LWS,LEWISTON-NEZ PERCE COUNTY,LEWISTON,ID,"69,595"
244,DHN,DOTHAN RGNL,DOTHAN,AL,"69,220"
245,BRO,BROWNSVILLE/SOUTH PADRE ISL,BROWNSVILLE,TX,"68,760"
246,SIT,SITKA ROCKY GUTIERREZ,SITKA,AK,"68,002"
247,MTJ,MONTROSE REGIONAL,MONTROSE,CO,"67,242"
248,CPR,NATRONA COUNTY INTL,CASPER,WY,"66,918"
249,LCH,LAKE CHARLES REGIONAL,LAKE CHARLES,LA,"66,165"
250,ADQ,KODIAK,KODIAK,AK,"65,905"
251,YUM,YUMA MCAS/YUMA INTL,YUMA,AZ,"63,987"
252,ACT,WACO REGIONAL,WACO,TX,"63,365"
253,PPG,PAGO PAGO INTL,PAGO PAGO,AQ,"60,726"
254,LAW,LAWTON-FORT SILL REGIONAL,LAWTON,OK,"60,448"
255,DBQ,DUBUQUE REGIONAL,DUBUQUE,IA,"58,531"
256,ABI,ABILENE REGIONAL,ABILENE,TX,"58,447"
257,OTZ,RALPH WIEN MEMORIAL,KOTZEBUE,AK,"58,112"
258,HTS,TRI-STATE/MILTON J. FERGUSO,HUNTINGTON,WV,"57,277"
259,OME,NOME,NOME,AK,"55,145"
260,GUC,GUNNISON COUNTY,GUNNISON,CO,"55,131"
261,APF,NAPLES MUNI,NAPLES,FL,"54,791"
262,SPS,SHEPPARD AFB/WICHITA FALLS,WICHITA FALLS,TX,"54,694"
263,ALO,WATERLOO MUNI,WATERLOO,IA,"54,580"
264,FMN,FOUR CORNERS REGIONAL,FARMINGTON,NM,"53,300"
265,ORH,WORCESTER REGIONAL,WORCESTER,MA,"52,916"
266,PIH,POCATELLO REGIONAL,POCATELLO,ID,"51,896"
267,FLO,FLORENCE REGIONAL,FLORENCE,SC,"50,384"
268,EAT,PANGBORN MEMORIAL,WENATCHEE,WA,"49,404"
269,BTM,BERT MOONEY,BUTTE,MT,"47,949"
270,SJT,SAN ANGELO REGIONAL/MATHIS,SAN ANGELO,TX,"47,554"
