rank,airport_code,airport_name,city,state,enplanements
48,AUS,AUSTIN-BERGSTROM INTL,AUSTIN,TX,"3,648,600"
49,DAL,DALLAS LOVE FIELD,DALLAS,TX,"3,596,052"
50,SAT,SAN ANTONIO INTL,SAN ANTONIO,TX,"3,528,955"
51,CMH,PORT COLUMBUS INTL,COLUMBUS,OH,"3,441,286"
52,ONT,ONTARIO INTL,ONTARIO,CA,"3,197,795"
53,ABQ,ALBUQUERQUE INTL SUNPORT,ALBUQUERQUE,NM,"3,148,780"
54,MKE,GENERAL MITCHELL INTERNATIO,MILWAUKEE,WI,"3,089,592"
55,OGG,KAHULUI,KAHULUI,HI,"2,999,863"
56,PBI,PALM BEACH INTL,WEST PALM BEACH,FL,"2,928,658"
57,RNO,RENO/TAHOE INTERNATIONAL,RENO,NV,"2,732,837"
58,PVD,THEODORE FRANCIS GREEN STAT,PROVIDENCE,RI,"2,684,204"
59,JAX,JACKSONVILLE INTL,JACKSONVILLE,FL,"2,616,211"
60,RSW,SOUTHWEST FLORIDA INTL,FORT MYERS,FL,"2,574,322"
61,ANC,TED STEVENS ANCHORAGE INTL,ANCHORAGE,AK,"2,503,138"
62,BUR,BURBANK-GLENDALE-PASADENA,BURBANK,CA,"2,380,531"
63,BUF,BUFFALO NIAGARA INTL,BUFFALO,NY,"2,140,002"
64,SDF,LOUISVILLE INTL-STANDIFORD,LOUISVILLE,KY,"1,974,269"
65,OMA,EPPLEY AIRFIELD,OMAHA,NE,"1,861,057"
66,TUS,TUCSON INTL,TUCSON,AZ,"1,804,086"
67,OKC,WILL ROGERS WORLD,OKLAHOMA CITY,OK,"1,739,169"
68,TUL,TULSA INTL,TULSA,OK,"1,737,672"
69,ELP,EL PASO INTL,EL PASO,TX,"1,678,287"
70,GUM,GUAM INTERNATIONAL,AGANA,GU,"1,665,676"
71,MHT,MANCHESTER,MANCHESTER,NH,"1,568,860"
72,BHM,BIRMINGHAM INTL,BIRMINGHAM,AL,"1,538,007"
73,GEG,SPOKANE INTL,SPOKANE,WA,"1,534,342"
74,BOI,BOISE AIR TERMINAL/GOWEN FL,BOISE,ID,"1,524,458"
75,ORF,NORFOLK INTL,NORFOLK,VA,"1,518,552"
76,LIH,LIHUE,LIHUE,HI,"1,413,454"
77,ALB,ALBANY INTL,ALBANY,NY,"1,407,092"
78,GSO,PIEDMONT TRIAD INTERNATIONA,GREENSBORO,NC,"1,402,168"
79,KOA,KONA INTL AT KEAHOLE,KAILUA/KONA,HI,"1,352,606"
80,RIC,RICHMOND INTERNATIONAL,RICHMOND,VA,"1,330,487"
81,LIT,ADAMS FIELD,LITTLE ROCK,AR,"1,276,145"
82,ROC,GREATER ROCHESTER INTERNATI,ROCHESTER,NY,"1,218,403"
83,COS,CITY OF COLORADO SPRINGS MU,COLORADO SPRINGS,CO,"1,205,552"
84,DAY,JAMES M COX DAYTON INTL,DAYTON,OH,"1,164,032"
85,ISP,LONG ISLAND MAC ARTHUR,ISLIP,NY,"1,120,686"
86,SYR,SYRACUSE HANCOCK INTL,SYRACUSE,NY,"1,060,746"
87,GRR,GERALD R. FORD INTERNATIONA,GRAND RAPIDS,MI,"960,640"
88,SAV,SAVANNAH INTERNATIONAL,SAVANNAH,GA,"879,821"
89,TYS,MC GHEE TYSON,KNOXVILLE,TN,"863,539"
90,DSM,DES MOINES INTL,DES MOINES,IA,"843,290"
91,CHS,CHARLESTON AFB/INTL,CHARLESTON,SC,"834,787"
92,ITO,HILO INTERNATIONAL,HILO,HI,"791,398"
93,GSP,GREENVILLE-SPARTANBURG INTL,GREER,SC,"788,807"
94,MYR,MYRTLE BEACH INTL,MYRTLE BEACH,SC,"776,729"
95,SRQ,SARASOTA/BRADENTON INTL,SARASOTA/BRADENTON,FL,"743,603"
96,JAN,JACKSON INTERNATIONAL,JACKSON,MS,"679,103"
97,MSN,DANE COUNTY REGIONAL-TRUAX,MADISON,WI,"673,451"
98,PWM,PORTLAND INTL JETPORT,PORTLAND,ME,"668,098"
99,PSP,PALM SPRINGS INTERNATIONAL,PALM SPRINGS,CA,"648,648"
100,MDT,HARRISBURG INTERNATIONAL,HARRISBURG,PA,"644,180"
101,CAE,COLUMBIA METROPOLITAN,COLUMBIA,SC,"607,228"
102,ICT,WICHITA MID-CONTINENT,WICHITA,KS,"584,160"
103,GSN,SAIPAN INTL,SAIPAN ISLAND,CM,"582,707"
104,LBB,LUBBOCK INTL,LUBBOCK,TX,"574,300"
105,HSV,HUNTSVILLE INTL-CARL T JONE,HUNTSVILLE,AL,"529,052"
106,GCN,GRAND CANYON NATIONAL PARK,GRAND CANYON,AZ,"524,995"
107,PNS,PENSACOLA REGIONAL,PENSACOLA,FL,"524,811"
108,STT,CYRIL E KING,CHARLOTTE AMALIE,VI,"521,042"
109,SFB,ORLANDO SANFORD,ORLANDO,FL,"508,092"
110,LEX,BLUE GRASS,LEXINGTON,KY,"507,334"
