site_number,state,runway_id,runway_length,runway_width,runway_surface_type_condition,runway_surface_treatment,pavement_class,edge_lights_intensity,base_end_id,base_end_true_alignment,base_end_ils_type,base_end_right_traffic_pattern,base_end_markings_type,base_end_markings_condition,base_end_physical_latitude,base_end_physical_latitude_s,base_end_physical_longitude,base_end_physical_longitude_s,base_end_physical_elevation,base_end_crossing_height,base_end_glide_path_angle,base_end_displaced_latitude,base_end_displaced_latitude_s,base_end_displaced_longitude,base_end_displaced_longitude_s,base_end_displaced_elevation,base_end_displaced_length,base_end_tdz_elevation,base_end_vasi,base_end_rvr,base_end_rvv,base_end_als,base_end_reil,base_end_centerline_lights,base_end_touchdown_lights,base_end_object_description,base_end_object_mark_light,base_end_part77_category,base_end_object_clear_slope,base_end_object_height,base_end_object_distance,base_end_object_offset,reciprocal_end_id,reciprocal_end_true_alignment,reciprocal_end_ils_type,reciprocal_end_right_traffic_pattern,reciprocal_end_markings_type,reciprocal_end_markings_condition,reciprocal_end_physical_latitude,reciprocal_end_physical_latitude_s,reciprocal_end_physical_longitude,reciprocal_end_physical_longitude_s,reciprocal_end_physical_elevation,reciprocal_end_crossing_height,reciprocal_end_glide_path_angle,reciprocal_end_displaced_latitude,reciprocal_end_displaced_latitude_s,reciprocal_end_displaced_longitude,reciprocal_end_displaced_longitude_s,reciprocal_end_displaced_elevation,reciprocal_end_displaced_length,reciprocal_end_tdz_elevation,reciprocal_end_vasi,reciprocal_end_rvr,reciprocal_end_rvv,reciprocal_end_als,reciprocal_end_reil,reciprocal_end_centerline_lights,reciprocal_end_touchdown_lights,reciprocal_end_object_description,reciprocal_end_object_mark_light,reciprocal_end_part77_category,reciprocal_end_object_clear_slope,reciprocal_end_object_height,reciprocal_end_object_distance,reciprocal_end_object_offset,runway_length_source,runway_length_source_date,runway_weight_bearing_capacity_sw,runway_weight_bearing_capacity_dw,runway_weight_bearing_capacity_dt,runway_weight_bearing_capacity_ddt,base_end_gradient,base_end_gradient_direction,base_end_position_source,base_end_position_source_date,base_end_elevation_source,base_end_elevation_source_date,base_end_displaced_threshold_position_source,base_end_displaced_threshold_position_source_date,base_end_displaced_threshold_elevation_source,base_end_displaced_threshold_elevation_source_date,base_end_touchdown_zone_elevation_source,base_end_touchdown_zone_elevation_source_date,base_end_take_off_run_available_tora,base_end_take_off_distance_available_toda,base_end_aclt_stop_distance_available_asda,base_end_landing_distance_available_lda,base_end_landing_distance_available_lahso,base_end_landing_distance_available_lahso_int_rwy_id,base_end_landing_distance_available_lahso_int_entity_desc,base_end_landing_distance_available_lahso_hld_pt_latitude,base_end_landing_distance_available_lahso_hld_pt_latitude_s,base_end_landing_distance_available_lahso_hld_pt_longitude,base_end_landing_distance_available_lahso_hld_pt_longitude_s,base_end_landing_distance_available_lahso_coord_src,base_end_landing_distance_available_lahso_coord_src_date,reciprocal_end_gradient,reciprocal_end_gradient_direction,reciprocal_end_position_source,reciprocal_end_position_source_date,reciprocal_end_elevation_source,reciprocal_end_elevation_source_date,reciprocal_end_displaced_threshold_position_source,reciprocal_end_displaced_threshold_position_source_date,reciprocal_end_displaced_threshold_elevation_source,reciprocal_end_displaced_threshold_elevation_source_date,reciprocal_end_touchdown_zone_elevation_source,reciprocal_end_touchdown_zone_elevation_source_date,reciprocal_end_take_off_run_available_tora,reciprocal_end_take_off_distance_available_toda,reciprocal_end_aclt_stop_distance_available_asda,reciprocal_end_landing_distance_available_lda,reciprocal_end_landing_distance_available_lahso,reciprocal_end_landing_distance_available_lahso_int_rwy_id,reciprocal_end_landing_distance_available_lahso_int_entity_desc,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude_s,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude_s,reciprocal_end_landing_distance_available_lahso_coord_src,reciprocal_end_landing_distance_available_lahso_coord_src_date
00103.*A,AL,17/35,2900,80,ASPH-CONC-F,AFSC,,MED,17,172,,N,BSC,F,31-36-14.9900N,113774.9900N,085-14-20.2000W,306860.2000W,463.1,,,31-36-12.0500N,113772.0500N,085-14-19.7300W,306859.7300W,463.1,300,463.1,,,,,,,,PLINE,,A(V),29,36,1245,36L,35,352,,N,BSC,F,31-35-46.5600N,113746.5600N,085-14-15.6200W,306855.6200W,462.8,,,,,,,,,462.8,,,,,,,,TREE,,A(V),42,28,1390,70L,,,,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,,,,,,,,,,,,,,,,,,,,,
00106.*A,AL,05/23,2644,112,TURF-G,,,,05,49,,,NSTD,,34-12-53.1000N,123173.1000N,087-09-41.2200W,313781.2200W,786,,,,,,,,,,,,,,,,,TREES,,A(V),18,32,585,58L,23,229,,,NSTD,,34-13-10.3200N,123190.3200N,087-09-17.5200W,313757.5200W,776,,,,,,,,,,,,,,,,,TREES,,A(V),25,25,641,27R,OWNER,2011-08-08 00:00:00,,,,,,,OWNER,2011-08-08 00:00:00,FAA-EST IMAGERY,2010-09-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,OWNER,2011-08-08 00:00:00,FAA-EST IMAGERY,2010-09-29 00:00:00,,,,,,,,,,,,,,,,,,,
00110.*A,AL,16/34,5000,75,ASPH-G,,,MED,16,157,,N,NPI,G,33-11-02.8099N,119462.8099N,086-47-10.9568W,312430.9568W,572.7,57,3.5,,,,,,,572.7,P4L,,,,Y,,,BLDG,,C,20,70,1611,161R,34,337,,Y,NPI,G,33-10-17.1992N,119417.1992N,086-46-48.1798W,312408.1798W,585.6,44,4,,,,,,,585.6,P4L,,,,Y,,,BLDG,,C,24,60,1666,81R,STATE,2006-06-13 00:00:00,16,,,,,,3RD PARTY SURVEY,2008-10-12 00:00:00,3RD PARTY SURVEY,2008-10-12 00:00:00,,,,,3RD PARTY SURVEY,2008-10-12 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-10-12 00:00:00,3RD PARTY SURVEY,2008-10-12 00:00:00,,,,,3RD PARTY SURVEY,2008-10-12 00:00:00,,,,,,,,,,,,,
00112.1*A,AL,05/23,6114,100,ASPH-F,GRVD,,MED,05,48,,N,NPI,P,34-13-24.6869N,123204.6869N,086-15-47.9111W,310547.9111W,1002.7,42,3,,,,,,,1015.1,P2L,,,,,,,TREES,,C,23,55,1518,316L,23,228,,N,NPI,P,34-14-04.8966N,123244.8966N,086-14-53.5273W,310493.5273W,1032.3,42,3,,,,,,,1032.3,P2L,,,,Y,,,TREE,,C,35,55,2151,75R,3RD PARTY SURVEY,2007-10-27 00:00:00,60,90,130,,,,3RD PARTY SURVEY,2007-10-27 00:00:00,3RD PARTY SURVEY,2007-10-27 00:00:00,,,,,3RD PARTY SURVEY,2007-10-27 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2007-10-27 00:00:00,3RD PARTY SURVEY,2007-10-27 00:00:00,,,,,3RD PARTY SURVEY,2007-10-27 00:00:00,,,,,,,,,,,,,
00116.*A,AL,18/36,5422,96,ASPH-F,GRVD,,MED,18,178,,N,NPI,G,32-55-19.8713N,118519.8713N,085-57-48.0006W,309468.0006W,685.8,57,3,32-55-13.7182N,118513.7182N,085-57-47.6853W,309467.6853W,674.9,623,674.9,P4L,,,,,,,TREES,,B(V),4,47,424,111L,36,358,,N,NPI,G,32-54-26.2822N,118466.2822N,085-57-45.2549W,309465.2549W,611.9,50,3,,,,,,,648.4,P4L,,,,Y,,,TREES,,C,13,24,524,192R,3RD PARTY SURVEY,2010-01-19 00:00:00,30,,,,,,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,,,,,3RD PARTY SURVEY,2010-01-19 00:00:00,,,,,,,,,,,,,
00119.*A,AL,06/24,5001,80,ASPH-G,,,MED,06,62,,N,NPI,G,33-06-12.5300N,119172.5300N,088-12-15.7000W,317535.7000W,142.8,,,,,,,,,143.2,,,,,Y,,,,,A(NP),17,7,320,31R,24,242,,N,NPI,G,33-06-36.0300N,119196.0300N,088-11-23.9600W,317483.9600W,149.8,,,,,,,,,150,,,,,Y,,,,,A(NP),24,72,1976,73R,NACO,2004-10-15 00:00:00,,,,,,,NACO,2004-10-15 00:00:00,NACO,2004-10-15 00:00:00,,,,,NACO,2004-10-15 00:00:00,,,,,,,,,,,,,,,,NACO,2004-10-15 00:00:00,NACO,2004-10-15 00:00:00,,,,,NACO,2004-10-15 00:00:00,,,,,,,,,,,,,
00124.*A,AL,11/29,6000,100,ASPH-G,,,MED,11,107,,,NPI,F,31-18-38.5737N,112718.5737N,086-24-05.1514W,311045.1514W,309.9,33,3,,,,,,,310.2,P4R,,,,Y,,,TREES,,C,22,43,1173,76L,29,287,,,NPI,F,31-18-21.5636N,112701.5636N,086-22-58.8933W,310978.8933W,299.9,47,3.5,,,,,,,308.3,P4L,,,,Y,,,,,C,50,,,,NGS,2010-04-14 00:00:00,98,160,275,,,,NGS,2010-04-14 00:00:00,NGS,2010-04-14 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,NGS,2010-04-14 00:00:00,NGS,2010-04-14 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00128.*A,AL,05/23,7000,150,ASPH-G,GRVD,10 /F/C/X/T,HIGH,05,48,ILS,Y,PIR,F,33-34-54.4446N,120894.4446N,085-52-00.1779W,309120.1779W,594.7,40,3,,,,,,,595.1,P4L,,,MALSR,,,,,,PIR,50,,,,23,228,,N,NPI,F,33-35-40.3670N,120940.3670N,085-50-58.2419W,309058.2419W,612,39,3,,,,,,,612,P4L,,,,Y,,,TREES,,C,25,40,2180,75L,NGS,2006-08-06 00:00:00,28,43.5,260,,,,NGS,2006-08-06 00:00:00,NGS,2000-03-18 00:00:00,,,,,NGS,2000-03-18 00:00:00,,,,,,,,,,,,,,,,NGS,2006-08-06 00:00:00,NGS,2006-08-08 00:00:00,,,,,NGS,2000-03-18 00:00:00,,,,,,,,,,,,,
00133.5*A,AL,01/19,2700,100,TURF-F,,,,01,11,,N,NSTD,P,34-58-31.5745N,125911.5745N,086-53-03.0187W,312783.0187W,922,,,,,,,,,,,,,,,,,TREE,,A(V),9,51,474,120L,19,191,,N,NSTD,P,34-58-57.7640N,125937.7640N,086-52-56.6320W,312776.6320W,901,,,,,,,,,,,,,,,,,TREE,,A(V),23,64,1522,73R,,,,,,,,,FAA-EST IMAGERY,2010-08-24 00:00:00,FAA-EST IMAGERY,2010-08-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-08-24 00:00:00,FAA-EST IMAGERY,2010-08-24 00:00:00,,,,,,,,,,,,,,,,,,,
00135.*A,AL,09/27,4023,80,ASPH-G,,,MED,09,,,N,NPI,G,33-17-03.1100N,119823.1100N,085-48-55.9700W,308935.9700W,1065.9,,,33-17-03.1100N,119823.1100N,085-48-53.6100W,308933.6100W,,200,,,,,,Y,,,POLE,,A(V),21,35,969,18L,27,,,N,NPI,G,33-17-03.1100N,119823.1100N,085-48-08.5800W,308888.5800W,1057.3,,,,,,,,,,,,,,Y,,,TREE,,A(V),24,46,1317,2R,ADO,2012-08-23 00:00:00,20,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,ADO,2012-08-23 00:00:00,ADO,2012-08-23 00:00:00,,,,,4023,4023,,,,,,,,,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,AIP,2012-08-23 00:00:00,,,,,,,3823,4023,,,,,,,,,,,
00140.1*A,AL,18/36,5001,80,ASPH-G,,,MED,18,180,,N,NPI,F,31-01-22.8859N,111682.8859N,087-26-48.4001W,314808.4001W,283.2,40,3,,,,,,,286,P2L,,,,,,,RR,,C,20,35,906,0B,36,360,,N,NPI,F,31-00-33.3886N,111633.3886N,087-26-48.2376W,314808.2376W,279.9,40,3,,,,,,,286,P2L,,,,,,,PLINE,,C,24,50,1424,0B,3RD PARTY SURVEY,2016-09-27 00:00:00,16,,,,,,3RD PARTY SURVEY,2016-09-27 00:00:00,3RD PARTY SURVEY,2016-09-27 00:00:00,,,,,3RD PARTY SURVEY,2016-09-27 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2016-09-27 00:00:00,3RD PARTY SURVEY,2016-09-27 00:00:00,,,,,3RD PARTY SURVEY,2016-09-27 00:00:00,,,,,,,,,,,,,
00146.*A,AL,11/29,4000,75,ASPH-F,,,MED,11,107,,N,NPI,F,32-37-10.4919N,117430.4919N,085-26-14.4647W,307574.4647W,774.9,,,,,,,,,774.9,,,,,,,,TREES,,C,5,40,409,152R,29,287,,N,NPI,F,32-36-58.7148N,117418.7148N,085-25-29.8200W,307529.8200W,766.3,22,3,32-36-59.5906N,117419.5906N,085-25-33.1380W,307533.1380W,764.4,297,770.4,P4L,,,,,,,POLE,,C,21,44,1163,254R,3RD PARTY SURVEY,2006-05-22 00:00:00,25,42,,,,,3RD PARTY SURVEY,2006-05-22 00:00:00,3RD PARTY SURVEY,2006-05-22 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2006-05-22 00:00:00,3RD PARTY SURVEY,2006-05-22 00:00:00,3RD PARTY SURVEY,2006-05-22 00:00:00,3RD PARTY SURVEY,2006-05-22 00:00:00,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00146.*A,AL,18/36,5264,100,ASPH-F,GRVD,,HIGH,18,181,,N,PIR,F,32-37-12.7247N,117432.7247N,085-26-09.7285W,307569.7285W,776.8,,,,,,,,,776.8,,,,,,,N,TREES,,C,22,11,451,135R,36,1,ILS,N,PIR,F,32-36-20.6524N,117380.6524N,085-26-10.8443W,307570.8443W,731.1,44,3,,,,,,,759.1,P4L,,,MALSF,,,N,,,PIR,50,,,,3RD PARTY SURVEY,2006-05-22 00:00:00,45,75,,,,,3RD PARTY SURVEY,2006-05-22 00:00:00,3RD PARTY SURVEY,2006-05-22 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2006-05-22 00:00:00,3RD PARTY SURVEY,2006-05-22 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00155.*A,AL,08/26,5500,79,ASPH-G,,,MED,08,86,,N,NPI,G,30-52-11.1626N,111131.1626N,087-49-41.0186W,316181.0186W,206.5,41,3,,,,,,,230.7,P2L,,,,Y,,,TREE,,C,25,20,711,16L,26,266,,N,NPI,G,30-52-15.1746N,111135.1746N,087-48-38.0898W,316118.0898W,248.1,40,3,,,,,,,248.1,P2L,,,,,,,,,C,50,,,,3RD PARTY SURVEY,2008-11-16 00:00:00,28,,,,,,3RD PARTY SURVEY,2008-11-16 00:00:00,3RD PARTY SURVEY,2008-11-16 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-11-16 00:00:00,3RD PARTY SURVEY,2008-11-16 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00155.31*A,AL,18/36,2000,150,TURF-G,,,,18,179,,N,NSTD,,30-27-28.7901N,109648.7901N,088-12-40.4649W,317560.4649W,76,,,,,,,,,,,,,,,,,POLE,,A(V),27,31,843,24L,36,359,,N,,,30-27-08.9925N,109628.9925N,088-12-40.0499W,317560.0499W,87,,,,,,,,,,,,,,,,,TREES,,A(V),14,64,940,169R,,,,,,,,,FAA-EST IMAGERY,2011-03-22 00:00:00,FAA-EST IMAGERY,2011-03-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2011-03-22 00:00:00,FAA-EST IMAGERY,2011-03-22 00:00:00,,,,,,,,,,,,,,,,,,,
00157.1*A,AL,05/23,6007,100,ASPH-F,,,HIGH,05,50,ILS/DME,N,PIR,P,33-18-26.2261N,119906.2261N,086-56-01.7232W,312961.7232W,699.3,60,3,,,,,,,699.5,P4L,,,,Y,,,,,PIR,50,,,,23,230,,N,NPI,P,33-19-04.5723N,119944.5723N,086-55-07.6511W,312907.6511W,699.5,40,3,,,,,,,699.6,P4L,,,,Y,,,GND,,C,44,22,1173,0B,3RD PARTY SURVEY,2008-11-04 00:00:00,60,60,,,,,3RD PARTY SURVEY,2008-11-04 00:00:00,3RD PARTY SURVEY,2008-11-04 00:00:00,,,,,3RD PARTY SURVEY,2008-11-04 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-11-04 00:00:00,3RD PARTY SURVEY,2008-11-04 00:00:00,,,,,3RD PARTY SURVEY,2008-11-04 00:00:00,,,,,,,,,,,,,
00164.*A,AL,06/24,12007,150,ASPH-G,GRVD,65 /F/C/X/T,HIGH,06,55,ILS,N,PIR,G,33-33-17.2063N,120797.2063N,086-46-17.6487W,312377.6487W,603.4,68,3,,,,,,,606,P4L,TMR,Y,ALSF2,,Y,Y,TREES,,PIR,18,58,1290,654R,24,235,ILS/DME,N,PIR,G,33-34-24.5295N,120864.5295N,086-44-20.7487W,312260.7487W,650,69,3,33-34-17.7743N,120857.7743N,086-44-32.4867W,312272.4867W,640.4,1205,640.5,P4L,TMR,N,MALSR,,Y,N,GND,,PIR,16,67,1323,610R,3RD PARTY SURVEY,2015-07-02 00:00:00,175,205,350,,,,3RD PARTY SURVEY,2015-07-02 00:00:00,3RD PARTY SURVEY,2015-07-02 00:00:00,,,,,3RD PARTY SURVEY,2015-07-02 00:00:00,12007,12007,12007,12007,8700,18/36,,33-34-06.0223N,120846.0223N,086-44-52.9867W,312292.9867W,FAA-EST,2007-07-11 00:00:00,,,3RD PARTY SURVEY,2015-07-02 00:00:00,3RD PARTY SURVEY,2015-07-02 00:00:00,3RD PARTY SURVEY,2015-07-02 00:00:00,3RD PARTY SURVEY,2015-07-02 00:00:00,3RD PARTY SURVEY,2015-07-02 00:00:00,12007,12007,12007,10801,,,,,,,,,
00164.*A,AL,18/36,7099,150,ASPH-G,GRVD,45 /F/C/X/T,MED,18,180,LOC/DME,N,NPI,G,33-34-23.5685N,120863.5685N,086-44-49.8849W,312289.8849W,644.3,51,3.2,,,,,,,644.3,P4L,,,,Y,,,TREES,,C,22,245,5689,883R,36,0,,N,NPI,G,33-33-13.3386N,120793.3386N,086-44-49.9207W,312289.9207W,633.5,,,,,,,,,633.5,,,,,Y,,,TREES,,C,18,62,1340,210L,3RD PARTY SURVEY,2015-07-02 00:00:00,75,170,240,,,,3RD PARTY SURVEY,2015-07-02 00:00:00,3RD PARTY SURVEY,2015-07-02 00:00:00,,,,,3RD PARTY SURVEY,2015-07-02 00:00:00,7099,7099,7099,7099,,,,,,,,,,,,3RD PARTY SURVEY,2015-07-02 00:00:00,3RD PARTY SURVEY,2015-07-02 00:00:00,,,,,3RD PARTY SURVEY,2015-07-02 00:00:00,7099,7099,7099,7099,5150,2019-06-24 00:00:00,,33-34-04.2991N,120844.2991N,086-44-49.9237W,312289.9237W,FAA-EST,2007-07-11 00:00:00
00186.*A,AL,06/24,5136,150,ASPH-F,,,,06,63,,N,NPI,F,31-02-59.9075N,111779.9075N,087-04-32.8231W,313472.8231W,80.9,,,,,,,,,82.6,,,,,,,,TREE,,C,6,6,245,17L,24,243,,N,NPI,F,31-03-23.0719N,111803.0719N,087-03-40.2698W,313420.2698W,83.3,,,,,,,,,83.3,,,,,,,,TREES,,C,11,91,1279,175R,3RD PARTY SURVEY,2008-11-06 00:00:00,40,60,,,,,3RD PARTY SURVEY,2008-11-06 00:00:00,3RD PARTY SURVEY,2008-11-06 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-11-06 00:00:00,3RD PARTY SURVEY,2008-11-06 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00186.*A,AL,12/30,5001,150,ASPH-F,,,MED,12,120,,N,NPI,F,31-03-05.7158N,111785.7158N,087-04-22.5823W,313462.5823W,81.9,46,3,,,,,,,90.5,P2L,,,,,,,TREES,,C,18,59,1272,88L,30,300,,N,NPI,F,31-02-41.0657N,111761.0657N,087-03-32.7288W,313412.7288W,98.7,37,3,,,,,,,98.7,P2L,,,,,,,TREE,,C,3,7,222,15R,3RD PARTY SURVEY,2008-11-06 00:00:00,40,60,,,,,3RD PARTY SURVEY,2008-11-06 00:00:00,3RD PARTY SURVEY,2008-11-06 00:00:00,,,,,AVN,2011-04-14 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-11-06 00:00:00,3RD PARTY SURVEY,2008-11-06 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00199.1*A,AL,12/30,4082,80,ASPH-P,,,MED,12,116,,N,NPI,F,32-07-18.2621N,115638.2621N,088-08-00.2526W,317280.2526W,116.3,40,3,32-07-17.5419N,115637.5419N,088-07-58.4820W,317278.4820W,117.5,169,126.9,P2L,,,,,,,TREES,,A(NP),1,9,217,126R,30,296,,N,NPI,F,32-07-00.7730N,115620.7730N,088-07-17.4760W,317237.4760W,133.7,40,3,32-07-02.6770N,115622.6770N,088-07-22.1326W,317242.1326W,129.7,444,129.7,P2L,,,,,,,TREES,,A(NP),16,42,880,61L,3RD PARTY SURVEY,2014-11-25 00:00:00,15,,,,,,3RD PARTY SURVEY,2014-11-25 00:00:00,3RD PARTY SURVEY,2014-11-25 00:00:00,3RD PARTY SURVEY,2014-11-25 00:00:00,3RD PARTY SURVEY,2014-11-25 00:00:00,3RD PARTY SURVEY,2014-11-25 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2014-11-25 00:00:00,3RD PARTY SURVEY,2014-11-25 00:00:00,3RD PARTY SURVEY,2014-11-25 00:00:00,3RD PARTY SURVEY,2014-11-25 00:00:00,3RD PARTY SURVEY,2014-11-25 00:00:00,,,,,,,,,,,,,
00207.1*A,AL,18/36,4303,80,ASPH-G,,,MED,18,179,,N,NPI,G,31-59-08.3798N,115148.3798N,087-20-21.1621W,314421.1621W,142.7,23,3,,,,,,,142.9,V2L,,,,,,,,,A(V),0,7,202,125L,36,359,,N,NPI,G,31-58-25.8064N,115105.8064N,087-20-20.4737W,314420.4737W,142.3,21,2.75,,,,,,,142.8,V2L,,,,,,,,,A(V),7,10,272,75L,NACO,2002-07-26 00:00:00,27,,,,,,3RD PARTY SURVEY,2015-01-29 00:00:00,3RD PARTY SURVEY,2015-01-29 00:00:00,,,,,3RD PARTY SURVEY,2015-01-29 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2015-01-29 00:00:00,3RD PARTY SURVEY,2015-01-29 00:00:00,,,,,3RD PARTY SURVEY,2015-01-29 00:00:00,,,,,,,,,,,,,
00218.12*A,AL,07/25,5500,100,ASPH-G,AFSC,,MED,07,63,,,NPI,G,34-05-11.3544N,122711.3544N,085-37-05.3913W,308225.3913W,584.4,,,,,,,,,584.5,,,,,,,,TREES,,C,41,65,2929,261L,25,243,,,NPI,G,34-05-36.0631N,122736.0631N,085-36-07.1334W,308167.1334W,594.6,,,,,,,,,594.6,,,,,,,,,,C,50,,,,3RD PARTY SURVEY,2009-12-08 00:00:00,,,,,,,3RD PARTY SURVEY,2009-12-08 00:00:00,3RD PARTY SURVEY,2009-12-08 00:00:00,,,,,3RD PARTY SURVEY,2009-12-08 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2009-12-08 00:00:00,3RD PARTY SURVEY,2009-12-08 00:00:00,,,,,3RD PARTY SURVEY,2009-12-08 00:00:00,,,,,,,,,,,,,
00218.7*A,AL,10/28,4206,80,ASPH-F,,,MED,10,95,,N,NPI,P,32-56-14.7900N,118574.7900N,087-05-50.5500W,313550.5500W,238.5,40,4,,,,,,,240.4,P2L,,,,Y,,,TREE,,A(NP),32,78,2733,51R,28,275,,N,NPI,P,32-56-11.1700N,118571.1700N,087-05-01.3900W,313501.3900W,250.9,40,4,,,,,,,250.9,P2L,,,,Y,,,TREES,,A(NP),11,17,395,25L,FAA,2009-05-20 00:00:00,18,,,,,,3RD PARTY SURVEY,2006-10-30 00:00:00,3RD PARTY SURVEY,2006-10-30 00:00:00,,,,,3RD PARTY SURVEY,2006-10-30 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2006-10-30 00:00:00,3RD PARTY SURVEY,2006-10-30 00:00:00,,,,,3RD PARTY SURVEY,2006-10-30 00:00:00,,,,,,,,,,,,,
00226.5*A,AL,12/30,4002,80,ASPH-G,,,MED,12,120,,N,NPI,G,31-27-16.0141N,113236.0141N,088-11-59.8622W,317519.8622W,165.2,,,31-27-15.0132N,113235.0132N,088-11-57.8703W,317517.8703W,165,200,165.2,,,,,,,N,ROAD,,A(V),14,13,384,74L,30,300,,N,NPI,G,31-26-55.9875N,113215.9875N,088-11-20.0095W,317480.0095W,126.2,,,,,,,,,129.1,,,,,,,N,TREE,,A(V),13,18,435,74L,ARPTS CONTRACTOR,2013-06-05 00:00:00,15,,,,,,ARPTS CONTRACTOR,2013-06-05 00:00:00,ARPTS CONTRACTOR,2013-06-05 00:00:00,ARPTS CONTRACTOR,2013-06-05 00:00:00,ARPTS CONTRACTOR,2013-06-05 00:00:00,ARPTS CONTRACTOR,2013-06-05 00:00:00,,,,,,,,,,,,,,,,ARPTS CONTRACTOR,2013-06-05 00:00:00,ARPTS CONTRACTOR,2013-06-05 00:00:00,,,,,ARPTS CONTRACTOR,2013-06-05 00:00:00,,,,,,,,,,,,,
00233.*A,AL,08/26,4007,100,ASPH-G,,,MED,08,78,,N,NPI,F,32-50-57.7431N,118257.7431N,086-37-04.1544W,311824.1544W,584.7,38,4,,,,,,,584.7,P2L,,,,Y,,,TREE,,B(V),10,83,1095,307R,26,258,,N,NPI,F,32-51-05.7450N,118265.7450N,086-36-18.1593W,311778.1593W,566.6,51,4,,,,,,,574.8,P2L,,,,Y,,,GND,,C,20,46,1137,0B,3RD PARTY SURVEY,2015-01-15 00:00:00,16,,,,,,3RD PARTY SURVEY,2015-01-15 00:00:00,3RD PARTY SURVEY,2015-01-15 00:00:00,,,,,3RD PARTY SURVEY,2015-01-15 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2015-01-15 00:00:00,3RD PARTY SURVEY,2015-01-15 00:00:00,,,,,3RD PARTY SURVEY,2015-01-15 00:00:00,,,,,,,,,,,,,
00234.*A,AL,09/27,5010,80,ASPH-F,,,HIGH,09,97,,N,NPI,P,31-53-02.8386N,114782.8386N,085-29-35.6544W,307775.6544W,422,30,3.2,31-53-02.5234N,114782.5234N,085-29-32.4570W,307772.4570W,422.1,278,433.6,P2L,,,,Y,,,TREE,,B(V),18,40,933,25R,27,277,,N,NPI,P,31-52-57.0959N,114777.0959N,085-28-37.9636W,307717.9636W,434.3,37,3.75,,,,,,,434.9,P2L,,,,Y,,,TREE,,C,16,15,446,122L,3RD PARTY SURVEY,2008-10-30 00:00:00,,,,,,,3RD PARTY SURVEY,2015-05-28 00:00:00,3RD PARTY SURVEY,2015-05-28 00:00:00,3RD PARTY SURVEY,2015-05-28 00:00:00,3RD PARTY SURVEY,2015-05-28 00:00:00,3RD PARTY SURVEY,2015-05-28 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2015-05-28 00:00:00,3RD PARTY SURVEY,2015-05-28 00:00:00,,,,,3RD PARTY SURVEY,2015-05-28 00:00:00,,,,,,,,,,,,,
