site_number,state,runway_id,runway_length,runway_width,runway_surface_type_condition,runway_surface_treatment,pavement_class,edge_lights_intensity,base_end_id,base_end_true_alignment,base_end_ils_type,base_end_right_traffic_pattern,base_end_markings_type,base_end_markings_condition,base_end_physical_latitude,base_end_physical_latitude_s,base_end_physical_longitude,base_end_physical_longitude_s,base_end_physical_elevation,base_end_crossing_height,base_end_glide_path_angle,base_end_displaced_latitude,base_end_displaced_latitude_s,base_end_displaced_longitude,base_end_displaced_longitude_s,base_end_displaced_elevation,base_end_displaced_length,base_end_tdz_elevation,base_end_vasi,base_end_rvr,base_end_rvv,base_end_als,base_end_reil,base_end_centerline_lights,base_end_touchdown_lights,base_end_object_description,base_end_object_mark_light,base_end_part77_category,base_end_object_clear_slope,base_end_object_height,base_end_object_distance,base_end_object_offset,reciprocal_end_id,reciprocal_end_true_alignment,reciprocal_end_ils_type,reciprocal_end_right_traffic_pattern,reciprocal_end_markings_type,reciprocal_end_markings_condition,reciprocal_end_physical_latitude,reciprocal_end_physical_latitude_s,reciprocal_end_physical_longitude,reciprocal_end_physical_longitude_s,reciprocal_end_physical_elevation,reciprocal_end_crossing_height,reciprocal_end_glide_path_angle,reciprocal_end_displaced_latitude,reciprocal_end_displaced_latitude_s,reciprocal_end_displaced_longitude,reciprocal_end_displaced_longitude_s,reciprocal_end_displaced_elevation,reciprocal_end_displaced_length,reciprocal_end_tdz_elevation,reciprocal_end_vasi,reciprocal_end_rvr,reciprocal_end_rvv,reciprocal_end_als,reciprocal_end_reil,reciprocal_end_centerline_lights,reciprocal_end_touchdown_lights,reciprocal_end_object_description,reciprocal_end_object_mark_light,reciprocal_end_part77_category,reciprocal_end_object_clear_slope,reciprocal_end_object_height,reciprocal_end_object_distance,reciprocal_end_object_offset,runway_length_source,runway_length_source_date,runway_weight_bearing_capacity_sw,runway_weight_bearing_capacity_dw,runway_weight_bearing_capacity_dt,runway_weight_bearing_capacity_ddt,base_end_gradient,base_end_gradient_direction,base_end_position_source,base_end_position_source_date,base_end_elevation_source,base_end_elevation_source_date,base_end_displaced_threshold_position_source,base_end_displaced_threshold_position_source_date,base_end_displaced_threshold_elevation_source,base_end_displaced_threshold_elevation_source_date,base_end_touchdown_zone_elevation_source,base_end_touchdown_zone_elevation_source_date,base_end_take_off_run_available_tora,base_end_take_off_distance_available_toda,base_end_aclt_stop_distance_available_asda,base_end_landing_distance_available_lda,base_end_landing_distance_available_lahso,base_end_landing_distance_available_lahso_int_rwy_id,base_end_landing_distance_available_lahso_int_entity_desc,base_end_landing_distance_available_lahso_hld_pt_latitude,base_end_landing_distance_available_lahso_hld_pt_latitude_s,base_end_landing_distance_available_lahso_hld_pt_longitude,base_end_landing_distance_available_lahso_hld_pt_longitude_s,base_end_landing_distance_available_lahso_coord_src,base_end_landing_distance_available_lahso_coord_src_date,reciprocal_end_gradient,reciprocal_end_gradient_direction,reciprocal_end_position_source,reciprocal_end_position_source_date,reciprocal_end_elevation_source,reciprocal_end_elevation_source_date,reciprocal_end_displaced_threshold_position_source,reciprocal_end_displaced_threshold_position_source_date,reciprocal_end_displaced_threshold_elevation_source,reciprocal_end_displaced_threshold_elevation_source_date,reciprocal_end_touchdown_zone_elevation_source,reciprocal_end_touchdown_zone_elevation_source_date,reciprocal_end_take_off_run_available_tora,reciprocal_end_take_off_distance_available_toda,reciprocal_end_aclt_stop_distance_available_asda,reciprocal_end_landing_distance_available_lda,reciprocal_end_landing_distance_available_lahso,reciprocal_end_landing_distance_available_lahso_int_rwy_id,reciprocal_end_landing_distance_available_lahso_int_entity_desc,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude_s,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude_s,reciprocal_end_landing_distance_available_lahso_coord_src,reciprocal_end_landing_distance_available_lahso_coord_src_date
50870.3*A,AK,04S/22S,1690,60,TURF-GRVL-G,,,,04S,56,,,NSTD,,61-34-17.1000N,221657.1000N,149-32-31.0500W,538351.0500W,345.5,,,,,,,,,,,,,,,,,HILL,,,0,2,0,65L,22S,236,,,NSTD,,61-34-26.3500N,221666.3500N,149-32-02.0300W,538322.0300W,351.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGION,2006-11-27 00:00:00,REGION,2006-11-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,REGION,2006-11-27 00:00:00,REGION,2006-11-27 00:00:00,,,,,,,,,,,,,,,,,,,
50870.35*C,AK,06W/24W,4000,800,WATER,,,,06W,,,,,,,,,,,,,,,,,,,,,,,,,,,TREES,,,,50,,,24W,,,,,,,,,,,,,,,,,,,,,,,,,,,TREES,,,,50,,,OWNER,2001-12-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50870.47*C,AK,N/S,6000,400,WATER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A(V),,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A(V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50870.58*C,AK,09W/27W,5000,2500,WATER,,,,09W,78,,,,,61-34-24.9742N,221664.9742N,149-29-22.7045W,538162.7045W,300,,,,,,,,,,,,,,,,,,,,,,,,27W,258,,,,,61-34-35.1601N,221675.1601N,149-27-41.6417W,538061.6417W,300,,,,,,,,,,,,,,,,,,,,,,,,OWNER,2002-10-17 00:00:00,,,,,,,FAA-EST IMAGERY,2010-12-27 00:00:00,FAA-EST IMAGERY,2010-12-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-12-27 00:00:00,FAA-EST IMAGERY,2010-12-27 00:00:00,,,,,,,,,,,,,,,,,,,
50870.6*C,AK,ALL/WAY,3800,3800,WATER,,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,2002-05-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50870.62*C,AK,NE/SW,5500,800,WATER,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50870.64*C,AK,E/W,2700,75,WATER,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50870.67*C,AK,18W/36W,4000,200,WATER-E,,,,18W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,2005-11-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50872.*C,AK,NW/SE,10000,1000,WATER,,,,NW,,,N,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,SE,,,N,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50873.14*C,AK,NW/SE,10000,1000,WATER,,,,NW,,,N,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,SE,,,N,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50873.3*C,AK,E/W,10000,500,WATER,,,,E,,,N,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,W,,,N,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50874.*A,AK,15/33,3000,60,GRVL-DIRT-G,,,MED,15,164,,N,NSTD,G,64-41-35.2737N,232895.2737N,163-24-55.2916W,588295.2916W,222.2,,,,,,,,,267.4,,,,,,,,BRUSH,,A(V),0,3,0,80L/R,33,344,,N,NSTD,G,64-41-06.8613N,232866.8613N,163-24-36.5405W,588276.5405W,267.4,,,,,,,,,267.4,,,,,,,,BRUSH,,A(V),0,4,0,35L,NGS,2007-06-23 00:00:00,,,,,,,NGS,2007-06-23 00:00:00,NGS,2007-06-23 00:00:00,,,,,NGS,2007-06-23 00:00:00,,,,,,,,,,,,,,,,NGS,2003-06-23 00:00:00,NGS,2007-06-23 00:00:00,,,,,NGS,2007-06-23 00:00:00,,,,,,,,,,,,,
50875.*A,AK,04/22,1480,60,GRAVEL-F,,,,04,56,,N,NONE,,60-46-33.7200N,218793.7200N,148-43-23.0800W,535403.0800W,39,,,,,,,,,39,,,,,,,,ROAD,,A(V),0,26,0,75R,22,236,,N,NONE,,60-46-41.9000N,218801.9000N,148-42-58.4200W,535378.4200W,19,,,,,,,,,39,,,,,,,,BRUSH,,A(V),0,3,0,40L/R,REGION,2010-10-04 00:00:00,,,,,,,FAA,2015-04-09 00:00:00,FAA,2015-04-09 00:00:00,,,,,ADO,2010-10-04 00:00:00,,,,,,,,,,,,,,,,FAA,2015-04-09 00:00:00,FAA,2015-04-09 00:00:00,,,,,ADO,2010-10-04 00:00:00,,,,,,,,,,,,,
50877.01*C,AK,13W/31W,3600,400,WATER,,,,13W,156,,,,,61-44-52.6229N,222292.6229N,150-03-50.0276W,540230.0276W,200,,,,,,,,,,,,,,,,,,,,,,,,31W,336,,,,,61-44-20.2077N,222260.2077N,150-03-19.7301W,540199.7301W,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-10-08 00:00:00,FAA-EST IMAGERY,2010-10-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-10-08 00:00:00,FAA-EST IMAGERY,2010-10-08 00:00:00,,,,,,,,,,,,,,,,,,,
50877.32*C,AK,07W/25W,1500,50,WATER,,,,07W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50878.*A,AK,13/31,4400,75,GRAVEL-G,,,MED,13,154,,N,NSTD,,61-45-35.4400N,222335.4400N,150-03-26.4600W,540206.4600W,200.3,,,,,,,,,214.9,,,,,N,,,TREES,,A(V),7,53,390,225L/R,31,334,,Y,NSTD,,61-44-56.6100N,222296.6100N,150-02-45.9100W,540165.9100W,215.3,,,61-45-00.1400N,222300.1400N,150-02-49.6000W,540169.6000W,213.2,400,213.2,,,,,N,,,TREES,,A(V),8,35,300,200R,FAA,2011-04-13 00:00:00,,,,,,,FAA,2006-09-15 00:00:00,AVN,2011-04-13 00:00:00,,,,,AVN,2011-04-13 00:00:00,,,,,,,,,,,,,,,,FAA,2006-09-15 00:00:00,AVN,2011-04-13 00:00:00,FAA,2006-09-15 00:00:00,AVN,2011-04-13 00:00:00,AVN,2011-04-13 00:00:00,,,,,,,,,,,,,
50888.*A,AK,02/20,2000,30,GRAVEL-P,,,,02,47,,N,,,67-24-11.6700N,242651.6700N,150-07-33.8700W,540453.8700W,1182,,,67-24-15.0363N,242655.0363N,150-07-24.5450W,540444.5450W,1182,500,,,,N,,N,N,N,TREES,,A(V),0,32,0,80L/R,20,227,,Y,,,67-24-25.0800N,242665.0800N,150-06-56.3800W,540416.3800W,1195,,,,,,,,,,,,N,,N,N,N,TREES,,A(V),0,33,0,74L/R,,,,,,,,,STATE,2014-03-13 00:00:00,STATE,2014-03-13 00:00:00,FAA-EST,2014-03-13 00:00:00,STATE,2014-03-13 00:00:00,,,,,,,,,,,,,,,,,,STATE,2014-03-13 00:00:00,STATE,2014-03-13 00:00:00,,,,,,,,,,,,,,,,,,,
50905.*C,AK,NW/SE,9000,360,WATER,,,,NW,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
