Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
198,CE,NE,LNK,Lincoln,Lincoln,P,N,154465,162876,-0.0516
199,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,152773,173210,-0.118
200,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,151207,146127,0.0348
201,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,147729,146213,0.0104
202,AL,AK,BET,Bethel,Bethel,P,N,146652,155791,-0.0587
203,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,146314,154242,-0.0514
204,GL,MN,RST,Rochester,Rochester International,P,N,143675,112864,0.273
205,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,142605,126028,0.1315
206,GL,ND,MOT,Minot,Minot International,P,N,141161,150634,-0.0629
207,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,139398,129622,0.0754
208,EA,PA,UNV,State College,University Park,P,N,138423,134312,0.0306
209,GL,OH,LCK,Columbus,Rickenbacker International,P,N,133649,102751,0.3007
210,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,131144,127881,0.0255
211,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,129949,109334,0.1886
212,SO,NC,JQF,Concord,Concord Regional,P,N,129034,90338,0.4283
213,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,126472,139583,-0.0939
214,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,123841,79988,0.5482
215,NM,CO,MTJ,Montrose,Montrose Regional,P,N,123206,116272,0.0596
216,GL,MN,DLH,Duluth,Duluth International,P,N,122726,124284,-0.0125
217,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,117520,132557,-0.1134
218,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,116404,119222,-0.0236
219,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,116197,120151,-0.0329
220,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,113009,126197,-0.1045
221,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,112862,101790,0.1088
222,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,111147,106110,0.0475
223,GL,MI,MBS,Saginaw,MBS International,P,N,110964,122469,-0.0939
224,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,105077,73247,0.4346
225,NM,MT,HLN,Helena,Helena Regional,P,N,103773,103239,0.0052
226,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,103724,98489,0.0532
227,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,103679,71252,0.4551
228,NM,UT,SGU,St. George,St George Regional,P,N,103569,78680,0.3163
229,SW,LA,MLU,Monroe,Monroe Regional,P,N,103547,102342,0.0118
230,GL,OH,TOL,Toledo,Toledo Express,P,N,102988,92522,0.1131
231,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,100133,89318,0.1211
232,WP,CA,BFL,Bakersfield,Meadows Field,P,N,99472,100433,-0.0096
233,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,97212,88692,0.0961
234,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,96843,92805,0.0435
235,NM,CO,HDN,Hayden,Yampa Valley,P,N,96403,107339,-0.1019
236,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,96201,93076,0.0336
237,AL,AK,ENA,Kenai,Kenai Municipal,P,N,92973,92485,0.0053
238,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,92101,94047,-0.0207
239,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,92048,93269,-0.0131
240,NM,UT,PVU,Provo,Provo Municipal,P,N,91581,78451,0.1674
241,SW,TX,LRD,Laredo,Laredo International,P,N,91462,101115,-0.0955
242,SO,PR,PSE,Ponce,Mercedita,P,N,89334,105804,-0.1557
243,CE,MO,COU,Columbia,Columbia Regional,P,N,88650,65014,0.3636
244,NM,ID,SUN,Hailey,Friedman Memorial,P,N,86641,77729,0.1147
245,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,85726,83920,0.0215
246,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,85631,87647,-0.023
247,SW,TX,ABI,Abilene,Abilene Regional,P,N,85085,84809,0.0033
248,WP,HI,MKK,Kaunakakai,Molokai,P,N,84139,92560,-0.091
249,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,83598,83404,0.0023
250,AL,AK,ADQ,Kodiak,Kodiak,P,N,83577,79682,0.0489
251,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,82489,75465,0.0931
252,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,79564,74742,0.0645
253,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,76729,72724,0.0551
254,SW,TX,CLL,College Station,Easterwood Field,P,N,73430,78907,-0.0694
255,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,71547,70993,0.0078
256,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,71401,65439,0.0911
257,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,70710,64578,0.095
258,GL,ND,ISN,Williston,Sloulin Field International,P,N,69802,68829,0.0141
259,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,68791,63761,0.0789
260,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,67951,64481,0.0538
261,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,66842,68879,-0.0296
262,WP,CA,ACV,Arcata,California Redwood Coast-Humboldt County,P,N,65932,69732,-0.0545
263,AL,AK,OME,Nome,Nome,P,N,61651,60655,0.0164
264,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,60335,60068,0.0044
265,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,59246,61833,-0.0418
266,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,59206,60277,-0.0178
267,SW,TX,ACT,Waco,Waco Regional,P,N,58888,64356,-0.085
268,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,57421,58695,-0.0217
270,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,55211,44378,0.2441
271,NE,MA,ORH,Worcester,Worcester Regional,P,N,53931,57800,-0.0669
272,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,51966,47457,0.095
273,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,50939,51088,-0.0029
274,GL,MI,SAW,Gwinn,Sawyer International,P,N,50938,45462,0.1205
275,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,50899,53576,-0.05
276,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,50510,63104,-0.1996
277,SO,GA,CSG,Columbus,Columbus,P,N,49773,44813,0.1107
278,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,49767,54084,-0.0798
279,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,49702,47439,0.0477
280,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,49653,52494,-0.0541
282,SO,AL,DHN,Dothan,Dothan Regional,P,N,47304,49411,-0.0426
283,AL,AK,HOM,Homer,Homer,P,N,46322,44117,0.05
284,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,45958,45300,0.0145
285,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,45736,38869,0.1767
286,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,43738,40275,0.086
288,WP,CA,RDD,Redding,Redding Municipal,P,N,42361,43414,-0.0243
289,SO,SC,FLO,Florence,Florence Regional,P,N,42058,45300,-0.0716
290,AL,AK,SCC,Deadhorse,Deadhorse,P,N,41849,51205,-0.1827
291,CE,IA,SUX,Sioux City,Sioux Gateway/Col Bud Day Field,P,N,41787,36413,0.1476
292,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,41632,40823,0.0198
293,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,40324,37954,0.0624
294,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,40188,34462,0.1662
295,NM,WY,COD,Cody,Yellowstone Regional,P,N,39578,40340,-0.0189
296,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,38773,40165,-0.0347
297,WP,HI,LNY,Lanai City,Lanai,P,N,37993,43275,-0.1221
298,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,37920,34226,0.1079
299,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,36455,53633,-0.3203
300,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,36433,36054,0.0105
302,CE,MO,JLN,Joplin,Joplin Regional,P,N,35498,27930,0.271
303,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,34910,38452,-0.0921
304,AL,AK,AKN,King Salmon,King Salmon,P,N,34800,36717,-0.0522
305,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,34101,33565,0.016
306,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,33425,68415,-0.5114
308,GL,SD,PIR,Pierre,Pierre Regional,P,N,32822,8246,2.9804
309,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,32299,43005,-0.2489
310,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,32250,34979,-0.078
311,GL,OH,LUK,Cincinnati,Cincinnati Municipal Airport Lunken Field,P,N,30681,25706,0.1935
312,AL,AK,DUT,Unalaska,Unalaska,P,N,30080,31055,-0.0314
313,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,29455,31027,-0.0507
