Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 13 Enplanements,CY 12 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,45308407,45798928,-0.0107
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,32425892,31326268,0.0351
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,32317835,32171795,0.0045
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,29038128,28022904,0.0362
5,NM,CO,DEN,Denver,Denver International,P,L,25496885,25799841,-0.0117
6,EA,NY,JFK,New York,John F Kennedy International,P,L,25036358,24520981,0.021
7,WP,CA,SFO,San Francisco ,San Francisco International,P,L,21704626,21284236,0.0198
8,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,21346601,20033816,0.0655
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,19946179,19959651,-0.0007
10,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,19525109,19560870,-0.0018
11,SO,FL,MIA,Miami,Miami International,P,L,19420089,18987488,0.0228
12,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,18952840,19039000,-0.0045
13,EA,NJ,EWR,Newark,Newark Liberty International,P,L,17546506,17055993,0.0288
14,SO,FL,MCO,Orlando,Orlando International,P,L,16884524,17159427,-0.016
15,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,16690295,16121123,0.0353
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,16280835,15943878,0.0211
17,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,15683523,15599879,0.0054
18,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,14810153,14293695,0.0361
19,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,14727945,14589337,0.0095
20,EA,NY,LGA,New York,La Guardia,P,L,13372269,12818717,0.0432
21,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,11538140,11445103,0.0081
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,11132731,11186444,-0.0048
23,EA,VA,IAD,Dulles,Washington Dulles International,P,L,10570993,10816216,-0.0227
24,GL,IL,MDW,Chicago,Chicago Midway International,P,L,9915646,9436387,0.0508
25,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,9838034,9462231,0.0397
26,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,9668048,9579840,0.0092
27,WP,HI,HNL,Honolulu,Honolulu International,P,L,9466995,9225848,0.0261
28,WP,CA,SAN,San Diego,San Diego International,P,L,8878772,8686621,0.0221
29,SO,FL,TPA,Tampa,Tampa International,P,L,8267752,8218487,0.006
30,NM,OR,PDX,Portland,Portland International,P,L,7452603,7142620,0.0434
,,,,Large Hubs,, ,"=SUBTOTAL(3,H2:H31)",,,
31,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6216104,6208750,0.0012
32,SW,TX,HOU,Houston,William P Hobby,P,M,5377050,5043737,0.0661
33,SO,TN,BNA,Nashville,Nashville International,P,M,5050989,4797102,0.0529
34,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,4900959,4606252,0.064
35,CE,MO,MCI,Kansas City,Kansas City International,P,M,4836221,4866850,-0.0063
36,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,4770716,4926683,-0.0317
37,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,4576539,4293624,0.0659
38,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,4540628,4381172,0.0364
39,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4482016,4490374,-0.0019
40,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4375448,4346941,0.0066
41,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,4315839,4077654,0.0584
42,WP,CA,SMF,Sacramento,Sacramento International,P,M,4255145,4357899,-0.0236
43,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,4103197,4204478,-0.0241
44,SW,TX,DAL,Dallas,Dallas Love Field,P,M,4023779,3902628,0.031
45,SW,TX,SAT,San Antonio,San Antonio International,P,M,4005874,4036625,-0.0076
46,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,3812460,3892338,-0.0205
47,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,3788870,3634152,0.0426
48,GL,IN,IND,Indianapolis,Indianapolis International,P,M,3535015,3586422,-0.0143
49,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,3214811,3710384,-0.1336
50,GL,OH,CMH,Columbus,Port Columbus International,P,M,3063822,3095575,-0.0103
51,WP,HI,OGG,Kahului,Kahului,P,M,2955304,2861278,0.0329
52,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,2844507,2796359,0.0172
53,SO,KY,CVG,Cincinnati ,Cincinnati/Northern Kentucky International,P,M,2776377,2937850,-0.055
54,NE,CT,BDL,Windsor Locks,Bradley International,P,M,2681181,2647610,0.0127
55,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2567594,2592630,-0.0097
56,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,2549070,2579023,-0.0116
57,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2477783,2630574,-0.0581
58,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2325030,2249717,0.0335
59,SO,TN,MEM,Memphis,Memphis International,P,M,2301003,3359668,-0.3151
60,CE,NE,OMA,Omaha,Eppley Airfield,P,M,1975339,2018738,-0.0215
61,WP,CA,ONT,Ontario,Ontario International,P,M,1970538,2142393,-0.0802
62,WP,CA,BUR,Burbank,Bob Hope,P,M,1918011,2027203,-0.0539
63,NE,RI,PVD,Warwick,Theodore Francis Green State,P,M,1884830,1809322,0.0417
,,,,Medium Hubs,, ,"=SUBTOTAL(3,H33:H65)",,,
64,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1788400,1801650,-0.0074
65,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,1671926,1685333,-0.008
66,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,1668667,1642790,0.0158
67,EA,VA,RIC,Highland Springs,Richmond International,P,S,1597913,1582565,0.0097
68,WP,AZ,TUS,Tucson,Tucson International,P,S,1569932,1710649,-0.0823
69,WP,GU,GUM,Tamuning,Guam International,P,S,1562165,1477926,0.057
70,EA,VA,ORF,Norfolk,Norfolk International,P,S,1560754,1651440,-0.0549
71,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,1441415,1283970,0.1226
72,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1438756,1554846,-0.0747
73,NM,WA,GEG,Spokane,Spokane International,P,S,1417731,1456279,-0.0265
74,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,1376641,1367091,0.007
75,SW,TX,ELP,El Paso,El Paso International,P,S,1363102,1442102,-0.0548
76,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1334177,1412483,-0.0554
77,SW,OK,TUL,Tulsa,Tulsa International,P,S,1323377,1324202,-0.0006
78,WP,HI,LIH,Lihue,Lihue,P,S,1315141,1308549,0.005
79,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1313741,1307505,0.0048
80,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1244841,1289758,-0.0348
81,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1209245,1202903,0.0053
82,EA,NY,ALB,Albany,Albany International,P,S,1196532,1222354,-0.0211
83,NE,NH,MHT,Manchester,Manchester,P,S,1190082,1210189,-0.0166
84,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,1123257,1063153,0.0565
85,CE,IA,DSM,Des Moines,Des Moines International,P,S,1078496,1018188,0.0592
86,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,1055293,1111442,-0.0505
87,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,991551,974293,0.0177
88,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,971522,873069,0.1128
89,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,917088,936288,-0.0205
90,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,875699,867720,0.0092
91,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,853532,889135,-0.04
92,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,851809,910712,-0.0647
93,NE,ME,PWM,Portland,Portland International Jetport,P,S,836942,799136,0.0473
94,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,832588,846278,-0.0162
95,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,825702,799053,0.0334
96,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,823294,722775,0.1391
97,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,798376,789663,0.011
98,EA,NY,HPN,White Plains,Westchester County,P,S,764002,893184,-0.1446
99,SO,FL,PNS,Pensacola,Pensacola International,P,S,744259,740852,0.0046
100,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower National,P,S,736090,735270,0.0011
101,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,725048,744685,-0.0264
102,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,684849,640350,0.0695
103,EA,NY,ISP,Islip,Long Island MacArthur,P,S,662612,667603,-0.0075
104,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,657962,836998,-0.2139
105,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,657650,657074,0.0009
106,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,645401,649691,-0.0066
