Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 10 Enplanements,CY 09 Enplanements,% Change
1.0,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,43130585.0,42280868.0,0.0201
2.0,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,32171831.0,31135732.0,0.0333
3.0,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,28857755.0,27439897.0,0.0517
4.0,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,27100656.0,26663984.0,0.0164
5.0,NM,CO,DEN,Denver,Denver International,P,L,25241962.0,24013669.0,0.0511
6.0,EA,NY,JFK,New York,John F Kennedy International,P,L,22934047.0,22710272.0,0.0099
7.0,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19528631.0,19290239.0,0.0124
8.0,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,19359003.0,18467908.0,0.0483
9.0,WP,NV,LAS,Las Vegas,McCarran International,P,L,18996738.0,19445952.0,-0.0231
10.0,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,18907171.0,18559647.0,0.0187
11.0,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,18629181.0,17165376.0,0.0853
12.0,SO,FL,MIA,Miami,Miami International,P,L,17017654.0,16187768.0,0.0513
13.0,SO,FL,MCO,Orlando,Orlando International,P,L,17017491.0,16371016.0,0.0395
14.0,EA,NJ,EWR,Newark,Newark Liberty International,P,L,16571754.0,16659441.0,-0.0053
15.0,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,15643890.0,15211402.0,0.0284
16.0,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,15512487.0,15551206.0,-0.0025
17.0,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,15406243.0,15273092.0,0.0087
18.0,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,14951254.0,15002961.0,-0.0034
19.0,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,13561814.0,12566797.0,0.0792
20.0,EA,NY,LGA,New York,La Guardia,P,L,12001501.0,11084300.0,0.0827
21.0,EA,VA,IAD,Dulles,Washington Dulles International,P,L,11276481.0,11132098.0,0.013
22.0,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshal,P,L,10848633.0,10338950.0,0.0493
23.0,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,10829810.0,10258118.0,0.0557
24.0,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,9910493.0,9903821.0,0.0007
25.0,WP,HI,HNL,Honolulu,Honolulu International,P,L,8740077.0,8739389.0,0.0001
26.0,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,8736804.0,8490288.0,0.029
27.0,GL,IL,MDW,Chicago,Chicago Midway International,P,L,8518957.0,8253620.0,0.0321
28.0,WP,CA,SAN,San Diego,San Diego International,P,L,8430509.0,8453854.0,-0.0028
29.0,SO,FL,TPA,Tampa,Tampa International,P,L,8137222.0,8263294.0,-0.0153
,,,29.0,,,,L Count,,,
30.0,NM,OR,PDX,Portland,Portland International,P,M,6582227.0,6430119.0,0.0237
31.0,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6044760.0,6084070.0,-0.0065
32.0,CE,MO,MCI,Kansas City,Kansas City International,P,M,4946173.0,4894349.0,0.0106
33.0,SO,TN,MEM,Memphis,Memphis International,P,M,4930935.0,5054191.0,-0.0244
34.0,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,4760170.0,3822542.0,0.2453
35.0,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,4673417.0,4612631.0,0.0132
36.0,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4591097.0,4704329.0,-0.0241
37.0,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4465736.0,4435624.0,0.0068
38.0,SO,TN,BNA,Nashville,Nashville International,P,M,4432527.0,4385780.0,0.0107
39.0,WP,CA,SMF,Sacramento,Sacramento International,P,M,4424279.0,4460600.0,-0.0081
