Rank,Locid,Airport Name,City,ST,Region,Service   Level,Hub   Type,2001       Boardings
362.0,IPL,Imperial County,Imperial,CA,WP,P,N,14820.0
363.0,YAK,Yakutat,Yakutat,AK,AL,P,N,14765.0
364.0,GST,Gustavus,Gustavus,AK,AL,P,N,14652.0
366.0,MCW,Mason City Municipal,Mason City,IA,CE,P,N,14215.0
367.0,AOO,Altoona-Blair County,Altoona,PA,EA,P,N,14048.0
368.0,JHW,Chautauqua County/Jamestown,Jamestown,NY,EA,P,N,14004.0
369.0,UIN,Quincy Regional-Baldwin Field,Quincy,IL,GL,P,N,13832.0
370.0,ESC,Delta County,Escanaba,MI,GL,P,N,13580.0
371.0,CKB,Benedum,Clarksburg,WV,EA,P,N,13578.0
372.0,MHK,Manhattan Regional,Manhattan,KS,CE,P,N,13543.0
373.0,PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,NM,P,N,13519.0
374.0,SHR,Sheridan County,Sheridan,WY,NM,P,N,13432.0
375.0,RKD,Knox County Regional,Rockland,ME,NE,P,N,13402.0
376.0,GCC,Gillette-Campbell County,Gillette,WY,NM,P,N,13210.0
377.0,X95,Diego Jimenez Torres,Fajardo,PR,SO,P,N,13171.0
378.0,PVC,Provincetown Municipal,Provincetown,MA,NE,P,N,12986.0
379.0,ROW,Roswell Industrial Air Center,Roswell,NM,SW,P,N,12941.0
380.0,LEB,Lebanon Municipal,Lebanon,NH,NE,P,N,12887.0
381.0,17Z,Manokotak,Manokotak,AK,AL,P,N,12588.0
383.0,FHR,Friday Harbor,Friday Harbor,WA,NM,P,N,12129.0
384.0,PIB,Hattiesburg-Laurel Regional,Hattiesburg,MS,SO,P,N,12123.0
385.0,CEC,Jack Mc Namara Field,Crescent City,CA,WP,P,N,12108.0
387.0,MWA,Williamson County Regional,Marion,IL,GL,P,N,12062.0
389.0,ILI,Iliamna,Iliamna,AK,AL,P,N,12023.0
390.0,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,NE,P,N,12021.0
392.0,SDY,Sidney-Richland Municipal,Sidney,MT,NM,P,N,11987.0
393.0,SOP,Moore County,Pinehurst/Southern Pines,NC,SO,P,N,11986.0
396.0,RIW,Riverton Regional,Riverton,WY,NM,P,N,11682.0
397.0,DUJ,Du Bois-Jefferson County,DuBois,PA,EA,P,N,11680.0
398.0,LAF,Purdue University,Lafayette,IN,GL,P,N,11672.0
399.0,MWH,Grant County International,Moses Lake,WA,NM,P,N,11534.0
400.0,DEC,Decatur,Decatur,IL,GL,P,N,11487.0
401.0,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,CE,P,N,11042.0
402.0,PCW,Carl R Keller Field,Port Clinton,OH,GL,P,N,10933.0
403.0,BRL,Southeast Iowa Regional,Burlington,IA,CE,P,N,10763.0
404.0,APN,Alpena County Regional,Alpena,MI,GL,P,N,10717.0
405.0,3W2,Put in Bay,Put-in-Bay,OH,GL,P,N,10693.0
406.0,LAR,Laramie Regional,Laramie,WY,NM,P,N,10584.0
407.0,MRI,Merrill Field,Anchorage,AK,AL,P,N,10572.0
408.0,BFI,Boeing Field/King County International,Seattle,WA,NM,P,N,10555.0
409.0,SLN,Salina Municipal,Salina,KS,CE,P,N,10543.0
410.0,IYK,Inyokern,Inyokern,CA,WP,P,N,10292.0
411.0,WRG,Wrangell,Wrangell,AK,AL,P,N,10231.0
412.0,BID,Block Island State,Block Island,RI,NE,P,N,10211.0
413.0,MKL,Mc Kellar-Sipes Regional,Jackson,TN,SO,P,N,10181.0
414.0,CDC,Cedar City Regional,Cedar City,UT,NM,P,N,10179.0
415.0,GCK,Garden City Regional,Garden City,KS,CE,P,N,10170.0
416.0,SGY,Skagway,Skagway,AK,AL,P,N,10168.0
417.0,VIS,Visalia Municipal,Visalia,CA,WP,P,N,10094.0
418.0,MTM,Metlakatla,Metlakatla,AK,AL,P,N,10026.0
419.0,GLH,Mid Delta Regional,Greenville,MS,SO,P,N,10023.0
Total at 402 Primary Airports ,,,,,,,,659422828.0
