Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 12 Enplanements,CY 11 Enplanements,% Change
218,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,105494,108172,-0.0248
230,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,88571,98982,-0.1052
349,EA,NY,ART,Watertown,Watertown International,P,N,16988,4449,2.8184
426,EA,NY,GTB,Fort Drum,Wheeler-Sack AAF,GA,None,8647,7061,0.2246
439,EA,NY,FRG,North Babylon,Republic,CS,None,7752,8638,-0.1026
458,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,6018,5770,0.043
479,EA,NY,OGS,Ogdensburg,Ogdensburg International,CS,None,5033,3589,0.4023
481,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,4964,4396,0.1292
530,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,CS,None,3173,3483,-0.089
675,EA,NY,RME,Rome,Griffiss International,GA,None,924,1332,-0.3063
768,EA,NY,HTO,East Hampton,East Hampton,GA,None,396,255,0.5529
822,EA,NY,ELZ,Wellsville,"Wellsville Municipal Airport,Tarantine Field",GA,None,239,1,238
828,EA,NY,FOK,Westhampton Beach,Francis S Gabreski,GA,None,231,95,1.4316
829,EA,NY,PEO,Penn Yan,Penn Yan,GA,None,230,5,45
832,EA,NY,6N5,New York,East 34th Street,GA,None,221,256,-0.1367
835,EA,NY,6N7,New York,New York Skyports Inc,GA,None,216,0,0
935,EA,NY,JRA,New York,West 30th St.,GA,None,72,76,-0.0526
973,EA,NY,MTP,Montauk,Montauk,GA,None,51,15,2.4
983,EA,NY,5B2,Saratoga Springs,Saratoga County,GA,None,47,31,0.5161
996,EA,NY,JRB,New York,Downtown Manhattan/Wall St,GA,None,41,0,0
1005,EA,NY,0B8,Fishers Island,Elizabeth Field,GA,None,38,46,-0.1739
1046,EA,NY,POU,Poughkeepsie,Dutchess County,GA,None,28,12,1.3333
1058,EA,NY,VGC,Hamilton,Hamilton Municipal,GA,None,26,2,12
1085,EA,NY,1B1,Hudson,Columbia County,GA,None,22,15,0.4667
1158,EA,NY,GVQ,Batavia,Genesee County,GA,None,16,0,0
1185,EA,NY,MSV,Monticello,Sullivan County International,GA,None,14,17,-0.1765
1201,EA,NY,GFL,Glens Falls,Floyd Bennett Memorial,GA,None,12,4,2
1203,EA,NY,LKP,Lake Placid,Lake Placid,GA,None,12,6,1
1224,EA,NY,CZG,Endicott,Tri-Cities,GA,None,10,0,0
1240,EA,NY,SCH,Schenectady,Schenectady County,GA,None,10,12,-0.1667
1281,EA,NY,MGJ,Montgomery,Orange County,GA,None,8,0,0
1291,EA,NY,44N,Millbrook,Sky Acres,GA,None,7,0,0
1320,EA,NY,0G7,Seneca Falls,Finger Lakes Regional,GA,None,6,13,-0.5385
1336,EA,NY,OLE,Olean,Cattaraugus County-Olean,GA,None,6,0,0
1349,EA,NY,6B9,Skaneateles,Skaneateles Aero Drome,GA,None,5,4,0.25
1354,EA,NY,D38,Canandaigua,Canandaigua,GA,None,5,5,0
1375,EA,NY,N03,Cortland,Cortland County-Chase Field,GA,None,5,0,0
1391,EA,NY,20N,Kingston,Kingston-Ulster,GA,None,4,0,0
1394,EA,NY,4B6,Ticonderoga,Ticonderoga Municipal,GA,None,4,0,0
1412,EA,NY,DKK,Dunkirk,Chautauqua County/Dunkirk,GA,None,4,0,0
1425,EA,NY,OIC,Norwich,Lt Warren Eaton,GA,None,4,0,0
1433,EA,NY,SDC,Sodus,Williamson-Sodus,GA,None,4,0,0
1466,EA,NY,HTF,Hornell,Hornell Municipal,GA,None,3,0,0
1563,EA,NY,PTD,Potsdam,Potsdam Municipal/Damon Field/,GA,None,2,7,-0.7143
1615,EA,NY,N23,Sidney,Sidney Municipal,GA,None,1,2,-0.5
40,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4346941,4401033,-0.0123
51,GL,OH,CMH,Columbus,Port Columbus International,P,M,3095575,3134379,-0.0124
79,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1289758,1247333,0.034
89,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,910712,814243,0.1185
238,GL,OH,TOL,Toledo,Toledo Express,P,N,78757,81127,-0.0292
287,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,40102,37048,0.0824
