Rank,ST,Locid,City,Airport Name,Service Level,Hub Type,CY 2004 Boardings,CY 2003 Boardings,% Change
723.0,AK,EAA,Eagle,Eagle,GA,None,726.0,740.0,-0.0189
725.0,AK,SVS,Stevens Village,Stevens Village,GA,None,699.0,942.0,-0.258
726.0,AK,PPC,Prospect Creek,Prospect Creek,GA,None,695.0,649.0,0.0709
728.0,AK,9Z8,Levelock,Levelock,GA,None,679.0,754.0,-0.0995
733.0,AK,PBV,St. George,St George,GA,None,647.0,827.0,-0.2177
734.0,AK,A29,Sitka,Sitka,GA,None,630.0,3100.0,-0.7968
738.0,AK,A14,Portage Creek,Portage Creek,GA,None,603.0,383.0,0.5744
739.0,AK,78K,Yes Bay,Yes Bay Lodge,GA,None,584.0,521.0,0.1209
740.0,AK,JZZ,Koliganek,Koliganek,GA,None,574.0,704.0,-0.1847
741.0,AK,KYK,Karluk,Karluk,GA,None,564.0,541.0,0.0425
742.0,AK,AK15,Deadhorse,Alpine Airstrip,GA,None,562.0,23.0,23.4348
743.0,AK,EIL,Fairbanks,Eielson AFB,GA,None,552.0,247.0,1.2348
746.0,AK,4AK1,Deadhorse,Inigok,GA,None,542.0,99.0,4.4747
748.0,AK,PTU,Platinum,Platinum,GA,None,531.0,433.0,0.2263
752.0,AK,KCL,Chignik Flats,Chignik Lagoon,GA,None,517.0,571.0,-0.0946
753.0,AK,A63,Twin Hills,Twin Hills,GA,None,515.0,707.0,-0.2716
755.0,AK,WSN,South Naknek,South Naknek Nr 2,GA,None,509.0,611.0,-0.1669
758.0,AK,FSP,Nikolai,Nikolai,GA,None,488.0,320.0,0.525
761.0,AK,AKW,Klawock,Klawock,GA,None,476.0,867.0,-0.451
767.0,AK,Z91,Birch Creek,Birch Creek,GA,None,436.0,460.0,-0.0522
769.0,AK,1AK3,Cold Bay,Port Moller Air Force Station,GA,None,421.0,426.0,-0.0117
773.0,AK,SRV,Stony River,Stony River 2,GA,None,408.0,353.0,0.1558
775.0,AK,AK96,Egegik,Bartletts,GA,None,389.0,454.0,-0.1432
776.0,AK,76AK,Delta Junction,Pogo Mine Airstrip,GA,None,386.0,0.0,0.0
781.0,AK,KEK,Ekwok,Ekwok,GA,None,369.0,385.0,-0.0416
782.0,AK,CXF,Coldfoot,Coldfoot,GA,None,367.0,691.0,-0.4689
785.0,AK,CRC,Circle,Circle City /New/,GA,None,355.0,354.0,0.0028
786.0,AK,UMT,Umiat,Umiat,GA,None,349.0,354.0,-0.0141
788.0,AK,MOS,Elim,Moses Point,GA,None,345.0,9.0,37.3333
791.0,AK,AKA,Atka,Atka,GA,None,336.0,319.0,0.0533
797.0,AK,GKN,Gulkana,Gulkana,GA,None,325.0,290.0,0.1207
798.0,AK,7AK2,Snettisham,Snettisham,GA,None,321.0,0.0,0.0
806.0,AK,KFP,False Pass,False Pass,GA,None,301.0,397.0,-0.2418
807.0,AK,8AK1,Gulkana,Jacobus,GA,None,300.0,0.0,0.0
812.0,AK,RDV,Red Devil,Red Devil,GA,None,293.0,264.0,0.1098
813.0,AK,FNR,Funter Bay,Funter Bay,GA,None,290.0,30.0,8.6667
818.0,AK,IKO,Nikolski,Nikolski AS,GA,None,278.0,296.0,-0.0608
826.0,AK,RMP,Rampart,Rampart,GA,None,265.0,321.0,-0.1745
827.0,AK,OUL,Nelson Lagoon,Nelson Lagoon,GA,None,262.0,269.0,-0.026
828.0,AK,7KA,Tatitlek,Tatitlek,GA,None,260.0,278.0,-0.0647
844.0,AK,8AK3,Selawik,Roland Norton Memorial Airstrip,GA,None,227.0,139.0,0.6331
845.0,AK,SKW,Skwentna,Skwentna,GA,None,226.0,144.0,0.5694
858.0,AK,EXI,Excursion Inlet,Excursion Inlet,GA,None,202.0,461.0,-0.5618
857.0,AK,51Z,Minto,Minto,GA,None,202.0,188.0,0.0745
866.0,AK,LUR,Cape Lisburne,Cape Lisburne LRRS,GA,None,193.0,101.0,0.9109
867.0,AK,UGB,Pilot Point,Ugashik Bay,GA,None,193.0,257.0,-0.249
879.0,AK,MHM,Lake Minchumina,Minchumina,GA,None,172.0,230.0,-0.2522
888.0,AK,KCC,Coffman Cove,Coffman Cove,GA,None,163.0,113.0,0.4425
887.0,AK,5NK,Naknek,Naknek,GA,None,163.0,135.0,0.2074
890.0,AK,TSG,Tanacross,Tanacross,GA,None,161.0,40.0,3.025
892.0,AK,AK40,McGrath,Nixon Fork Mine,GA,None,159.0,71.0,1.2394
896.0,AK,KPC,Port Clarence,Port Clarence CGS,GA,None,149.0,148.0,0.0068
897.0,AK,TCT,Takotna,Takotna,GA,None,149.0,120.0,0.2417
900.0,AK,KKU,Ekuk,Ekuk,GA,None,141.0,105.0,0.3429
901.0,AK,BCV,Birchwood,Birchwood,GA,None,140.0,252.0,-0.4444
907.0,AK,4Z7,Hyder,Hyder,GA,None,127.0,144.0,-0.1181
909.0,AK,TKJ,Tok,Tok,GA,None,124.0,227.0,-0.4537
912.0,AK,DM2,Diomede,Diomede,GA,None,122.0,258.0,-0.5271
913.0,AK,CZF,Cape Romanzof,Cape Romanzof LRRS,GA,None,120.0,103.0,0.165
916.0,AK,UTO,Utopia Creek,Indian Mountain LRRS,GA,None,119.0,145.0,-0.1793
923.0,AK,C05,Chenega,Chenega Bay,GA,None,112.0,47.0,1.383
931.0,AK,EHM,Cape Newenham,Cape Newenham LRRS,GA,None,106.0,111.0,-0.045
930.0,AK,9Z3,Kodiak,Kodiak /Lily Lake/,GA,None,106.0,307.0,-0.6547
934.0,AK,CHP,Circle Hot Springs,Circle Hot Springs,GA,None,105.0,24.0,3.375
939.0,AK,MLY,Manley Hot Springs,Manley Hot Springs,GA,None,104.0,129.0,-0.1938
944.0,AK,WCR,Chandalar Lake,Chandalar Lake,GA,None,101.0,113.0,-0.1062
943.0,AK,5AK0,Trading Bay,Trading Bay Production,GA,None,101.0,461.0,-0.7809
949.0,AK,TNC,Tin City,Tin City LRRS,GA,None,98.0,133.0,-0.2632
955.0,AK,PAQ,Palmer,Palmer Municipal,GA,None,93.0,98.0,-0.051
957.0,AK,2AK6,Hogatza,Hog River,GA,None,92.0,71.0,0.2958
965.0,AK,ZNC,Nyac,Nyac,GA,None,88.0,72.0,0.2222
978.0,AK,TLJ,Takotna,Tatalina LRRS,GA,None,82.0,95.0,-0.1368
999.0,AK,19P,Port Protection,Port Protection,GA,None,70.0,66.0,0.0606
1013.0,AK,KPB,Point Baker,Point Baker,GA,None,65.0,40.0,0.625
1016.0,AK,ALZ,Lazy Bay,Alitak,GA,None,64.0,61.0,0.0492
1022.0,AK,KXA,Kasaan,Kasaan,GA,None,63.0,55.0,0.1455
