Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 15 Enplanements,CY 14 Enplanements,% Change
56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2525893,2381826,0.0605
121,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,493443,459769,0.0732
132,AL,AK,JNU,Juneau,Juneau International,P,S,403538,375828,0.0737
196,AL,AK,BET,Bethel,Bethel,P,N,158824,155936,0.0185
212,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,124747,115948,0.0759
229,AL,AK,ENA,Kenai,Kenai Municipal,P,N,97820,100448,-0.0262
242,AL,AK,ADQ,Kodiak,Kodiak,P,N,81970,79966,0.0251
243,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,81019,72027,0.1248
247,AL,AK,SCC,Deadhorse,Deadhorse,P,N,77152,56001,0.3777
258,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,66503,63128,0.0535
271,AL,AK,OME,Nome,Nome,P,N,59929,58610,0.0225
282,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,47676,56995,-0.1635
292,AL,AK,HOM,Homer,Homer,P,N,40770,38862,0.0491
299,AL,AK,AKN,King Salmon,King Salmon,P,N,35693,35012,0.0195
312,AL,AK,DUT,Unalaska,Unalaska,P,N,31753,29370,0.0811
324,AL,AK,DLG,Dillingham,Dillingham,P,N,26949,39414,-0.3163
345,AL,AK,LHD,Anchorage,Lake Hood,P,N,20586,13545,0.5198
346,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,20477,19065,0.0741
356,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,16997,14479,0.1739
362,AL,AK,UNK,Unalakleet,Unalakleet,P,N,15927,13099,0.2159
366,AL,AK,MRI,Anchorage,Merrill Field,P,N,15091,22210,-0.3205
370,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,14153,14658,-0.0345
371,AL,AK,ANI,Aniak,Aniak,P,N,13771,12955,0.063
375,AL,AK,KSM,St Mary's,St Mary's,P,N,13192,12473,0.0576
379,AL,AK,WRG,Wrangell,Wrangell,P,N,12588,11828,0.0643
388,AL,AK,GST,Gustavus,Gustavus,P,N,11189,9484,0.1798
390,AL,AK,GAL,Galena,Edward G Pitka Sr,P,N,10703,12349,-0.1333
394,AL,AK,YAK,Yakutat,Yakutat,P,N,10230,10619,-0.0366
398,AL,AK,HNH,Hoonah,Hoonah,P,N,10050,9849,0.0204
295,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,38946,46483,-0.1621
392,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,10558,10101,0.0452
399,AL,AK,AKW,Klawock,Klawock,CS,None,9966,7780,0.281
404,AL,AK,HNS,Haines,Haines,CS,None,8945,8368,0.069
408,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,8543,7759,0.101
412,AL,AK,SGY,Skagway,Skagway,CS,None,8239,7296,0.1292
418,AL,AK,ENM,Emmonak,Emmonak,CS,None,7597,9447,-0.1958
422,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,7019,8172,-0.1411
425,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,6691,7148,-0.0639
427,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,6475,6451,0.0037
428,AL,AK,VAK,Chevak,Chevak,CS,None,6455,5690,0.1344
429,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,6288,5460,0.1516
434,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,6148,5088,0.2083
437,AL,AK,5Z9,Katmai National Park,Lake Brooks,GA,None,5889,0,0
438,AL,AK,ILI,Iliamna,Iliamna,CS,None,5865,6092,-0.0373
445,AL,AK,WLK,Selawik,Selawik,CS,None,5376,4898,0.0976
455,AL,AK,CFK,Chefornak,Chefornak,CS,None,5018,4590,0.0932
458,AL,AK,PHO,Point Hope,Point Hope,CS,None,4974,4518,0.1009
462,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4902,4508,0.0874
466,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,4692,4760,-0.0143
469,AL,AK,2A9,Kotlik,Kotlik,CS,None,4484,4782,-0.0623
471,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,4423,3946,0.1209
473,AL,AK,WTK,Noatak,Noatak,CS,None,4392,4296,0.0223
476,AL,AK,EIL,Fairbanks,Eielson AFB,GA,None,4317,2782,0.5518
477,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,4298,3904,0.1009
479,AL,AK,SDP,Sand Point,Sand Point,CS,None,4146,4135,0.0027
480,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,4109,4719,-0.1293
481,AL,AK,BVK,Buckland,Buckland,CS,None,4063,4009,0.0135
483,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,4007,3861,0.0378
484,AL,AK,AWI,Wainwright,Wainwright,CS,None,3989,3731,0.0692
486,AL,AK,SOV,Seldovia,Seldovia,CS,None,3926,3459,0.135
489,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,3845,5042,-0.2374
490,AL,AK,EEK,Eek,Eek,CS,None,3832,3857,-0.0065
491,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3794,4002,-0.052
493,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3727,3508,0.0624
494,AL,AK,SVA,Savoonga,Savoonga,CS,None,3690,3352,0.1008
498,AL,AK,TPO,Port Alsworth,Port Alsworth,GA,None,3581,3567,0.0039
502,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,3449,3484,-0.01
504,AL,AK,KVL,Kivalina,Kivalina,CS,None,3433,3171,0.0826
505,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,3429,4485,-0.2355
507,AL,AK,EWU,Newtok,Newtok,CS,None,3406,2841,0.1989
